Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,0.980,4.2,4.2,6.0,hybrid
1,31.776754,35.234563,31.776677,35.234473,0.817,8.5,8.5,12.0,hybrid
2,31.776792,35.234608,31.776677,35.234473,0.643,12.7,12.7,18.0,hybrid
3,31.776830,35.234653,31.776887,35.234720,0.881,-6.4,-6.4,9.1,hybrid
4,31.776868,35.234698,31.776919,35.234757,0.924,-5.7,-5.7,8.0,hybrid
5,31.776906,35.234742,31.776924,35.234763,0.980,-1.9,-1.9,2.8,hybrid
6,31.776944,35.234787,31.776924,35.234764,0.980,2.2,2.2,3.1,hybrid
7,31.776982,35.234832,31.776924,35.234764,0.958,6.4,6.4,9.1,hybrid
8,31.777020,35.234877,31.777134,35.235011,0.766,-12.7,-12.7,17.9,hybrid
9,31.777059,35.234922,31.777166,35.235048,0.851,-12.0,-12.0,16.9,hybrid
10,31.777097,35.234967,31.777171,35.235054,0.781,-8.2,-8.2,11.6,hybrid
11,31.777135,35.235011,31.777171,35.235054,0.977,-4.1,-4.1,5.8,hybrid
12,31.777173,35.235056,31.777171,35.235055,1.000,0.2,0.2,0.2,hybrid
13,31.777211,35.235101,31.777171,35.235055,0.980,4.4,4.4,6.2,hybrid
14,31.777249,35.235146,31.777171,35.235055,0.920,8.6,8.6,12.2,hybrid
15,31.777287,35.235191,31.777381,35.235302,0.832,-10.5,-10.5,14.8,hybrid
16,31.777325,35.235236,31.777413,35.235339,0.861,-9.8,-9.8,13.8,hybrid
17,31.777363,35.235280,31.777418,35.235344,0.980,-6.0,-6.0,8.5,hybrid
18,31.777402,35.235325,31.777418,35.235345,0.980,-1.9,-1.9,2.6,hybrid
19,31.777440,35.235370,31.777418,35.235345,0.980,2.4,2.4,3.3,hybrid
20,31.777478,35.235415,31.777418,35.235345,0.964,6.6,6.6,9.3,hybrid
21,31.777516,35.235460,31.777418,35.235345,0.920,10.8,10.8,15.3,hybrid
22,31.777554,35.235505,31.777628,35.235592,0.930,-8.3,-8.3,11.7,hybrid
23,31.777592,35.235549,31.777660,35.235629,0.862,-7.6,-7.6,10.7,hybrid
24,31.777630,35.235594,31.777665,35.235635,0.980,-3.8,-3.8,5.4,hybrid
25,31.777668,35.235639,31.777665,35.235636,0.873,0.3,0.3,0.5,hybrid
26,31.777706,35.235684,31.777666,35.235636,0.980,4.6,4.6,6.4,hybrid
27,31.777745,35.235729,31.777666,35.235636,0.817,8.8,8.8,12.4,hybrid
28,31.777783,35.235774,31.777666,35.235636,0.881,13.0,13.0,18.4,hybrid
29,31.777821,35.235818,31.777875,35.235883,0.843,-6.1,-6.1,8.6,hybrid
30,31.777859,35.235863,31.777907,35.235920,0.980,-5.4,-5.4,7.6,hybrid
31,31.777897,35.235908,31.777912,35.235925,0.888,-1.6,-1.6,2.3,hybrid
32,31.777935,35.235953,31.777912,35.235926,0.980,2.5,2.5,3.6,hybrid
33,31.777973,35.235998,31.777913,35.235926,0.980,6.8,6.8,9.6,hybrid
34,31.778011,35.236043,31.777913,35.235926,0.899,11.0,11.0,15.6,hybrid
35,31.778049,35.236087,31.778123,35.236173,0.846,-8.1,-8.1,11.5,hybrid
36,31.778088,35.236132,31.778154,35.236210,0.980,-7.4,-7.4,10.5,hybrid
37,31.778126,35.236177,31.778159,35.236216,0.980,-3.7,-3.7,5.2,hybrid
38,31.778164,35.236222,31.778159,35.236217,1.000,0.5,0.5,0.7,hybrid
39,31.778202,35.236267,31.778160,35.236217,0.980,4.7,4.7,6.7,hybrid
40,31.778240,35.236312,31.778160,35.236217,0.980,9.0,9.0,12.7,hybrid
41,31.778278,35.236356,31.778160,35.236217,0.768,13.2,13.2,18.7,hybrid
42,31.778316,35.236401,31.778370,35.236464,0.736,-5.9,-5.9,8.4,hybrid
43,31.778354,35.236446,31.778401,35.236501,0.831,-5.2,-5.2,7.3,hybrid
44,31.778392,35.236491,31.778406,35.236507,0.935,-1.5,-1.5,2.1,hybrid
45,31.778431,35.236536,31.778406,35.236507,0.860,2.7,2.7,3.8,hybrid
46,31.778469,35.236581,31.778407,35.236507,0.700,6.9,6.9,9.8,hybrid
47,31.778507,35.236625,31.778407,35.236507,0.576,11.2,11.2,15.8,hybrid
48,31.778545,35.236670,31.778407,35.236507,0.441,15.4,15.4,21.8,hybrid
49,31.778583,35.236715,31.778407,35.236507,0.353,19.6,19.6,27.8,hybrid
50,31.778621,35.236760,31.778654,35.236798,0.520,-3.6,-3.6,5.1,hybrid
51,31.778659,35.236805,31.778654,35.236798,1.000,0.6,0.6,0.9,hybrid
52,31.778697,35.236850,31.778654,35.236798,0.483,4.9,4.9,6.9,hybrid
53,31.778735,35.236894,31.778654,35.236798,0.429,9.1,9.1,12.9,hybrid
54,31.778774,35.236939,31.778654,35.236798,0.300,13.4,13.4,18.9,hybrid
55,31.778812,35.236984,31.778901,35.237089,0.300,-9.9,-9.9,14.0,hybrid
56,31.778850,35.237029,31.778901,35.237089,0.436,-5.7,-5.7,8.0,hybrid
