Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776718,35.234515,31.776677,35.234473,0.943,4.6,3.9,6.0,hybrid
1,31.776760,35.234556,31.776677,35.234473,0.807,9.1,7.8,12.0,hybrid
2,31.776801,35.234597,31.776677,35.234473,0.656,13.7,11.7,18.0,hybrid
3,31.776842,35.234638,31.776914,35.234710,0.754,-8.0,-6.8,10.5,hybrid
4,31.776883,35.234679,31.776949,35.234745,0.876,-7.4,-6.3,9.7,hybrid
5,31.776924,35.234720,31.776954,35.234750,0.980,-3.4,-2.9,4.5,hybrid
6,31.776965,35.234761,31.776955,35.234751,0.980,1.1,0.9,1.4,hybrid
7,31.777006,35.234802,31.776955,35.234751,0.963,5.6,4.8,7.4,hybrid
8,31.777047,35.234843,31.776955,35.234751,0.783,10.2,8.7,13.4,hybrid
9,31.777088,35.234884,31.777192,35.234988,0.751,-11.5,-9.8,15.1,hybrid
10,31.777129,35.234925,31.777227,35.235023,0.727,-10.9,-9.3,14.3,hybrid
11,31.777170,35.234966,31.777232,35.235028,0.905,-6.9,-5.9,9.1,hybrid
12,31.777215,35.234931,31.777233,35.235029,0.969,-2.0,-9.3,9.5,hybrid
13,31.777259,35.234895,31.777233,35.235029,0.877,2.9,-12.7,13.0,hybrid
14,31.777304,35.234860,31.777233,35.235029,0.738,7.9,-16.1,17.9,hybrid
15,31.777349,35.234824,31.777469,35.234793,0.771,-13.4,2.9,13.8,hybrid
16,31.777393,35.234789,31.777505,35.234758,0.799,-12.4,2.9,12.8,hybrid
17,31.777438,35.234753,31.777510,35.234752,0.898,-8.0,0.1,8.0,hybrid
18,31.777483,35.234717,31.777511,35.234751,0.972,-3.2,-3.2,4.5,hybrid
19,31.777527,35.234682,31.777511,35.234751,0.914,1.8,-6.6,6.8,hybrid
20,31.777572,35.234646,31.777511,35.234751,0.762,6.8,-9.9,12.0,hybrid
21,31.777617,35.234611,31.777511,35.234751,0.676,11.7,-13.3,17.7,hybrid
22,31.777661,35.234575,31.777747,35.234515,0.794,-9.6,5.7,11.2,hybrid
23,31.777706,35.234540,31.777783,35.234480,0.862,-8.6,5.7,10.3,hybrid
24,31.777750,35.234504,31.777788,35.234474,0.980,-4.2,2.8,5.1,hybrid
25,31.777794,35.234542,31.777789,35.234474,0.929,0.5,6.5,6.5,hybrid
26,31.777837,35.234580,31.777789,35.234473,0.920,5.3,10.1,11.4,hybrid
27,31.777880,35.234618,31.777789,35.234473,0.797,10.1,13.7,17.0,hybrid
28,31.777923,35.234656,31.778025,35.234710,0.745,-11.4,-5.0,12.5,hybrid
29,31.777966,35.234695,31.778061,35.234745,0.846,-10.5,-4.8,11.6,hybrid
30,31.778009,35.234733,31.778066,35.234750,0.839,-6.3,-1.7,6.6,hybrid
31,31.778052,35.234771,31.778067,35.234751,0.980,-1.6,1.8,2.5,hybrid
32,31.778095,35.234809,31.778067,35.234751,0.873,3.2,5.4,6.3,hybrid
33,31.778138,35.234847,31.778067,35.234751,0.843,7.9,9.0,12.0,hybrid
34,31.778181,35.234885,31.778067,35.234751,0.797,12.7,12.6,18.0,hybrid
35,31.778225,35.234923,31.778303,35.234988,0.842,-8.8,-6.1,10.7,hybrid
36,31.778268,35.234961,31.778339,35.235023,0.920,-7.9,-5.9,9.8,hybrid
37,31.778311,35.234999,31.778344,35.235028,0.925,-3.7,-2.8,4.6,hybrid
38,31.778354,35.234961,31.778345,35.235029,0.899,1.0,-6.5,6.5,hybrid
39,31.778397,35.234923,31.778345,35.235029,0.778,5.8,-10.1,11.6,hybrid
40,31.778440,35.234884,31.778581,35.234793,0.844,-15.7,8.6,18.0,hybrid
41,31.778483,35.234846,31.778616,35.234758,0.920,-14.9,8.4,17.1,hybrid
42,31.778526,35.234808,31.778622,35.234752,0.920,-10.7,5.2,11.9,hybrid
43,31.778569,35.234769,31.778623,35.234751,0.919,-6.0,1.7,6.3,hybrid
44,31.778611,35.234731,31.778623,35.234751,0.980,-1.3,-1.9,2.3,hybrid
45,31.778654,35.234693,31.778623,35.234751,0.862,3.5,-5.5,6.6,hybrid
46,31.778697,35.234655,31.778623,35.234751,0.920,8.3,-9.2,12.4,hybrid
47,31.778740,35.234616,31.778623,35.234751,1.000,13.1,-12.8,18.3,hybrid
48,31.778783,35.234578,31.778859,35.234594,0.920,-8.4,-1.5,8.6,hybrid
49,31.778826,35.234540,31.778894,35.234570,0.906,-7.6,-2.9,8.1,hybrid
50,31.778869,35.234501,31.778900,35.234488,0.937,-3.4,1.3,3.6,hybrid
51,31.778877,35.234564,31.778900,35.234554,0.977,-2.6,0.9,2.8,hybrid
52,31.778885,35.234627,31.778901,35.234643,0.934,-1.7,-1.5,2.3,hybrid
53,31.778893,35.234690,31.778901,35.234656,1.000,-0.9,3.1,3.3,hybrid
54,31.778901,35.234752,31.778901,35.234737,1.000,0.0,1.4,1.4,hybrid
