Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,40.758016,-73.985479,40.757977,-73.985530,0.792,4.2,4.2,6.0,hybrid
1,40.758054,-73.985429,40.757977,-73.985530,0.701,8.5,8.5,12.0,hybrid
2,40.758092,-73.985379,40.757977,-73.985530,1.000,12.7,12.7,18.0,hybrid
3,40.758130,-73.985329,40.758187,-73.985253,0.904,-6.4,-6.4,9.1,hybrid
4,40.758168,-73.985278,40.758219,-73.985211,0.920,-5.7,-5.7,8.0,hybrid
5,40.758206,-73.985228,40.758224,-73.985205,0.957,-1.9,-1.9,2.8,hybrid
6,40.758244,-73.985178,40.758224,-73.985204,0.892,2.2,2.2,3.1,hybrid
7,40.758282,-73.985127,40.758224,-73.985204,0.795,6.4,6.4,9.1,hybrid
8,40.758320,-73.985077,40.758224,-73.985204,0.920,10.7,10.7,15.1,hybrid
9,40.758359,-73.985027,40.758434,-73.984926,0.920,-8.4,-8.4,11.9,hybrid
10,40.758397,-73.984976,40.758466,-73.984885,0.817,-7.7,-7.7,10.9,hybrid
11,40.758435,-73.984926,40.758471,-73.984879,0.887,-4.0,-4.0,5.6,hybrid
12,40.758473,-73.984876,40.758471,-73.984878,1.000,0.2,0.2,0.2,hybrid
13,40.758511,-73.984825,40.758471,-73.984878,0.926,4.4,4.4,6.2,hybrid
14,40.758549,-73.984775,40.758471,-73.984878,0.806,8.6,8.6,12.2,hybrid
15,40.758587,-73.984725,40.758681,-73.984600,1.000,-10.5,-10.5,14.8,hybrid
16,40.758625,-73.984674,40.758713,-73.984559,0.825,-9.8,-9.8,13.8,hybrid
17,40.758663,-73.984624,40.758718,-73.984553,0.920,-6.0,-6.0,8.5,hybrid
18,40.758702,-73.984574,40.758718,-73.984552,0.980,-1.9,-1.9,2.6,hybrid
19,40.758740,-73.984524,40.758718,-73.984551,0.980,2.4,2.4,3.3,hybrid
20,40.758778,-73.984473,40.758718,-73.984551,0.915,6.6,6.6,9.3,hybrid
21,40.758816,-73.984423,40.758718,-73.984551,1.000,10.8,10.8,15.3,hybrid
22,40.758854,-73.984373,40.758928,-73.984274,0.753,-8.3,-8.3,11.7,hybrid
23,40.758892,-73.984322,40.758960,-73.984233,0.924,-7.6,-7.6,10.7,hybrid
24,40.758930,-73.984272,40.758965,-73.984226,0.980,-3.8,-3.8,5.4,hybrid
25,40.758968,-73.984222,40.758965,-73.984226,0.880,0.3,0.3,0.5,hybrid
26,40.759006,-73.984171,40.758966,-73.984225,0.949,4.6,4.6,6.4,hybrid
27,40.759045,-73.984121,40.758966,-73.984225,0.879,8.8,8.8,12.4,hybrid
28,40.759083,-73.984071,40.758966,-73.984225,0.782,13.0,13.0,18.4,hybrid
29,40.759121,-73.984020,40.759175,-73.983948,0.918,-6.1,-6.1,8.6,hybrid
30,40.759159,-73.983970,40.759207,-73.983907,0.868,-5.4,-5.4,7.6,hybrid
31,40.759197,-73.983920,40.759212,-73.983900,0.980,-1.6,-1.6,2.3,hybrid
32,40.759235,-73.983869,40.759212,-73.983899,0.980,2.5,2.5,3.6,hybrid
33,40.759273,-73.983819,40.759213,-73.983899,0.846,6.8,6.8,9.6,hybrid
34,40.759311,-73.983769,40.759213,-73.983899,0.807,11.0,11.0,15.6,hybrid
35,40.759349,-73.983718,40.759423,-73.983622,0.920,-8.1,-8.1,11.5,hybrid
36,40.759388,-73.983668,40.759454,-73.983580,0.920,-7.4,-7.4,10.5,hybrid
37,40.759426,-73.983618,40.759459,-73.983574,0.925,-3.7,-3.7,5.2,hybrid
38,40.759464,-73.983568,40.759459,-73.983573,0.980,0.5,0.5,0.7,hybrid
39,40.759502,-73.983517,40.759460,-73.983573,0.904,4.7,4.7,6.7,hybrid
40,40.759540,-73.983467,40.759460,-73.983573,0.920,9.0,9.0,12.7,hybrid
41,40.759578,-73.983417,40.759460,-73.983573,0.920,13.2,13.2,18.7,hybrid
42,40.759616,-73.983366,40.759670,-73.983296,0.920,-5.9,-5.9,8.4,hybrid
43,40.759654,-73.983316,40.759701,-73.983254,0.905,-5.2,-5.2,7.3,hybrid
44,40.759692,-73.983266,40.759706,-73.983248,0.980,-1.5,-1.5,2.1,hybrid
45,40.759731,-73.983215,40.759706,-73.983247,0.980,2.7,2.7,3.8,hybrid
46,40.759769,-73.983165,40.759707,-73.983247,0.827,6.9,6.9,9.8,hybrid
47,40.759807,-73.983115,40.759707,-73.983247,0.793,11.2,11.2,15.8,hybrid
48,40.759845,-73.983064,40.759917,-73.982970,0.869,-8.0,-8.0,11.3,hybrid
49,40.759883,-73.983014,40.759948,-73.982928,0.795,-7.2,-7.2,10.2,hybrid
50,40.759921,-73.982964,40.759953,-73.982922,0.969,-3.5,-3.5,5.0,hybrid
51,40.759959,-73.982913,40.759953,-73.982921,0.860,0.6,0.6,0.9,hybrid
52,40.759997,-73.982863,40.759954,-73.982921,0.900,4.9,4.9,6.9,hybrid
53,40.760035,-73.982813,40.759954,-73.982921,0.796,9.1,9.1,12.9,hybrid
54,40.760074,-73.982762,40.760164,-73.982644,0.783,-10.0,-10.0,14.2,hybrid
55,40.760112,-73.982712,40.760195,-73.982602,0.920,-9.3,-9.3,13.1,hybrid
56,40.760150,-73.982662,40.760200,-73.982596,0.894,-5.6,-5.6,7.9,hybrid
