Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,40.758020,-73.985487,40.757977,-73.985530,0.791,4.8,3.6,6.0,hybrid
1,40.758063,-73.985444,40.757977,-73.985530,0.720,9.6,7.2,12.0,hybrid
2,40.758106,-73.985401,40.757977,-73.985530,1.000,14.3,10.9,18.0,hybrid
3,40.758149,-73.985358,40.758214,-73.985294,0.866,-7.2,-5.4,9.0,hybrid
4,40.758192,-73.985315,40.758249,-73.985258,0.735,-6.3,-4.8,7.9,hybrid
5,40.758235,-73.985272,40.758254,-73.985253,0.914,-2.1,-1.6,2.7,hybrid
6,40.758278,-73.985229,40.758255,-73.985252,0.946,2.6,1.9,3.2,hybrid
7,40.758321,-73.985186,40.758255,-73.985252,0.795,7.3,5.6,9.2,hybrid
8,40.758364,-73.985143,40.758255,-73.985252,0.832,12.1,9.2,15.2,hybrid
9,40.758407,-73.985100,40.758255,-73.985252,0.639,16.9,12.8,21.2,hybrid
10,40.758450,-73.985057,40.758492,-73.985016,0.705,-4.6,-3.5,5.8,hybrid
11,40.758493,-73.985014,40.758527,-73.984980,0.868,-3.8,-2.9,4.7,hybrid
12,40.758538,-73.985053,40.758532,-73.984975,0.760,0.6,-6.6,6.6,hybrid
13,40.758583,-73.985092,40.758533,-73.984974,0.591,5.6,-10.0,11.4,hybrid
14,40.758628,-73.985131,40.758811,-73.985252,0.453,-20.4,10.2,22.8,hybrid
15,40.758673,-73.985170,40.758811,-73.985252,0.458,-15.3,6.9,16.8,hybrid
16,40.758718,-73.985209,40.758811,-73.985252,0.516,-10.3,3.6,10.9,hybrid
17,40.758763,-73.985248,40.758811,-73.985252,0.528,-5.3,0.3,5.3,hybrid
18,40.758809,-73.985287,40.758811,-73.985252,0.523,-0.3,-3.0,3.0,hybrid
19,40.758854,-73.985326,40.758811,-73.985252,0.300,4.7,-6.3,7.9,hybrid
20,40.758899,-73.985365,40.758811,-73.985252,0.300,9.8,-9.6,13.7,hybrid
21,40.758944,-73.985404,40.759089,-73.985530,0.415,-16.2,10.6,19.3,hybrid
22,40.758989,-73.985443,40.759089,-73.985530,0.534,-11.1,7.3,13.3,hybrid
23,40.759034,-73.985482,40.759089,-73.985530,0.625,-6.1,4.0,7.3,hybrid
24,40.759080,-73.985444,40.759089,-73.985530,0.658,-1.1,7.2,7.3,hybrid
25,40.759125,-73.985406,40.759089,-73.985530,0.571,4.0,10.4,11.2,hybrid
26,40.759171,-73.985368,40.759089,-73.985530,0.415,9.1,13.6,16.4,hybrid
27,40.759216,-73.985330,40.759367,-73.985252,0.474,-16.8,-6.6,18.0,hybrid
28,40.759262,-73.985293,40.759367,-73.985252,0.607,-11.7,-3.4,12.2,hybrid
29,40.759308,-73.985255,40.759367,-73.985252,0.770,-6.6,-0.2,6.6,hybrid
30,40.759353,-73.985217,40.759367,-73.985252,0.851,-1.5,3.0,3.3,hybrid
31,40.759399,-73.985179,40.759367,-73.985252,0.707,3.5,6.2,7.1,hybrid
32,40.759444,-73.985141,40.759367,-73.985252,0.762,8.6,9.4,12.7,hybrid
33,40.759490,-73.985103,40.759603,-73.985016,0.946,-12.6,-7.3,14.6,hybrid
34,40.759536,-73.985065,40.759639,-73.984980,1.000,-11.5,-7.1,13.5,hybrid
35,40.759581,-73.985027,40.759644,-73.984975,0.695,-7.0,-4.4,8.2,hybrid
36,40.759627,-73.985064,40.759645,-73.984974,0.855,-2.0,-7.6,7.8,hybrid
37,40.759673,-73.985101,40.759645,-73.984974,0.856,3.1,-10.7,11.2,hybrid
38,40.759719,-73.985139,40.759645,-73.984974,0.841,8.2,-13.9,16.2,hybrid
39,40.759765,-73.985176,40.759881,-73.985210,0.759,-12.9,2.9,13.3,hybrid
40,40.759811,-73.985213,40.759916,-73.985246,0.773,-11.8,2.7,12.1,hybrid
41,40.759857,-73.985251,40.759922,-73.985251,0.917,-7.3,0.0,7.3,hybrid
42,40.759903,-73.985288,40.759923,-73.985252,0.895,-2.2,-3.0,3.8,hybrid
43,40.759948,-73.985325,40.759923,-73.985252,0.863,2.9,-6.2,6.8,hybrid
44,40.759994,-73.985362,40.759923,-73.985252,0.798,8.0,-9.3,12.3,hybrid
45,40.760040,-73.985400,40.760159,-73.985409,1.000,-13.2,0.8,13.2,hybrid
46,40.760086,-73.985437,40.760194,-73.985433,0.880,-12.0,-0.3,12.0,hybrid
47,40.760132,-73.985474,40.760200,-73.985515,0.976,-7.5,3.5,8.3,hybrid
48,40.760152,-73.985408,40.760200,-73.985449,0.992,-5.3,3.4,6.3,hybrid
49,40.760173,-73.985342,40.760201,-73.985360,0.980,-3.1,1.5,3.4,hybrid
50,40.760193,-73.985276,40.760201,-73.985268,1.000,-0.8,-0.7,1.1,hybrid
