Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,31.776716,35.234512,31.776711,35.234505,0.980,6.1,0,6.0,1.4,hybrid
1,31.776754,35.234563,31.776677,35.234473,31.776747,35.234539,31.776730,35.234524,0.817,10.6,0,12.0,4.6,hybrid
2,31.776792,35.234608,31.776677,35.234473,31.776758,35.234554,31.776731,35.234528,0.643,12.7,0,18.0,10.1,hybrid
3,31.776830,35.234653,31.776924,35.234764,31.776751,35.234547,31.776833,35.234650,0.881,31.0,0,14.9,0.4,hybrid
4,31.776868,35.234698,31.776924,35.234764,31.776876,35.234699,31.776899,35.234730,0.924,9.0,0,8.9,4.6,hybrid
5,31.776906,35.234742,31.776924,35.234764,31.776951,35.234791,31.776937,35.234779,0.980,4.2,0,2.9,4.9,hybrid
6,31.776944,35.234787,31.776924,35.234764,31.776985,35.234837,31.776957,35.234802,0.980,10.5,0,3.1,2.0,hybrid
7,31.776982,35.234832,31.776924,35.234764,31.776995,35.234848,31.776962,35.234810,0.958,12.2,0,9.1,3.1,hybrid
8,31.777020,35.234877,31.777171,35.235055,31.776993,35.234844,31.777069,35.234932,0.766,30.7,0,23.8,7.5,hybrid
9,31.777059,35.234922,31.777171,35.235055,31.777121,35.234993,31.777145,35.235020,0.851,8.9,0,17.8,13.4,hybrid
10,31.777097,35.234967,31.777171,35.235055,31.777203,35.235088,31.777189,35.235073,0.781,5.1,0,11.8,14.4,hybrid
11,31.777135,35.235011,31.777171,35.235055,31.777243,35.235138,31.777206,35.235096,0.977,12.2,0,5.8,11.3,hybrid
12,31.777173,35.235056,31.777171,35.235055,31.777250,35.235149,31.777212,35.235104,1.000,13.7,0,0.2,6.3,hybrid
13,31.777211,35.235101,31.777171,35.235055,31.777246,35.235142,31.777210,35.235100,0.980,12.8,0,6.2,0.1,hybrid
14,31.777249,35.235146,31.777171,35.235055,31.777233,35.235126,31.777205,35.235092,0.920,10.5,0,12.2,7.1,hybrid
15,31.777287,35.235191,31.777418,35.235345,31.777220,35.235111,31.777308,35.235214,0.832,34.2,0,20.7,3.2,hybrid
16,31.777325,35.235236,31.777418,35.235345,31.777348,35.235260,31.777380,35.235298,0.861,12.3,0,14.7,8.5,hybrid
17,31.777363,35.235280,31.777418,35.235345,31.777430,35.235355,31.777424,35.235352,0.980,1.7,0,8.7,9.5,hybrid
18,31.777402,35.235325,31.777418,35.235345,31.777472,35.235409,31.777445,35.235378,0.980,9.2,0,2.7,7.0,hybrid
19,31.777440,35.235370,31.777418,35.235345,31.777487,35.235428,31.777454,35.235386,0.980,11.9,0,3.3,2.2,hybrid
20,31.777478,35.235415,31.777418,35.235345,31.777487,35.235424,31.777454,35.235386,0.964,11.6,0,9.3,3.8,hybrid
21,31.777516,35.235460,31.777418,35.235345,31.777477,35.235413,31.777451,35.235382,0.920,10.0,0,15.3,10.3,hybrid
22,31.777554,35.235505,31.777666,35.235636,31.777466,35.235397,31.777561,35.235512,0.930,34.6,0,17.6,1.0,hybrid
23,31.777592,35.235549,31.777666,35.235636,31.777603,35.235561,31.777632,35.235596,0.862,10.8,0,11.6,6.2,hybrid
24,31.777630,35.235594,31.777666,35.235636,31.777681,35.235653,31.777674,35.235645,0.980,2.6,0,5.6,6.8,hybrid
25,31.777668,35.235639,31.777666,35.235636,31.777721,35.235703,31.777697,35.235672,0.873,9.7,0,0.4,4.4,hybrid
26,31.777706,35.235684,31.777666,35.235636,31.777737,35.235722,31.777702,35.235680,0.980,12.4,0,6.4,0.6,hybrid
27,31.777745,35.235729,31.777666,35.235636,31.777733,35.235718,31.777704,35.235683,0.817,11.8,0,12.4,6.2,hybrid
28,31.777783,35.235774,31.777666,35.235636,31.777727,35.235710,31.777699,35.235676,0.881,10.8,0,18.4,13.2,hybrid
29,31.777821,35.235818,31.777913,35.235926,31.777712,35.235695,31.777803,35.235802,0.843,34.1,0,14.4,2.5,hybrid
30,31.777859,35.235863,31.777913,35.235926,31.777843,35.235847,31.777878,35.235886,0.980,11.7,0,8.4,3.0,hybrid
31,31.777897,35.235908,31.777913,35.235926,31.777927,35.235943,31.777920,35.235935,0.888,2.5,0,2.4,3.6,hybrid
32,31.777935,35.235953,31.777913,35.235926,31.777967,35.235992,31.777941,35.235962,0.980,9.6,0,3.6,1.1,hybrid
33,31.777973,35.235998,31.777913,35.235926,31.777981,35.236008,31.777948,35.235970,0.980,11.8,0,9.6,3.8,hybrid
34,31.778011,35.236043,31.777913,35.235926,31.777979,35.236008,31.777948,35.235970,0.899,11.7,0,15.6,9.8,hybrid
35,31.778049,35.236087,31.778160,35.236217,31.777969,35.235996,31.778055,35.236095,0.846,32.4,0,17.3,1.0,hybrid
36,31.778088,35.236132,31.778160,35.236217,31.778101,35.236149,31.778130,35.236183,0.980,10.0,0,11.3,6.7,hybrid
37,31.778126,35.236177,31.778160,35.236217,31.778185,35.236248,31.778173,35.236233,0.980,4.5,0,5.3,7.5,hybrid
38,31.778164,35.236222,31.778160,35.236217,31.778225,35.236294,31.778194,35.236256,1.000,11.2,0,0.7,4.7,hybrid
39,31.778202,35.236267,31.778160,35.236217,31.778236,35.236305,31.778200,35.236263,0.980,13.0,0,6.7,0.4,hybrid
40,31.778240,35.236312,31.778160,35.236217,31.778233,35.236301,31.778198,35.236263,0.980,12.4,0,12.7,6.5,hybrid
41,31.778278,35.236356,31.778160,35.236217,31.778219,35.236290,31.778194,35.236259,0.768,10.5,0,18.7,13.1,hybrid
42,31.778316,35.236401,31.778407,35.236507,31.778210,35.236275,31.778296,35.236378,0.736,33.9,0,14.2,3.2,hybrid
43,31.778354,35.236446,31.778407,35.236507,31.778334,35.236423,31.778368,35.236462,0.831,12.4,0,8.2,2.1,hybrid
44,31.778392,35.236491,31.778407,35.236507,31.778416,35.236519,31.778412,35.236515,0.935,1.6,0,2.2,3.1,hybrid
45,31.778431,35.236536,31.778407,35.236507,31.778460,35.236568,31.778435,35.236542,0.860,9.0,0,3.8,0.7,hybrid
46,31.778469,35.236581,31.778407,35.236507,31.778475,35.236588,31.778446,35.236553,0.700,11.7,0,9.8,3.6,hybrid
47,31.778507,35.236625,31.778407,35.236507,31.778479,35.236591,31.778450,35.236557,0.576,12.3,0,15.8,9.0,hybrid
48,31.778545,35.236670,31.778407,35.236507,31.778475,35.236588,31.778450,35.236557,0.441,11.7,0,21.8,15.0,hybrid
49,31.778583,35.236715,31.778407,35.236507,31.778467,35.236576,31.778446,35.236553,0.353,10.2,0,27.8,21.6,hybrid
50,31.778621,35.236760,31.778654,35.236798,31.778458,35.236568,31.778458,35.236568,0.520,33.6,1,5.1,25.7,hybrid
51,31.778659,35.236805,31.778654,35.236798,31.778469,35.236584,31.778601,35.236736,1.000,31.5,0,0.9,9.2,hybrid
52,31.778697,35.236850,31.778654,35.236798,31.778643,35.236786,31.778646,35.236790,0.483,1.8,0,6.9,8.0,hybrid
53,31.778735,35.236894,31.778654,35.236798,31.778688,35.236839,31.778675,35.236824,0.429,6.0,0,12.9,9.5,hybrid
54,31.778774,35.236939,31.778654,35.236798,31.778715,35.236870,31.778694,35.236847,0.300,10.5,0,18.9,12.4,hybrid
55,31.778812,35.236984,31.778901,35.237089,31.778728,35.236885,31.778791,35.236958,0.300,29.7,0,14.0,3.4,hybrid
56,31.778850,35.237029,31.778901,35.237089,31.778841,35.237015,31.778868,35.237049,0.436,10.6,0,8.0,2.8,hybrid
