Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776718,35.234515,31.776677,35.234473,31.776720,35.234509,31.776714,35.234505,0.943,6.1,0,6.0,1.0,hybrid
1,31.776760,35.234556,31.776677,35.234473,31.776752,35.234539,31.776733,35.234524,0.807,11.1,0,12.0,4.2,hybrid
2,31.776801,35.234597,31.776677,35.234473,31.776764,35.234550,31.776735,35.234524,0.656,12.9,0,18.0,10.0,hybrid
3,31.776842,35.234638,31.776955,35.234751,31.776756,35.234543,31.776842,35.234634,0.754,32.1,0,16.6,0.3,hybrid
4,31.776883,35.234679,31.776955,35.234751,31.776890,35.234680,31.776922,35.234715,0.876,10.8,0,10.6,5.5,hybrid
5,31.776924,35.234720,31.776955,35.234751,31.776978,35.234768,31.776966,35.234760,0.980,3.1,0,4.6,6.1,hybrid
6,31.776965,35.234761,31.776955,35.234751,31.777020,35.234814,31.776989,35.234783,0.980,10.0,0,1.4,3.4,hybrid
7,31.777006,35.234802,31.776955,35.234751,31.777033,35.234829,31.776997,35.234795,0.963,12.2,0,7.4,1.3,hybrid
8,31.777047,35.234843,31.776955,35.234751,31.777031,35.234829,31.776999,35.234795,0.783,12.1,0,13.4,7.1,hybrid
9,31.777088,35.234884,31.777233,35.235029,31.777023,35.234821,31.777121,35.234917,0.751,32.9,0,21.2,4.8,hybrid
10,31.777129,35.234925,31.777233,35.235029,31.777170,35.234966,31.777201,35.234997,0.727,9.9,0,15.2,10.5,hybrid
11,31.777170,35.234966,31.777233,35.235029,31.777260,35.235058,31.777245,35.235043,0.905,4.3,0,9.2,11.0,hybrid
12,31.777215,35.234931,31.777233,35.235029,31.777214,35.234936,31.777225,35.234993,0.969,10.6,0,9.5,6.0,hybrid
13,31.777259,35.234895,31.777233,35.235029,31.777275,35.234985,31.777250,35.235012,0.877,6.8,0,13.0,11.1,hybrid
14,31.777304,35.234860,31.777233,35.235029,31.777290,35.235016,31.777260,35.235023,0.738,6.5,0,17.9,16.3,hybrid
15,31.777349,35.234824,31.777511,35.234751,31.777288,35.235027,31.777409,35.234882,0.771,39.5,0,19.3,8.7,hybrid
16,31.777393,35.234789,31.777511,35.234751,31.777475,35.234840,31.777494,35.234795,0.799,10.7,0,13.6,11.3,hybrid
17,31.777438,35.234753,31.777511,35.234751,31.777567,35.234741,31.777538,35.234749,0.898,6.3,0,8.1,11.2,hybrid
18,31.777483,35.234717,31.777511,35.234751,31.777601,35.234695,31.777555,35.234726,0.972,11.8,0,4.5,8.1,hybrid
19,31.777527,35.234682,31.777511,35.234751,31.777607,35.234680,31.777561,35.234715,0.914,13.3,0,6.8,4.9,hybrid
20,31.777572,35.234646,31.777511,35.234751,31.777599,35.234680,31.777561,35.234711,0.762,12.6,0,12.0,6.2,hybrid
21,31.777617,35.234611,31.777511,35.234751,31.777588,35.234684,31.777554,35.234715,0.676,11.4,0,17.7,12.1,hybrid
22,31.777661,35.234575,31.777789,35.234473,31.777573,35.234695,31.777685,35.234581,0.794,34.5,0,17.2,2.7,hybrid
23,31.777706,35.234540,31.777789,35.234473,31.777739,35.234528,31.777767,35.234497,0.862,8.2,0,11.2,7.9,hybrid
24,31.777750,35.234504,31.777789,35.234473,31.777830,35.234432,31.777803,35.234459,0.980,6.5,0,5.2,7.3,hybrid
25,31.777794,35.234542,31.777789,35.234473,31.777794,35.234535,31.777790,35.234497,0.929,6.9,0,6.5,4.3,hybrid
26,31.777837,35.234580,31.777789,35.234473,31.777832,35.234516,31.777805,35.234489,0.920,6.7,0,11.4,9.3,hybrid
27,31.777880,35.234618,31.777789,35.234473,31.777836,35.234497,31.777809,35.234486,0.797,5.8,0,17.0,14.8,hybrid
28,31.777923,35.234656,31.778067,35.234751,31.777830,35.234489,31.777952,35.234627,0.745,39.3,0,18.4,4.3,hybrid
29,31.777966,35.234695,31.778067,35.234751,31.778013,35.234673,31.778042,35.234715,0.846,10.6,0,12.5,8.7,hybrid
30,31.778009,35.234733,31.778067,35.234751,31.778111,35.234776,31.778090,35.234764,0.839,5.5,0,6.7,9.4,hybrid
31,31.778052,35.234771,31.778067,35.234751,31.778152,35.234821,31.778109,35.234787,0.980,12.3,0,2.5,6.5,hybrid
32,31.778095,35.234809,31.778067,35.234751,31.778160,35.234833,31.778116,35.234795,0.873,13.8,0,6.3,2.7,hybrid
33,31.778138,35.234847,31.778067,35.234751,31.778154,35.234833,31.778114,35.234795,0.843,13.3,0,12.0,5.6,hybrid
34,31.778181,35.234885,31.778067,35.234751,31.778141,35.234821,31.778105,35.234787,0.797,11.3,0,18.0,12.6,hybrid
35,31.778225,35.234923,31.778345,35.235029,31.778124,35.234806,31.778238,35.234924,0.842,35.0,0,16.7,1.5,hybrid
36,31.778268,35.234961,31.778345,35.235029,31.778292,35.234978,31.778322,35.235008,0.920,8.2,0,10.7,7.5,hybrid
37,31.778311,35.234999,31.778345,35.235029,31.778387,35.235073,31.778362,35.235046,0.925,6.8,0,4.7,7.3,hybrid
38,31.778354,35.234961,31.778345,35.235029,31.778355,35.234966,31.778349,35.235004,0.899,7.1,0,6.5,4.2,hybrid
39,31.778397,35.234923,31.778345,35.235029,31.778389,35.234985,31.778364,35.235012,0.778,6.9,0,11.6,9.2,hybrid
40,31.778440,35.234884,31.778623,35.234751,31.778395,35.235004,31.778526,35.234859,0.844,37.9,0,24.0,9.9,hybrid
41,31.778483,35.234846,31.778623,35.234751,31.778605,35.234798,31.778616,35.234772,0.920,5.6,0,18.0,16.4,hybrid
42,31.778526,35.234808,31.778623,35.234751,31.778698,35.234703,31.778660,35.234730,0.920,10.0,0,12.1,16.7,hybrid
43,31.778569,35.234769,31.778623,35.234751,31.778730,35.234669,31.778677,35.234711,0.919,15.1,0,6.3,13.3,hybrid
44,31.778611,35.234731,31.778623,35.234751,31.778732,35.234665,31.778677,35.234711,0.980,15.5,0,2.3,7.5,hybrid
45,31.778654,35.234693,31.778623,35.234751,31.778715,35.234676,31.778673,35.234711,0.862,13.2,0,6.6,2.7,hybrid
46,31.778697,35.234655,31.778623,35.234751,31.778700,35.234684,31.778664,35.234718,0.920,11.4,0,12.4,7.1,hybrid
47,31.778740,35.234616,31.778623,35.234751,31.778681,35.234703,31.778650,35.234730,1.000,8.4,0,18.3,14.7,hybrid
48,31.778783,35.234578,31.778901,35.234566,31.778660,35.234722,31.778786,35.234642,0.920,31.9,0,13.1,6.1,hybrid
49,31.778826,35.234540,31.778901,35.234566,31.778835,35.234608,31.778872,35.234585,0.906,8.6,0,8.6,6.6,hybrid
50,31.778869,35.234501,31.778901,35.234473,31.778934,35.234543,31.778913,35.234501,0.937,8.6,0,4.4,4.9,hybrid
51,31.778877,35.234564,31.778901,35.234566,31.778877,35.234554,31.778891,35.234562,0.977,2.9,0,2.6,1.5,hybrid
52,31.778885,35.234627,31.778901,35.234659,31.778904,35.234619,31.778902,35.234642,0.934,4.4,0,3.5,2.4,hybrid
53,31.778893,35.234690,31.778901,35.234659,31.778913,35.234707,31.778906,35.234676,1.000,5.5,0,3.0,1.9,hybrid
