Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758016,-73.985479,40.757977,-73.985530,40.758015,-73.985489,40.758011,-73.985497,0.792,6.2,0,6.0,1.5,hybrid
1,40.758054,-73.985429,40.757977,-73.985530,40.758045,-73.985458,40.758030,-73.985474,0.701,11.0,0,12.0,4.6,hybrid
2,40.758092,-73.985379,40.757977,-73.985530,40.758060,-73.985443,40.758026,-73.985481,1.000,13.4,0,18.0,11.3,hybrid
3,40.758130,-73.985329,40.758224,-73.985204,40.758045,-73.985466,40.758125,-73.985352,0.904,35.4,0,14.9,2.0,hybrid
4,40.758168,-73.985278,40.758224,-73.985204,40.758167,-73.985298,40.758194,-73.985252,0.920,12.3,0,8.9,3.6,hybrid
5,40.758206,-73.985228,40.758224,-73.985204,40.758244,-73.985184,40.758236,-73.985191,0.957,3.1,0,2.9,4.5,hybrid
6,40.758244,-73.985178,40.758224,-73.985204,40.758282,-73.985130,40.758255,-73.985168,0.892,10.4,0,3.1,1.4,hybrid
7,40.758282,-73.985127,40.758224,-73.985204,40.758293,-73.985115,40.758263,-73.985153,0.795,12.5,0,9.1,3.1,hybrid
8,40.758320,-73.985077,40.758224,-73.985204,40.758293,-73.985115,40.758259,-73.985161,0.920,12.5,0,15.1,9.9,hybrid
9,40.758359,-73.985027,40.758471,-73.984878,40.758282,-73.985130,40.758373,-73.985008,0.920,35.2,0,17.8,2.3,hybrid
10,40.758397,-73.984976,40.758471,-73.984878,40.758419,-73.984947,40.758442,-73.984917,0.817,9.7,0,11.8,7.1,hybrid
11,40.758435,-73.984926,40.758471,-73.984878,40.758495,-73.984848,40.758484,-73.984863,0.887,4.2,0,5.8,7.6,hybrid
12,40.758473,-73.984876,40.758471,-73.984878,40.758533,-73.984795,40.758503,-73.984833,1.000,11.5,0,0.2,4.9,hybrid
13,40.758511,-73.984825,40.758471,-73.984878,40.758545,-73.984779,40.758511,-73.984825,0.926,13.7,0,6.2,0.1,hybrid
14,40.758549,-73.984775,40.758471,-73.984878,40.758545,-73.984779,40.758514,-73.984825,0.806,13.7,0,12.2,5.7,hybrid
15,40.758587,-73.984725,40.758718,-73.984551,40.758537,-73.984795,40.758629,-73.984673,1.000,33.8,0,20.7,6.4,hybrid
16,40.758625,-73.984674,40.758718,-73.984551,40.758678,-73.984612,40.758698,-73.984581,0.825,8.0,0,14.7,11.3,hybrid
17,40.758663,-73.984624,40.758718,-73.984551,40.758751,-73.984512,40.758736,-73.984528,0.920,5.7,0,8.7,11.4,hybrid
18,40.758702,-73.984574,40.758718,-73.984551,40.758785,-73.984459,40.758755,-73.984505,0.980,12.7,0,2.7,8.3,hybrid
19,40.758740,-73.984524,40.758718,-73.984551,40.758797,-73.984451,40.758759,-73.984497,0.980,14.1,0,3.3,3.1,hybrid
20,40.758778,-73.984473,40.758718,-73.984551,40.758789,-73.984459,40.758759,-73.984505,0.915,13.0,0,9.3,3.4,hybrid
21,40.758816,-73.984423,40.758718,-73.984551,40.758781,-73.984474,40.758751,-73.984512,1.000,11.1,0,15.3,10.5,hybrid
22,40.758854,-73.984373,40.758966,-73.984225,40.758766,-73.984497,40.758850,-73.984383,0.753,37.5,0,17.6,1.0,hybrid
23,40.758892,-73.984322,40.758966,-73.984225,40.758888,-73.984329,40.758926,-73.984276,0.924,14.4,0,11.6,5.5,hybrid
24,40.758930,-73.984272,40.758966,-73.984225,40.758976,-73.984207,40.758972,-73.984215,0.980,2.3,0,5.6,6.7,hybrid
25,40.758968,-73.984222,40.758966,-73.984225,40.759018,-73.984154,40.758995,-73.984184,0.880,9.9,0,0.4,4.3,hybrid
26,40.759006,-73.984171,40.758966,-73.984225,40.759033,-73.984131,40.758999,-73.984177,0.949,12.9,0,6.4,1.0,hybrid
27,40.759045,-73.984121,40.758966,-73.984225,40.759029,-73.984138,40.758999,-73.984177,0.879,12.0,0,12.4,6.9,hybrid
28,40.759083,-73.984071,40.758966,-73.984225,40.759022,-73.984146,40.758995,-73.984177,0.782,10.8,0,18.4,13.2,hybrid
29,40.759121,-73.984020,40.759213,-73.983899,40.759010,-73.984154,40.759109,-73.984032,0.918,36.2,0,14.4,1.6,hybrid
30,40.759159,-73.983970,40.759213,-73.983899,40.759151,-73.983978,40.759178,-73.983940,0.868,11.1,0,8.4,3.3,hybrid
31,40.759197,-73.983920,40.759213,-73.983899,40.759228,-73.983871,40.759220,-73.983887,0.980,3.5,0,2.4,3.8,hybrid
32,40.759235,-73.983869,40.759213,-73.983899,40.759270,-73.983826,40.759243,-73.983864,0.980,10.4,0,3.6,1.0,hybrid
33,40.759273,-73.983819,40.759213,-73.983899,40.759285,-73.983810,40.759254,-73.983849,0.846,12.8,0,9.6,3.2,hybrid
34,40.759311,-73.983769,40.759213,-73.983899,40.759285,-73.983810,40.759251,-73.983849,0.807,12.8,0,15.6,9.5,hybrid
