Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758020,-73.985487,40.757977,-73.985530,40.758018,-73.985497,40.758015,-73.985504,0.791,5.9,0,6.0,1.6,hybrid
1,40.758063,-73.985444,40.757977,-73.985530,40.758057,-73.985474,40.758038,-73.985489,0.720,10.8,0,12.0,4.8,hybrid
2,40.758106,-73.985401,40.757977,-73.985530,40.758072,-73.985466,40.758030,-73.985489,1.000,12.7,0,18.0,11.3,hybrid
3,40.758149,-73.985358,40.758255,-73.985252,40.758049,-73.985474,40.758141,-73.985374,0.866,33.7,0,14.8,1.7,hybrid
4,40.758192,-73.985315,40.758255,-73.985252,40.758186,-73.985329,40.758217,-73.985298,0.735,11.5,0,8.8,3.1,hybrid
5,40.758235,-73.985272,40.758255,-73.985252,40.758270,-73.985245,40.758263,-73.985245,0.914,1.8,0,2.8,3.8,hybrid
6,40.758278,-73.985229,40.758255,-73.985252,40.758316,-73.985191,40.758286,-73.985222,0.946,9.5,0,3.2,1.0,hybrid
7,40.758321,-73.985186,40.758255,-73.985252,40.758331,-73.985176,40.758297,-73.985207,0.795,11.9,0,9.2,3.2,hybrid
8,40.758364,-73.985143,40.758255,-73.985252,40.758331,-73.985168,40.758293,-73.985207,0.832,12.6,0,15.2,9.5,hybrid
9,40.758407,-73.985100,40.758255,-73.985252,40.758320,-73.985176,40.758289,-73.985214,0.639,11.1,0,21.2,16.3,hybrid
10,40.758450,-73.985057,40.758533,-73.984974,40.758308,-73.985199,40.758430,-73.985077,0.705,35.4,0,11.6,2.7,hybrid
11,40.758493,-73.985014,40.758533,-73.984974,40.758488,-73.985016,40.758514,-73.984993,0.868,6.9,0,5.6,3.0,hybrid
12,40.758538,-73.985053,40.758533,-73.984974,40.758537,-73.985046,40.758533,-73.985008,0.760,8.1,0,6.7,3.8,hybrid
13,40.758583,-73.985092,40.758533,-73.984974,40.758579,-73.985023,40.758556,-73.985001,0.591,7.5,0,11.4,8.3,hybrid
14,40.758628,-73.985131,40.758811,-73.985252,40.758591,-73.985008,40.758591,-73.985008,0.453,36.6,1,22.8,11.2,hybrid
15,40.758673,-73.985170,40.758811,-73.985252,40.758625,-73.985016,40.758625,-73.985016,0.458,33.5,1,16.8,14.1,hybrid
16,40.758718,-73.985209,40.758811,-73.985252,40.758659,-73.985023,40.758659,-73.985023,0.516,30.5,1,10.9,17.0,hybrid
17,40.758763,-73.985248,40.758811,-73.985252,40.758694,-73.985031,40.758793,-73.985214,0.528,27.8,0,5.3,4.3,hybrid
18,40.758809,-73.985287,40.758811,-73.985252,40.758846,-73.985260,40.758827,-73.985252,0.523,4.0,0,3.0,3.6,hybrid
19,40.758854,-73.985326,40.758811,-73.985252,40.758877,-73.985291,40.758854,-73.985275,0.300,8.5,0,7.9,4.3,hybrid
20,40.758899,-73.985365,40.758811,-73.985252,40.758900,-73.985313,40.758865,-73.985291,0.300,12.0,0,13.7,7.3,hybrid
21,40.758944,-73.985404,40.759089,-73.985530,40.758904,-73.985321,40.758987,-73.985413,0.415,31.1,0,19.3,4.9,hybrid
22,40.758989,-73.985443,40.759089,-73.985530,40.759045,-73.985466,40.759068,-73.985497,0.534,8.7,0,13.3,9.8,hybrid
23,40.759034,-73.985482,40.759089,-73.985530,40.759129,-73.985558,40.759106,-73.985542,0.625,5.4,0,7.3,9.5,hybrid
24,40.759080,-73.985444,40.759089,-73.985530,40.759079,-73.985451,40.759087,-73.985497,0.658,8.9,0,7.3,4.5,hybrid
25,40.759125,-73.985406,40.759089,-73.985530,40.759136,-73.985481,40.759113,-73.985504,0.571,7.5,0,11.2,8.4,hybrid
26,40.759171,-73.985368,40.759089,-73.985530,40.759151,-73.985497,40.759125,-73.985512,0.415,7.9,0,16.4,13.1,hybrid
27,40.759216,-73.985330,40.759367,-73.985252,40.759155,-73.985512,40.759155,-73.985512,0.474,37.3,1,18.0,16.7,hybrid
28,40.759262,-73.985293,40.759367,-73.985252,40.759186,-73.985512,40.759186,-73.985512,0.607,35.3,1,12.2,20.3,hybrid
29,40.759308,-73.985255,40.759367,-73.985252,40.759216,-73.985512,40.759338,-73.985298,0.770,33.4,0,6.6,5.0,hybrid
30,40.759353,-73.985217,40.759367,-73.985252,40.759392,-73.985252,40.759377,-73.985252,0.851,2.8,0,3.3,4.0,hybrid
31,40.759399,-73.985179,40.759367,-73.985252,40.759426,-73.985207,40.759399,-73.985229,0.707,8.3,0,7.1,4.3,hybrid
32,40.759444,-73.985141,40.759367,-73.985252,40.759445,-73.985191,40.759407,-73.985222,0.762,11.0,0,12.7,8.0,hybrid
33,40.759490,-73.985103,40.759645,-73.984974,40.759441,-73.985191,40.759548,-73.985077,0.946,33.1,0,20.4,6.8,hybrid
34,40.759536,-73.985065,40.759645,-73.984974,40.759609,-73.985016,40.759628,-73.984993,1.000,6.1,0,14.4,12.0,hybrid
35,40.759581,-73.985027,40.759645,-73.984974,40.759697,-73.984924,40.759670,-73.984947,0.695,8.0,0,8.4,12.0,hybrid
36,40.759627,-73.985064,40.759645,-73.984974,40.759628,-73.985054,40.759636,-73.985008,0.855,9.1,0,7.9,4.8,hybrid
