Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776741,35.234548,31.776677,35.234473,31.776741,35.234539,31.776731,35.234528,1.000,10.2,0,10.0,2.2,orb
1,31.776804,35.234623,31.776924,35.234764,31.776791,35.234589,31.776831,35.234642,1.000,24.6,0,18.9,3.4,orb
2,31.776868,35.234698,31.776924,35.234764,31.776907,35.234722,31.776915,35.234737,1.000,5.1,0,8.9,6.4,orb
3,31.776932,35.234772,31.776924,35.234764,31.776993,35.234825,31.776960,35.234798,1.000,10.2,0,1.1,4.1,orb
4,31.776995,35.234847,31.776924,35.234764,31.777029,35.234875,31.776979,35.234821,1.000,17.0,0,11.1,3.0,orb
5,31.777059,35.234922,31.777171,35.235055,31.777033,35.234882,31.777090,35.234955,0.743,24.6,0,17.8,4.7,orb
6,31.777122,35.234996,31.777171,35.235055,31.777161,35.235039,31.777166,35.235046,1.000,2.1,0,7.8,6.8,orb
7,31.777186,35.235071,31.777171,35.235055,31.777237,35.235130,31.777205,35.235092,1.000,11.1,0,2.2,2.9,orb
8,31.777249,35.235146,31.777171,35.235055,31.777267,35.235165,31.777222,35.235111,1.000,16.3,0,12.2,4.5,orb
9,31.777313,35.235221,31.777418,35.235345,31.777271,35.235168,31.777342,35.235252,1.000,25.6,0,16.7,4.4,orb
10,31.777376,35.235295,31.777418,35.235345,31.777411,35.235336,31.777414,35.235340,1.000,1.3,0,6.7,6.0,orb
11,31.777440,35.235370,31.777418,35.235345,31.777485,35.235424,31.777452,35.235386,1.000,11.5,0,3.3,2.1,orb
12,31.777503,35.235445,31.777418,35.235345,31.777514,35.235458,31.777468,35.235405,1.000,16.5,0,13.3,5.5,orb
13,31.777567,35.235520,31.777666,35.235636,31.777515,35.235462,31.777588,35.235546,1.000,25.5,0,15.6,3.4,orb
14,31.777630,35.235594,31.777666,35.235636,31.777657,35.235626,31.777660,35.235630,1.000,1.5,0,5.6,4.8,orb
15,31.777694,35.235669,31.777666,35.235636,31.777731,35.235714,31.777700,35.235676,1.000,11.3,0,4.4,1.0,orb
16,31.777757,35.235744,31.777666,35.235636,31.777761,35.235748,31.777716,35.235695,1.000,16.5,0,14.4,6.5,orb
17,31.777821,35.235818,31.777913,35.235926,31.777763,35.235752,31.777834,35.235836,1.000,25.5,0,14.4,2.2,orb
18,31.777884,35.235893,31.777913,35.235926,31.777903,35.235916,31.777906,35.235920,1.000,1.6,0,4.4,3.5,orb
19,31.777948,35.235968,31.777913,35.235926,31.777977,35.236004,31.777946,35.235966,1.000,11.2,0,5.6,0.3,orb
20,31.778011,35.236043,31.777913,35.235926,31.778008,35.236038,31.777962,35.235985,1.000,16.3,0,15.6,7.8,orb
21,31.778075,35.236117,31.778160,35.236217,31.778009,35.236042,31.778082,35.236126,1.000,25.7,0,13.3,1.1,orb
22,31.778138,35.236192,31.778160,35.236217,31.778151,35.236206,31.778154,35.236210,1.000,1.6,0,3.3,2.5,orb
23,31.778202,35.236267,31.778160,35.236217,31.778225,35.236294,31.778194,35.236256,1.000,11.2,0,6.7,1.3,orb
24,31.778265,35.236341,31.778160,35.236217,31.778255,35.236328,31.778210,35.236275,1.000,16.3,0,16.7,8.9,orb
25,31.778329,35.236416,31.778407,35.236507,31.778257,35.236332,31.778328,35.236416,0.953,25.6,0,12.2,0.1,orb
26,31.778392,35.236491,31.778407,35.236507,31.778397,35.236496,31.778400,35.236500,1.000,1.7,0,2.2,1.2,orb
27,31.778456,35.236566,31.778407,35.236507,31.778469,35.236584,31.778442,35.236553,0.743,11.0,0,7.8,1.9,orb
28,31.778520,35.236640,31.778442,35.236553,31.778503,35.236626,31.778486,35.236607,0.300,10.5,0,11.9,4.9,orb
29,31.778583,35.236715,31.778654,35.236798,31.778543,35.236675,31.778593,35.236729,0.557,18.4,0,11.1,1.7,orb
30,31.778647,35.236790,31.778654,35.236798,31.778664,35.236813,31.778660,35.236805,0.720,2.0,0,1.1,2.1,orb
31,31.778710,35.236864,31.778654,35.236798,31.778728,35.236885,31.778694,35.236843,0.697,12.8,0,8.9,2.7,orb
32,31.778774,35.236939,31.778654,35.236798,31.778755,35.236912,31.778715,35.236866,0.533,17.0,0,18.9,9.5,orb
33,31.778837,35.237014,31.778901,35.237089,31.778765,35.236923,31.778820,35.236992,0.533,23.8,0,10.0,2.8,orb
34,31.778901,35.237089,31.778901,35.237089,31.778885,35.237068,31.778893,35.237076,0.603,2.9,0,0.0,1.5,orb
