Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776718,35.234515,31.776677,35.234473,31.776720,35.234509,31.776714,35.234505,0.803,6.1,0,6.0,1.0,orb
1,31.776760,35.234556,31.776677,35.234473,31.776752,35.234539,31.776733,35.234524,0.746,11.1,0,12.0,4.2,orb
2,31.776801,35.234597,31.776955,35.234751,31.776766,35.234550,31.776766,35.234550,0.562,30.7,1,22.6,5.8,orb
3,31.776842,35.234638,31.776955,35.234751,31.776798,35.234577,31.776888,35.234676,0.922,26.1,0,16.6,6.3,orb
4,31.776883,35.234679,31.776955,35.234751,31.776945,35.234734,31.776951,35.234745,1.000,2.3,0,10.6,9.8,orb
5,31.776924,35.234720,31.776955,35.234751,31.777010,35.234802,31.776983,35.234779,1.000,8.3,0,4.6,8.7,orb
6,31.776965,35.234761,31.776955,35.234751,31.777035,35.234833,31.776997,35.234795,1.000,12.7,0,1.4,4.8,orb
7,31.777006,35.234802,31.776955,35.234751,31.777037,35.234837,31.776997,35.234798,1.000,13.1,0,7.4,1.1,orb
8,31.777047,35.234843,31.776955,35.234751,31.777025,35.234829,31.776997,35.234798,0.725,11.6,0,13.4,7.0,orb
9,31.777088,35.234884,31.776955,35.234751,31.777018,35.234818,31.776995,35.234795,0.472,10.1,0,19.4,13.4,orb
10,31.777129,35.234925,31.777233,35.235029,31.777010,35.234810,31.777119,35.234917,0.605,34.8,0,15.2,1.4,orb
11,31.777170,35.234966,31.777233,35.235029,31.777166,35.234962,31.777206,35.235004,0.864,10.5,0,9.2,5.4,orb
12,31.777215,35.234931,31.777233,35.235029,31.777214,35.234936,31.777225,35.234993,0.977,10.6,0,9.5,6.0,orb
13,31.777259,35.234895,31.777233,35.235029,31.777275,35.234985,31.777252,35.235012,0.819,6.8,0,13.0,11.1,orb
14,31.777304,35.234860,31.777233,35.235029,31.777292,35.235012,31.777264,35.235020,0.554,6.8,0,17.9,15.8,orb
15,31.777349,35.234824,31.777233,35.235029,31.777292,35.235023,31.777266,35.235027,0.439,6.6,0,23.3,21.3,orb
16,31.777393,35.234789,31.777511,35.234751,31.777287,35.235035,31.777287,35.235035,0.602,40.3,1,13.6,26.2,orb
17,31.777438,35.234753,31.777511,35.234751,31.777308,35.235043,31.777449,35.234840,0.743,39.6,0,8.1,8.4,orb
18,31.777483,35.234717,31.777511,35.234751,31.777504,35.234798,31.777508,35.234772,0.883,5.3,0,4.5,5.9,orb
19,31.777527,35.234682,31.777511,35.234751,31.777563,35.234722,31.777538,35.234737,0.821,6.6,0,6.8,5.4,orb
20,31.777572,35.234646,31.777511,35.234751,31.777588,35.234692,31.777557,35.234715,0.602,10.8,0,12.0,6.7,orb
21,31.777617,35.234611,31.777511,35.234751,31.777599,35.234676,31.777563,35.234707,0.513,12.9,0,17.7,10.9,orb
22,31.777661,35.234575,31.777789,35.234473,31.777596,35.234676,31.777697,35.234570,0.705,31.2,0,17.2,4.0,orb
23,31.777706,35.234540,31.777789,35.234473,31.777758,35.234509,31.777777,35.234486,0.993,5.2,0,11.2,9.4,orb
