Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758049,-73.985458,40.757977,-73.985530,40.758049,-73.985474,40.758038,-73.985481,1.000,10.1,0,10.0,2.3,orb
1,40.758121,-73.985387,40.757977,-73.985530,40.758106,-73.985428,40.758068,-73.985458,1.000,18.3,0,20.0,8.4,orb
2,40.758192,-73.985315,40.758255,-73.985252,40.758121,-73.985420,40.758175,-73.985352,1.000,23.9,0,8.8,3.6,orb
3,40.758264,-73.985243,40.758255,-73.985252,40.758247,-73.985291,40.758251,-73.985275,1.000,4.4,0,1.2,3.0,orb
4,40.758335,-73.985172,40.758255,-73.985252,40.758324,-73.985207,40.758289,-73.985229,1.000,9.1,0,11.2,7.1,orb
5,40.758407,-73.985100,40.758533,-73.984974,40.758350,-73.985168,40.758442,-73.985069,1.000,29.7,0,17.6,4.7,orb
6,40.758479,-73.985029,40.758533,-73.984974,40.758530,-73.984985,40.758533,-73.984978,1.000,1.3,0,7.6,7.5,orb
7,40.758555,-73.985091,40.758533,-73.984974,40.758556,-73.985077,40.758545,-73.985023,1.000,11.7,0,10.2,5.8,orb
8,40.758631,-73.985154,40.758811,-73.985252,40.758617,-73.985046,40.758732,-73.985168,1.000,31.4,0,21.7,11.3,orb
9,40.758708,-73.985216,40.758811,-73.985252,40.758850,-73.985245,40.758827,-73.985252,1.000,4.4,0,11.9,13.7,orb
10,40.758784,-73.985279,40.758811,-73.985252,40.758938,-73.985329,40.758869,-73.985283,1.000,16.5,0,3.8,9.5,orb
11,40.758860,-73.985342,40.758811,-73.985252,40.758957,-73.985344,40.758884,-73.985298,0.860,19.2,0,9.3,4.6,orb
12,40.758936,-73.985404,40.759089,-73.985530,40.758949,-73.985352,40.759018,-73.985435,0.860,25.2,0,20.0,9.5,orb
13,40.759013,-73.985467,40.759089,-73.985530,40.759102,-73.985512,40.759094,-73.985519,1.000,2.5,0,10.0,10.1,orb
14,40.759089,-73.985530,40.759089,-73.985530,40.759178,-73.985596,40.759129,-73.985558,1.000,12.3,0,0.0,5.0,orb
15,40.759161,-73.985458,40.759089,-73.985530,40.759163,-73.985474,40.759121,-73.985504,1.000,10.3,0,10.0,5.9,orb
16,40.759232,-73.985387,40.759367,-73.985252,40.759178,-73.985458,40.759289,-73.985336,1.000,31.1,0,18.8,7.6,orb
17,40.759304,-73.985315,40.759367,-73.985252,40.759392,-73.985245,40.759377,-73.985252,1.000,2.9,0,8.8,9.7,orb
18,40.759375,-73.985243,40.759367,-73.985252,40.759472,-73.985161,40.759415,-73.985214,1.000,15.5,0,1.2,5.0,orb
19,40.759447,-73.985172,40.759367,-73.985252,40.759491,-73.985138,40.759426,-73.985199,1.000,18.8,0,11.2,3.3,orb
20,40.759519,-73.985100,40.759645,-73.984974,40.759483,-73.985146,40.759567,-73.985054,1.000,26.2,0,17.6,6.7,orb
21,40.759590,-73.985029,40.759645,-73.984974,40.759647,-73.984978,40.759644,-73.984978,1.000,0.5,0,7.6,7.3,orb
22,40.759667,-73.985091,40.759645,-73.984974,40.759666,-73.985077,40.759655,-73.985016,1.000,11.7,0,10.2,6.5,orb
23,40.759743,-73.985154,40.759645,-73.984974,40.759727,-73.985039,40.759678,-73.985001,1.000,11.7,0,18.7,14.8,orb
24,40.759819,-73.985216,40.759923,-73.985252,40.759727,-73.985016,40.759838,-73.985153,1.000,34.1,0,11.9,5.7,orb
25,40.759895,-73.985279,40.759923,-73.985252,40.759930,-73.985214,40.759926,-73.985237,1.000,4.3,0,3.8,4.9,orb
26,40.759972,-73.985342,40.759923,-73.985252,40.760017,-73.985306,40.759968,-73.985275,1.000,12.1,0,9.3,5.6,orb
27,40.760048,-73.985404,40.760201,-73.985437,40.760044,-73.985336,40.760124,-73.985390,1.000,20.7,0,17.2,8.6,orb
28,40.760124,-73.985467,40.760201,-73.985437,40.760223,-73.985466,40.760212,-73.985451,1.000,4.1,0,8.9,9.9,orb
29,40.760200,-73.985530,40.760201,-73.985530,40.760307,-73.985519,40.760250,-73.985527,1.000,11.9,0,0.0,5.5,orb
30,40.760201,-73.985411,40.760201,-73.985345,40.760201,-73.985435,40.760201,-73.985382,1.000,10.1,0,5.6,2.4,orb
31,40.760201,-73.985292,40.760201,-73.985345,40.760201,-73.985275,40.760201,-73.985313,1.000,7.7,0,4.4,1.8,orb
32,40.760201,-73.985174,40.760201,-73.985252,40.760201,-73.985222,40.760201,-73.985237,1.000,3.3,0,6.6,5.3,orb
