Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,31.776716,35.234512,31.776711,35.234505,0.969,6.1,0,6.0,1.4,sift
1,31.776754,35.234563,31.776677,35.234473,31.776747,35.234539,31.776728,35.234520,0.855,10.6,0,12.0,5.0,sift
2,31.776792,35.234608,31.776677,35.234473,31.776756,35.234550,31.776731,35.234524,0.643,12.3,0,18.0,10.4,sift
3,31.776830,35.234653,31.776924,35.234764,31.776751,35.234543,31.776751,35.234543,0.688,31.3,1,14.9,13.6,sift
4,31.776868,35.234698,31.776924,35.234764,31.776770,35.234562,31.776861,35.234684,0.811,28.3,0,8.9,1.5,sift
5,31.776906,35.234742,31.776924,35.234764,31.776905,35.234737,31.776917,35.234753,1.000,3.7,0,2.9,1.5,sift
6,31.776944,35.234787,31.776924,35.234764,31.776962,35.234810,31.776943,35.234787,1.000,6.6,0,3.1,0.1,sift
7,31.776982,35.234832,31.776924,35.234764,31.776985,35.234837,31.776957,35.234802,0.883,10.5,0,9.1,4.0,sift
8,31.777020,35.234877,31.777171,35.235055,31.776991,35.234844,31.777069,35.234936,0.766,30.9,0,23.8,7.8,sift
9,31.777059,35.234922,31.777171,35.235055,31.777124,35.235001,31.777147,35.235027,0.851,8.0,0,17.8,14.0,sift
10,31.777097,35.234967,31.777171,35.235055,31.777210,35.235100,31.777191,35.235077,0.949,6.6,0,11.8,14.8,sift
11,31.777135,35.235011,31.777171,35.235055,31.777248,35.235146,31.777210,35.235100,1.000,13.3,0,5.8,11.9,sift
12,31.777173,35.235056,31.777171,35.235055,31.777256,35.235153,31.777216,35.235104,1.000,14.5,0,0.2,6.6,sift
13,31.777211,35.235101,31.777171,35.235055,31.777250,35.235146,31.777212,35.235100,1.000,13.4,0,6.2,0.2,sift
14,31.777249,35.235146,31.777171,35.235055,31.777237,35.235126,31.777208,35.235096,0.851,10.8,0,12.2,6.6,sift
15,31.777287,35.235191,31.777418,35.235345,31.777224,35.235115,31.777311,35.235218,0.832,33.6,0,20.7,3.7,sift
16,31.777325,35.235236,31.777418,35.235345,31.777351,35.235268,31.777384,35.235306,0.915,11.4,0,14.7,9.3,sift
17,31.777363,35.235280,31.777418,35.235345,31.777433,35.235363,31.777426,35.235355,1.000,2.6,0,8.7,9.9,sift
