Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776746,35.234542,31.776677,35.234473,31.776747,35.234531,31.776735,35.234524,1.000,10.1,0,10.0,2.1,sift
1,31.776814,35.234610,31.776677,35.234473,31.776800,35.234577,31.776764,35.234547,1.000,17.9,0,20.0,8.2,sift
2,31.776883,35.234679,31.776955,35.234751,31.776814,35.234589,31.776871,35.234657,1.000,24.0,0,10.6,2.4,sift
3,31.776951,35.234747,31.776955,35.234751,31.776941,35.234722,31.776947,35.234737,1.000,3.6,0,0.6,1.0,sift
4,31.777020,35.234816,31.776955,35.234751,31.777020,35.234806,31.776989,35.234779,1.000,9.4,0,9.4,4.8,sift
5,31.777088,35.234884,31.777233,35.235029,31.777052,35.234840,31.777138,35.234932,1.000,29.1,0,21.2,7.1,sift
6,31.777157,35.234953,31.777233,35.235029,31.777225,35.235020,31.777229,35.235027,1.000,1.4,0,11.2,10.8,sift
7,31.777225,35.235021,31.777233,35.235029,31.777317,35.235119,31.777273,35.235073,1.000,13.7,0,1.2,7.3,sift
8,31.777294,35.234954,31.777233,35.235029,31.777294,35.234962,31.777260,35.235001,1.000,10.1,0,9.9,5.9,sift
9,31.777364,35.234886,31.777233,35.235029,31.777317,35.234959,31.777267,35.235001,1.000,12.2,0,19.8,15.2,sift
10,31.777433,35.234819,31.777511,35.234751,31.777304,35.234974,31.777424,35.234848,1.000,33.9,0,10.8,2.9,sift
11,31.777502,35.234752,31.777511,35.234751,31.777504,35.234776,31.777508,35.234764,1.000,2.8,0,1.0,1.3,sift
12,31.777571,35.234685,31.777511,35.234751,31.777590,35.234688,31.777548,35.234722,1.000,11.3,0,9.2,4.4,sift
13,31.777641,35.234617,31.777511,35.234751,31.777617,35.234657,31.777563,35.234707,1.000,15.7,0,19.2,12.1,sift
14,31.777710,35.234550,31.777789,35.234473,31.777617,35.234653,31.777706,35.234562,1.000,27.8,0,11.4,1.2,sift
15,31.777779,35.234483,31.777789,35.234473,31.777782,35.234486,31.777786,35.234478,1.000,1.5,0,1.4,0.9,sift
16,31.777849,35.234550,31.777789,35.234473,31.777847,35.234539,31.777813,35.234501,1.000,9.8,0,9.8,6.1,sift
17,31.777918,35.234617,31.777789,35.234473,31.777870,35.234543,31.777822,35.234505,1.000,11.9,0,19.8,15.0,sift
18,31.777988,35.234684,31.778067,35.234751,31.777861,35.234531,31.777979,35.234657,1.000,33.6,0,10.9,2.7,sift
19,31.778057,35.234751,31.778067,35.234751,31.778061,35.234730,31.778065,35.234741,1.000,2.5,0,1.1,1.3,sift
20,31.778126,35.234818,31.778067,35.234751,31.778147,35.234821,31.778105,35.234787,1.000,11.8,0,9.2,3.8,sift
21,31.778196,35.234885,31.778067,35.234751,31.778173,35.234856,31.778120,35.234802,1.000,16.6,0,19.1,11.5,sift
22,31.778265,35.234952,31.778345,35.235029,31.778173,35.234856,31.778263,35.234947,1.000,27.2,0,11.5,0.5,sift
23,31.778335,35.235019,31.778345,35.235029,31.778339,35.235023,31.778343,35.235027,1.000,0.9,0,1.5,1.2,sift
24,31.778404,35.234952,31.778345,35.235029,31.778404,35.234962,31.778370,35.235001,1.000,10.0,0,9.8,5.9,sift
25,31.778474,35.234885,31.778623,35.234751,31.778427,35.234959,31.778542,35.234840,1.000,31.7,0,20.9,8.7,sift
26,31.778543,35.234818,31.778623,35.234751,31.778646,35.234749,31.778633,35.234753,1.000,2.7,0,10.9,11.8,sift
27,31.778613,35.234751,31.778623,35.234751,31.778732,35.234661,31.778673,35.234711,1.000,15.8,0,1.1,7.8,sift
28,31.778682,35.234684,31.778623,35.234751,31.778753,35.234634,31.778685,35.234695,1.000,19.5,0,9.1,1.1,sift
29,31.778751,35.234617,31.778623,35.234751,31.778744,35.234638,31.778683,35.234695,1.000,18.4,0,19.1,10.6,sift
30,31.778821,35.234550,31.778901,35.234566,31.778723,35.234657,31.778814,35.234612,1.000,22.3,0,9.0,5.8,sift
31,31.778890,35.234483,31.778901,35.234473,31.778879,35.234562,31.778891,35.234516,1.000,10.1,0,1.5,3.1,sift
32,31.778894,35.234589,31.778901,35.234566,31.778894,35.234573,31.778898,35.234570,1.000,1.1,0,2.3,1.9,sift
33,31.778898,35.234694,31.778901,35.234659,31.778904,35.234657,31.778902,35.234657,1.000,0.4,0,3.4,3.5,sift
34,31.778903,35.234800,31.778901,35.234751,31.778906,35.234745,31.778902,35.234749,1.000,0.9,0,4.6,4.8,sift
