Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758016,-73.985479,40.757977,-73.985530,40.758015,-73.985489,40.758011,-73.985497,0.668,6.2,0,6.0,1.5,sift
1,40.758054,-73.985429,40.757977,-73.985530,40.758049,-73.985458,40.758034,-73.985474,0.528,11.3,0,12.0,4.4,sift
2,40.758092,-73.985379,40.758224,-73.985204,40.758064,-73.985443,40.758064,-73.985443,0.569,32.1,1,20.9,6.2,sift
3,40.758130,-73.985329,40.758224,-73.985204,40.758095,-73.985413,40.758160,-73.985306,0.648,27.4,0,14.9,3.8,sift
4,40.758168,-73.985278,40.758224,-73.985204,40.758209,-73.985245,40.758217,-73.985222,0.745,4.9,0,8.9,7.2,sift
5,40.758206,-73.985228,40.758224,-73.985204,40.758266,-73.985153,40.758244,-73.985184,0.987,7.3,0,2.9,5.6,sift
6,40.758244,-73.985178,40.758224,-73.985204,40.758289,-73.985123,40.758259,-73.985161,0.925,11.6,0,3.1,2.2,sift
7,40.758282,-73.985127,40.758224,-73.985204,40.758297,-73.985115,40.758263,-73.985161,0.887,12.7,0,9.1,3.6,sift
8,40.758320,-73.985077,40.758224,-73.985204,40.758289,-73.985123,40.758263,-73.985161,0.794,11.6,0,15.1,9.6,sift
9,40.758359,-73.985027,40.758471,-73.984878,40.758282,-73.985138,40.758369,-73.985023,0.791,35.9,0,17.8,1.2,sift
10,40.758397,-73.984976,40.758471,-73.984878,40.758415,-73.984962,40.758442,-73.984924,0.834,11.3,0,11.8,6.7,sift
11,40.758435,-73.984926,40.758471,-73.984878,40.758495,-73.984856,40.758484,-73.984863,0.878,3.6,0,5.8,7.6,sift
12,40.758473,-73.984876,40.758471,-73.984878,40.758533,-73.984795,40.758503,-73.984840,1.000,11.5,0,0.2,4.5,sift
13,40.758511,-73.984825,40.758471,-73.984878,40.758545,-73.984787,40.758511,-73.984833,0.921,13.0,0,6.2,0.6,sift
14,40.758549,-73.984775,40.758471,-73.984878,40.758541,-73.984787,40.758511,-73.984825,0.743,12.7,0,12.2,6.0,sift
15,40.758587,-73.984725,40.758471,-73.984878,40.758533,-73.984795,40.758507,-73.984833,0.659,11.5,0,18.2,12.8,sift
16,40.758625,-73.984674,40.758718,-73.984551,40.758522,-73.984810,40.758522,-73.984810,0.693,36.1,1,14.7,16.2,sift
17,40.758663,-73.984624,40.758718,-73.984551,40.758537,-73.984787,40.758652,-73.984642,0.829,33.1,0,8.7,2.0,sift
