Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758020,-73.985487,40.757977,-73.985530,40.758018,-73.985497,40.758015,-73.985497,0.655,5.9,0,6.0,1.0,sift
1,40.758063,-73.985444,40.757977,-73.985530,40.758057,-73.985466,40.758041,-73.985481,0.533,11.3,0,12.0,4.0,sift
2,40.758106,-73.985401,40.758255,-73.985252,40.758076,-73.985458,40.758076,-73.985458,0.498,30.5,1,20.8,5.9,sift
3,40.758149,-73.985358,40.758255,-73.985252,40.758110,-73.985435,40.758179,-73.985344,0.571,26.1,0,14.8,3.5,sift
4,40.758192,-73.985315,40.758255,-73.985252,40.758232,-73.985291,40.758244,-73.985275,0.651,5.0,0,8.8,6.6,sift
5,40.758235,-73.985272,40.758255,-73.985252,40.758301,-73.985222,40.758278,-73.985237,0.839,6.1,0,2.8,5.6,sift
6,40.758278,-73.985229,40.758255,-73.985252,40.758331,-73.985184,40.758293,-73.985222,0.919,11.4,0,3.2,1.8,sift
7,40.758321,-73.985186,40.758255,-73.985252,40.758335,-73.985176,40.758301,-73.985207,0.811,12.3,0,9.2,2.9,sift
8,40.758364,-73.985143,40.758255,-73.985252,40.758331,-73.985176,40.758297,-73.985214,0.729,11.9,0,15.2,9.6,sift
9,40.758407,-73.985100,40.758255,-73.985252,40.758320,-73.985191,40.758289,-73.985222,0.639,9.9,0,21.2,16.6,sift
10,40.758450,-73.985057,40.758533,-73.984974,40.758305,-73.985207,40.758423,-73.985085,0.649,36.3,0,11.6,3.8,sift
11,40.758493,-73.985014,40.758533,-73.984974,40.758476,-73.985023,40.758511,-73.984993,0.749,8.4,0,5.6,2.7,sift
12,40.758538,-73.985053,40.758533,-73.984974,40.758537,-73.985046,40.758533,-73.985008,0.772,8.1,0,6.7,3.8,sift
13,40.758583,-73.985092,40.758533,-73.984974,40.758579,-73.985023,40.758556,-73.985001,0.546,7.5,0,11.4,8.3,sift
14,40.758628,-73.985131,40.758533,-73.984974,40.758591,-73.985008,40.758564,-73.984993,0.434,7.4,0,17.0,13.7,sift
15,40.758673,-73.985170,40.758533,-73.984974,40.758591,-73.984993,40.758568,-73.984985,0.329,6.7,0,22.7,19.5,sift
16,40.758718,-73.985209,40.758533,-73.984974,40.758587,-73.984985,40.758564,-73.984985,0.300,6.1,0,28.6,25.5,sift
17,40.758763,-73.985248,40.758811,-73.985252,40.758575,-73.984985,40.758575,-73.984985,0.384,39.6,1,5.3,30.5,sift
18,40.758809,-73.985287,40.758811,-73.985252,40.758587,-73.984985,40.758587,-73.984985,0.369,38.8,1,3.0,35.5,sift
19,40.758854,-73.985326,40.758811,-73.985252,40.758598,-73.984985,40.758598,-73.984985,0.300,38.0,1,7.9,40.4,sift
20,40.758899,-73.985365,40.758811,-73.985252,40.758610,-73.984985,40.758610,-73.984985,0.300,37.2,1,13.7,45.4,sift
21,40.758944,-73.985404,40.759089,-73.985530,40.758621,-73.984985,40.758999,-73.985420,0.340,79.9,0,19.3,6.3,sift
22,40.758989,-73.985443,40.759089,-73.985530,40.759071,-73.985489,40.759083,-73.985512,0.430,5.0,0,13.3,11.9,sift
23,40.759034,-73.985482,40.759089,-73.985530,40.759155,-73.985580,40.759121,-73.985550,0.522,9.3,0,7.3,11.2,sift
24,40.759080,-73.985444,40.759089,-73.985530,40.759079,-73.985451,40.759087,-73.985489,0.514,8.9,0,7.3,3.8,sift
