Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776716,35.234518,31.776794,35.234611,31.776716,35.234512,31.776724,35.234524,0.597,14.0,0,12.4,1.1,smoothed
1,31.776754,35.234563,31.776985,35.234835,31.776766,35.234566,31.776766,35.234566,0.362,38.6,1,36.4,1.4,smoothed
2,31.776792,35.234608,31.777378,35.235297,31.776808,35.234608,31.776808,35.234608,0.273,99.6,1,92.3,1.8,smoothed
3,31.776830,35.234653,31.777345,35.235259,31.776850,35.234650,31.776850,35.234650,0.272,87.5,1,81.2,2.2,smoothed
4,31.776868,35.234698,31.777168,35.235051,31.776892,35.234692,31.776892,35.234692,0.461,50.5,1,47.3,2.7,smoothed
5,31.776906,35.234742,31.777066,35.234931,31.776934,35.234734,31.777037,35.234886,0.687,26.5,0,25.2,19.9,smoothed
6,31.776944,35.234787,31.777085,35.234953,31.777100,35.234959,31.777092,35.234955,0.692,1.8,0,22.1,22.8,smoothed
7,31.776982,35.234832,31.777184,35.235069,31.777153,35.235027,31.777164,35.235043,0.486,5.8,0,31.7,28.4,smoothed
8,31.777020,35.234877,31.777414,35.235340,31.777227,35.235119,31.777227,35.235119,0.255,32.2,1,62.0,32.5,smoothed
9,31.777059,35.234922,31.777725,35.235706,31.777290,35.235195,31.777290,35.235195,0.229,74.7,1,105.0,36.5,smoothed
10,31.777097,35.234967,31.777544,35.235493,31.777353,35.235271,31.777353,35.235271,0.351,32.6,1,70.5,40.6,smoothed
11,31.777135,35.235011,31.777387,35.235309,31.777416,35.235348,31.777395,35.235321,0.535,5.4,0,39.8,41.2,smoothed
12,31.777173,35.235056,31.777271,35.235172,31.777454,35.235394,31.777336,35.235252,0.900,32.0,0,15.5,26.0,smoothed
13,31.777211,35.235101,31.777504,35.235446,31.777372,35.235294,31.777420,35.235352,0.450,22.3,0,46.1,33.2,smoothed
14,31.777249,35.235146,31.777811,35.235806,31.777468,35.235409,31.777468,35.235409,0.255,58.5,1,88.4,34.8,smoothed
15,31.777287,35.235191,31.778086,35.236131,31.777515,35.235466,31.777515,35.235466,0.253,97.5,1,125.8,36.4,smoothed
16,31.777325,35.235236,31.777878,35.235885,31.777563,35.235523,31.777563,35.235523,0.265,53.4,1,86.9,38.0,smoothed
17,31.777363,35.235280,31.777638,35.235603,31.777611,35.235580,31.777630,35.235596,0.456,3.9,0,43.2,42.1,smoothed
18,31.777402,35.235325,31.777475,35.235411,31.777681,35.235653,31.777681,35.235653,0.686,35.4,1,11.5,43.9,smoothed
19,31.777440,35.235370,31.777414,35.235340,31.777733,35.235710,31.777733,35.235710,0.607,54.4,1,4.1,45.8,smoothed
20,31.777478,35.235415,31.777269,35.235169,31.777784,35.235767,31.777784,35.235767,0.398,87.9,1,32.9,47.7,smoothed
21,31.777516,35.235460,31.777071,35.234936,31.777836,35.235825,31.777836,35.235825,0.262,130.5,1,70.1,49.6,smoothed
22,31.777554,35.235505,31.777180,35.235065,31.777887,35.235882,31.777887,35.235882,0.267,120.2,1,58.8,51.5,smoothed
23,31.777592,35.235549,31.777492,35.235431,31.777939,35.235939,31.777939,35.235939,0.318,75.3,1,15.8,53.4,smoothed
24,31.777630,35.235594,31.777643,35.235609,31.777990,35.235996,31.777990,35.235996,0.522,57.9,1,2.0,55.3,smoothed
25,31.777668,35.235639,31.777640,35.235606,31.778042,35.236053,31.777664,35.235630,0.786,66.9,0,4.4,1.0,smoothed
26,31.777706,35.235684,31.777595,35.235553,31.777670,35.235638,31.777636,35.235600,0.494,12.6,0,17.6,11.2,smoothed
27,31.777745,35.235729,31.777369,35.235287,31.777636,35.235600,31.777636,35.235600,0.319,45.7,1,59.1,17.2,smoothed
