Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776718,35.234515,31.776830,35.234520,31.776720,35.234509,31.776731,35.234509,0.570,12.3,0,12.4,1.6,smoothed
1,31.776760,35.234556,31.776999,35.234558,31.776777,35.234543,31.776812,35.234547,0.345,24.8,0,26.7,5.9,smoothed
2,31.776801,35.234597,31.777213,35.234624,31.776871,35.234585,31.776871,35.234585,0.164,38.3,1,45.9,7.9,smoothed
3,31.776842,35.234638,31.777245,35.234717,31.776930,35.234623,31.776930,35.234623,0.221,36.6,1,45.5,9.9,smoothed
4,31.776883,35.234679,31.777126,35.234713,31.776989,35.234661,31.777065,35.234692,0.414,16.3,0,27.3,20.4,smoothed
5,31.776924,35.234720,31.777017,35.234739,31.777142,35.234734,31.777071,35.234737,0.620,13.9,0,10.5,16.5,smoothed
6,31.776965,35.234761,31.777010,35.234751,31.777132,35.234783,31.777069,35.234768,0.746,14.0,0,5.1,11.6,smoothed
7,31.777006,35.234802,31.777139,35.234751,31.777115,35.234810,31.777124,35.234787,0.514,7.1,0,15.6,13.3,smoothed
8,31.777047,35.234843,31.777360,35.234796,31.777174,35.234821,31.777235,35.234814,0.343,20.8,0,35.1,21.1,smoothed
9,31.777088,35.234884,31.777276,35.234807,31.777300,35.234844,31.777292,35.234833,0.276,4.9,0,22.2,23.2,smoothed
10,31.777129,35.234925,31.777580,35.234922,31.777355,35.234863,31.777437,35.234886,0.237,25.9,0,50.2,34.5,smoothed
11,31.777170,35.234966,31.777440,35.234982,31.777523,35.234921,31.777481,35.234951,0.391,11.5,0,30.1,34.6,smoothed
12,31.777215,35.234931,31.777487,35.234982,31.777214,35.234936,31.777359,35.234959,0.432,30.9,0,30.7,16.3,smoothed
13,31.777259,35.234895,31.777563,35.234975,31.777449,35.234936,31.777508,35.234955,0.408,13.5,0,34.6,28.2,smoothed
14,31.777304,35.234860,31.777585,35.234943,31.777618,35.234940,31.777603,35.234940,0.366,3.7,0,32.3,34.1,smoothed
15,31.777349,35.234824,31.777539,35.234897,31.777708,35.234924,31.777628,35.234913,0.346,19.1,0,22.3,32.2,smoothed
16,31.777393,35.234789,31.777352,35.234814,31.777710,35.234894,31.777710,35.234894,0.414,40.8,1,5.2,36.6,smoothed
17,31.777438,35.234753,31.777374,35.234795,31.777792,35.234875,31.777792,35.234875,0.450,47.4,1,8.2,41.1,smoothed
18,31.777483,35.234717,31.777406,35.234772,31.777874,35.234856,31.777874,35.234856,0.525,52.9,1,9.9,45.5,smoothed
19,31.777527,35.234682,31.777341,35.234768,31.777956,35.234837,31.777956,35.234837,0.423,68.9,1,22.3,49.9,smoothed
20,31.777572,35.234646,31.777409,35.234751,31.778038,35.234818,31.778038,35.234818,0.333,70.5,1,20.7,54.4,smoothed
21,31.777617,35.234611,31.777494,35.234751,31.778120,35.234798,31.777601,35.234760,0.258,69.8,0,19.0,14.2,smoothed
22,31.777661,35.234575,31.777305,35.234698,31.777609,35.234737,31.777452,35.234718,0.218,34.1,0,41.3,26.9,smoothed
23,31.777706,35.234540,31.777546,35.234587,31.777433,35.234692,31.777487,35.234642,0.249,17.1,0,18.3,26.2,smoothed
24,31.777750,35.234504,31.777748,35.234489,31.777481,35.234604,31.777641,35.234535,0.476,32.3,0,1.5,12.5,smoothed
25,31.777794,35.234542,31.777645,35.234531,31.777794,35.234535,31.777725,35.234535,0.304,16.6,0,16.5,7.6,smoothed
26,31.777837,35.234580,31.777736,35.234686,31.777746,35.234566,31.777742,35.234608,0.128,13.5,0,15.0,10.8,smoothed
27,31.777880,35.234618,31.777024,35.234698,31.777761,35.234653,31.777761,35.234653,0.143,82.2,1,95.5,13.6,smoothed
28,31.777923,35.234656,31.777034,35.234683,31.777781,35.234699,31.777781,35.234699,0.156,83.1,1,99.0,16.4,smoothed
29,31.777966,35.234695,31.777146,35.234658,31.777800,35.234745,31.777800,35.234745,0.159,73.4,1,91.4,19.1,smoothed
30,31.778009,35.234733,31.777880,35.234635,31.777819,35.234791,31.777868,35.234665,0.256,18.7,0,17.1,16.9,smoothed
31,31.778052,35.234771,31.777946,35.234736,31.777897,35.234688,31.777931,35.234722,0.519,7.7,0,12.2,14.2,smoothed
32,31.778095,35.234809,31.777913,35.234751,31.777966,35.234753,31.777946,35.234753,0.283,5.8,0,21.0,17.4,smoothed
33,31.778138,35.234847,31.778186,35.234742,31.777977,35.234783,31.778040,35.234772,0.175,23.7,0,11.2,13.1,smoothed
34,31.778181,35.234885,31.777950,35.234751,31.778084,35.234798,31.778040,35.234783,0.152,15.8,0,28.7,18.5,smoothed
35,31.778225,35.234923,31.777249,35.234763,31.778074,35.234806,31.777775,35.234791,0.154,92.0,0,109.7,51.6,smoothed
