Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758016,-73.985479,40.758125,-73.985335,40.758015,-73.985489,40.758022,-73.985481,0.232,21.1,0,17.2,0.8,smoothed
1,40.758054,-73.985429,40.758072,-73.985405,40.758064,-73.985443,40.758064,-73.985443,0.112,4.3,0,2.8,1.7,smoothed
2,40.758092,-73.985379,40.758407,-73.984963,40.758106,-73.985397,40.758106,-73.985397,0.057,58.9,1,49.6,2.2,smoothed
3,40.758130,-73.985329,40.759154,-73.983977,40.758148,-73.985352,40.758148,-73.985352,0.047,189.6,1,161.2,2.8,smoothed
4,40.758168,-73.985278,40.759351,-73.983716,40.758190,-73.985306,40.758190,-73.985306,0.080,219.1,1,186.3,3.4,smoothed
5,40.758206,-73.985228,40.758296,-73.985110,40.758232,-73.985260,40.758274,-73.985161,0.390,18.2,0,14.1,9.4,smoothed
6,40.758244,-73.985178,40.758372,-73.985010,40.758324,-73.985100,40.758347,-73.985062,0.270,11.4,0,20.0,15.0,smoothed
7,40.758282,-73.985127,40.758340,-73.985051,40.758400,-73.984993,40.758389,-73.985008,0.043,9.3,0,9.0,15.5,smoothed
8,40.758320,-73.985077,40.759146,-73.983987,40.758438,-73.984940,40.758438,-73.984940,0.052,132.1,1,130.0,17.5,smoothed
9,40.758359,-73.985027,40.759161,-73.983968,40.758488,-73.984871,40.758488,-73.984871,0.101,125.4,1,126.3,19.5,smoothed
10,40.758397,-73.984976,40.758984,-73.984201,40.758537,-73.984802,40.758537,-73.984802,0.150,83.4,1,92.5,21.5,smoothed
11,40.758435,-73.984926,40.758604,-73.984702,40.758587,-73.984734,40.758602,-73.984711,0.299,4.0,0,26.7,26.0,smoothed
12,40.758473,-73.984876,40.758484,-73.984861,40.758656,-73.984634,40.758530,-73.984802,0.900,31.6,0,1.8,8.8,smoothed
13,40.758511,-73.984825,40.758515,-73.984821,40.758560,-73.984756,40.758545,-73.984779,0.367,8.8,0,0.6,5.4,smoothed
14,40.758549,-73.984775,40.758611,-73.984693,40.758572,-73.984741,40.758583,-73.984726,0.203,6.9,0,9.7,5.6,smoothed
15,40.758587,-73.984725,40.758707,-73.984567,40.758614,-73.984680,40.758644,-73.984642,0.205,16.3,0,18.8,9.4,smoothed
16,40.758625,-73.984674,40.758701,-73.984574,40.758682,-73.984589,40.758690,-73.984581,0.299,2.6,0,11.9,10.7,smoothed
17,40.758663,-73.984624,40.758726,-73.984541,40.758732,-73.984528,40.758732,-73.984535,0.432,1.6,0,9.9,10.7,smoothed
18,40.758702,-73.984574,40.758752,-73.984507,40.758770,-73.984482,40.758759,-73.984497,0.603,3.5,0,7.9,9.1,smoothed
19,40.758740,-73.984524,40.758803,-73.984440,40.758797,-73.984451,40.758801,-73.984451,0.517,1.4,0,9.9,9.1,smoothed
20,40.758778,-73.984473,40.758869,-73.984353,40.758839,-73.984406,40.758850,-73.984383,0.452,6.8,0,14.3,11.1,smoothed
21,40.758816,-73.984423,40.758960,-73.984233,40.758892,-73.984329,40.758919,-73.984291,0.378,13.1,0,22.6,16.0,smoothed
22,40.758854,-73.984373,40.758955,-73.984240,40.758968,-73.984230,40.758961,-73.984230,0.436,1.9,0,15.8,16.9,smoothed
23,40.758892,-73.984322,40.758959,-73.984234,40.759007,-73.984169,40.758984,-73.984200,0.471,9.0,0,10.5,14.5,smoothed
24,40.758930,-73.984272,40.758976,-73.984212,40.759026,-73.984146,40.759003,-73.984177,0.600,9.2,0,7.2,11.4,smoothed
25,40.758968,-73.984222,40.758978,-73.984208,40.759037,-73.984131,40.759007,-73.984169,0.792,10.8,0,1.6,6.1,smoothed
26,40.759006,-73.984171,40.759009,-73.984168,40.759033,-73.984131,40.759026,-73.984146,0.547,5.0,0,0.3,3.0,smoothed
27,40.759045,-73.984121,40.759035,-73.984134,40.759052,-73.984116,40.759045,-73.984123,0.406,2.8,0,1.5,0.2,smoothed
28,40.759083,-73.984071,40.759066,-73.984092,40.759068,-73.984093,40.759068,-73.984093,0.357,0.1,0,2.5,2.5,smoothed
29,40.759121,-73.984020,40.759105,-73.984041,40.759090,-73.984062,40.759094,-73.984055,0.282,2.8,0,2.5,4.1,smoothed
30,40.759159,-73.983970,40.759143,-73.983992,40.759121,-73.984016,40.759129,-73.984009,0.250,3.7,0,2.6,4.7,smoothed
