Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758020,-73.985487,40.758331,-73.985406,40.758018,-73.985497,40.758018,-73.985497,0.240,36.2,1,35.2,0.8,smoothed
1,40.758063,-73.985444,40.758516,-73.985342,40.758060,-73.985466,40.758060,-73.985466,0.159,52.5,1,51.1,1.9,smoothed
2,40.758106,-73.985401,40.759994,-73.985469,40.758102,-73.985435,40.758102,-73.985435,0.082,210.6,1,210.2,2.9,smoothed
3,40.758149,-73.985358,40.760201,-73.985464,40.758144,-73.985405,40.758144,-73.985405,0.102,229.0,1,228.5,4.0,smoothed
4,40.758192,-73.985315,40.758749,-73.985422,40.758186,-73.985374,40.758186,-73.985374,0.093,62.9,1,62.6,5.1,smoothed
5,40.758235,-73.985272,40.758400,-73.985265,40.758228,-73.985344,40.758347,-73.985291,0.407,21.0,0,18.3,12.5,smoothed
6,40.758278,-73.985229,40.758298,-73.985266,40.758415,-73.985245,40.758354,-73.985260,0.422,13.3,0,3.8,8.9,smoothed
7,40.758321,-73.985186,40.759033,-73.985359,40.758408,-73.985222,40.758408,-73.985222,0.111,71.3,1,80.6,10.1,smoothed
8,40.758364,-73.985143,40.760120,-73.985497,40.758461,-73.985184,40.758461,-73.985184,0.111,187.9,1,197.7,11.3,smoothed
9,40.758407,-73.985100,40.760201,-73.985438,40.758514,-73.985146,40.758514,-73.985146,0.141,190.5,1,201.7,12.5,smoothed
10,40.758450,-73.985057,40.759567,-73.985232,40.758568,-73.985107,40.758568,-73.985107,0.155,112.1,1,125.3,13.8,smoothed
11,40.758493,-73.985014,40.758741,-73.985050,40.758621,-73.985069,40.758717,-73.985054,0.365,13.5,0,27.7,25.1,smoothed
12,40.758538,-73.985053,40.758815,-73.985139,40.758537,-73.985046,40.758671,-73.985092,0.205,32.6,0,31.6,15.1,smoothed
13,40.758583,-73.985092,40.759293,-73.985118,40.758751,-73.985130,40.758751,-73.985130,0.164,60.3,1,79.0,18.9,smoothed
14,40.758628,-73.985131,40.759341,-73.985158,40.758831,-73.985168,40.758831,-73.985168,0.132,56.8,1,79.4,22.8,smoothed
15,40.758673,-73.985170,40.758871,-73.985181,40.758911,-73.985207,40.758888,-73.985191,0.085,5.3,0,22.1,24.0,smoothed
16,40.758718,-73.985209,40.758734,-73.985099,40.758961,-73.985229,40.758854,-73.985168,0.080,29.1,0,9.5,15.5,smoothed
17,40.758763,-73.985248,40.758816,-73.985212,40.758907,-73.985191,40.758862,-73.985207,0.162,10.4,0,6.6,11.5,smoothed
18,40.758809,-73.985287,40.758777,-73.985199,40.758904,-73.985237,40.758842,-73.985222,0.202,14.7,0,8.2,6.7,smoothed
19,40.758854,-73.985326,40.759254,-73.985066,40.758873,-73.985245,40.758873,-73.985245,0.087,46.9,1,49.7,7.2,smoothed
20,40.758899,-73.985365,40.759725,-73.985178,40.758904,-73.985268,40.758904,-73.985268,0.091,92.0,1,93.3,8.2,smoothed
21,40.758944,-73.985404,40.759793,-73.985369,40.758934,-73.985291,40.759407,-73.985329,0.131,96.0,0,94.6,52.0,smoothed
22,40.758989,-73.985443,40.759671,-73.985411,40.759521,-73.985359,40.759594,-73.985382,0.175,17.7,0,76.0,67.6,smoothed
23,40.759034,-73.985482,40.759320,-73.985404,40.759720,-73.985420,40.759514,-73.985413,0.258,44.5,0,32.6,53.7,smoothed
24,40.759080,-73.985444,40.759228,-73.985449,40.759079,-73.985451,40.759159,-73.985451,0.320,16.6,0,16.6,8.9,smoothed
25,40.759125,-73.985406,40.759237,-73.985399,40.759228,-73.985420,40.759232,-73.985413,0.177,2.6,0,12.5,11.9,smoothed
26,40.759171,-73.985368,40.759276,-73.985353,40.759300,-73.985382,40.759293,-73.985374,0.106,4.2,0,11.8,13.6,smoothed
27,40.759216,-73.985330,40.759632,-73.985196,40.759357,-73.985336,40.759357,-73.985336,0.107,34.4,1,47.7,15.7,smoothed
28,40.759262,-73.985293,40.759327,-73.985223,40.759422,-73.985298,40.759365,-73.985252,0.200,13.5,0,9.3,12.0,smoothed
29,40.759308,-73.985255,40.759356,-73.985242,40.759418,-73.985207,40.759384,-73.985229,0.332,8.0,0,5.5,8.8,smoothed
30,40.759353,-73.985217,40.759374,-73.985252,40.759430,-73.985191,40.759396,-73.985229,0.526,9.2,0,3.8,4.8,smoothed
31,40.759399,-73.985179,40.759308,-73.985244,40.759434,-73.985199,40.759392,-73.985214,0.231,14.9,0,11.5,3.1,smoothed
32,40.759444,-73.985141,40.759075,-73.985237,40.759422,-73.985184,40.759422,-73.985184,0.107,39.1,1,41.9,4.4,smoothed
33,40.759490,-73.985103,40.758743,-73.985184,40.759453,-73.985153,40.759190,-73.985161,0.120,79.0,0,83.4,33.8,smoothed
34,40.759536,-73.985065,40.758758,-73.985140,40.759163,-73.985130,40.759037,-73.985130,0.064,45.0,0,86.7,55.8,smoothed
35,40.759581,-73.985027,40.759007,-73.985187,40.758984,-73.985100,40.758991,-73.985138,0.117,10.0,0,65.3,66.3,smoothed
36,40.759627,-73.985064,40.758570,-73.985479,40.759628,-73.985054,40.759232,-73.985214,0.077,126.9,0,122.7,45.8,smoothed
37,40.759673,-73.985101,40.759068,-73.985288,40.759174,-73.985283,40.759129,-73.985283,0.090,11.8,0,69.1,62.5,smoothed
38,40.759719,-73.985139,40.759214,-73.985326,40.759060,-73.985352,40.759129,-73.985344,0.098,17.4,0,58.3,68.0,smoothed
39,40.759765,-73.985176,40.759095,-73.985403,40.759075,-73.985413,40.759083,-73.985413,0.140,2.5,0,77.0,78.5,smoothed
40,40.759811,-73.985213,40.759637,-73.985358,40.759033,-73.985481,40.759033,-73.985481,0.156,68.6,1,22.9,89.5,smoothed
41,40.759857,-73.985251,40.759840,-73.985285,40.758984,-73.985550,40.758984,-73.985550,0.338,99.7,1,3.5,100.4,smoothed
42,40.759903,-73.985288,40.759809,-73.985298,40.758934,-73.985619,40.758934,-73.985619,0.374,103.8,1,10.4,111.4,smoothed
43,40.759948,-73.985325,40.759833,-73.985321,40.758884,-73.985687,40.758884,-73.985687,0.307,113.2,1,12.9,122.3,smoothed
44,40.759994,-73.985362,40.759818,-73.985397,40.758835,-73.985756,40.758835,-73.985756,0.186,116.6,1,19.8,133.3,smoothed
45,40.760040,-73.985400,40.760201,-73.985438,40.758785,-73.985825,40.758785,-73.985825,0.157,163.3,1,18.1,144.2,smoothed
46,40.760086,-73.985437,40.760201,-73.985436,40.758736,-73.985893,40.758736,-73.985893,0.241,170.8,1,12.7,155.2,smoothed
47,40.760132,-73.985474,40.760201,-73.985456,40.758686,-73.985962,40.758686,-73.985962,0.406,177.8,1,7.8,166.1,smoothed
48,40.760152,-73.985408,40.760201,-73.985439,40.760151,-73.985420,40.760197,-73.985435,0.353,5.9,0,5.9,5.4,smoothed
49,40.760173,-73.985342,40.760201,-73.985387,40.760223,-73.985390,40.760208,-73.985390,0.524,2.5,0,4.9,5.6,smoothed
50,40.760193,-73.985276,40.760201,-73.985295,40.760231,-73.985344,40.760216,-73.985321,0.467,6.4,0,1.8,4.5,smoothed
