Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,31.776716,35.234512,31.776712,35.234509,0.663,6.1,0,6.0,1.0,template
1,31.776754,35.234563,31.776677,35.234473,31.776749,35.234547,31.776737,35.234535,0.402,11.4,0,12.0,3.2,template
2,31.776792,35.234608,31.777666,35.235636,31.776770,35.234566,31.776770,35.234566,0.304,155.4,1,137.6,4.7,template
3,31.776830,35.234653,31.777666,35.235636,31.776802,35.234596,31.776802,35.234596,0.302,150.4,1,131.6,6.2,template
4,31.776868,35.234698,31.776924,35.234764,31.776834,35.234627,31.776888,35.234711,0.512,18.3,0,8.9,2.5,template
5,31.776906,35.234742,31.776924,35.234764,31.776932,35.234760,31.776928,35.234764,0.763,0.9,0,2.9,3.2,template
6,31.776944,35.234787,31.776924,35.234764,31.776972,35.234818,31.776949,35.234791,0.769,8.0,0,3.1,0.6,template
7,31.776982,35.234832,31.776924,35.234764,31.776987,35.234837,31.776962,35.234810,0.540,10.7,0,9.1,3.1,template
8,31.777020,35.234877,31.776924,35.234764,31.776995,35.234848,31.776974,35.234825,0.283,12.2,0,15.1,7.1,template
9,31.777059,35.234922,31.777913,35.235926,31.777000,35.234856,31.777000,35.234856,0.254,156.6,1,134.4,9.0,template
10,31.777097,35.234967,31.777171,35.235055,31.777027,35.234886,31.777103,35.234974,0.390,24.7,0,11.8,1.0,template
11,31.777135,35.235011,31.777171,35.235055,31.777147,35.235027,31.777161,35.235043,0.595,4.1,0,5.8,4.1,template
12,31.777173,35.235056,31.777171,35.235055,31.777206,35.235096,31.777185,35.235073,1.000,6.0,0,0.2,2.1,template
13,31.777211,35.235101,31.777171,35.235055,31.777227,35.235123,31.777208,35.235100,0.500,9.8,0,6.2,0.3,template
14,31.777249,35.235146,31.777913,35.235926,31.777245,35.235142,31.777245,35.235142,0.283,114.7,1,104.4,0.6,template
15,31.777287,35.235191,31.778407,35.236507,31.777281,35.235184,31.777281,35.235184,0.281,193.4,1,176.2,1.0,template
16,31.777325,35.235236,31.777418,35.235345,31.777317,35.235226,31.777372,35.235291,0.295,17.5,0,14.7,7.4,template
17,31.777363,35.235280,31.777418,35.235345,31.777420,35.235348,31.777418,35.235344,0.506,0.3,0,8.7,8.6,template
18,31.777402,35.235325,31.777418,35.235345,31.777466,35.235401,31.777439,35.235371,0.762,8.2,0,2.7,6.0,template
19,31.777440,35.235370,31.777418,35.235345,31.777481,35.235420,31.777452,35.235386,0.674,10.9,0,3.3,2.1,template
20,31.777478,35.235415,31.777418,35.235345,31.777489,35.235428,31.777464,35.235397,0.442,12.1,0,9.3,2.3,template
21,31.777516,35.235460,31.776677,35.234473,31.777493,35.235432,31.777493,35.235432,0.292,140.0,1,132.0,3.7,template
22,31.777554,35.235505,31.776677,35.234473,31.777521,35.235466,31.777521,35.235466,0.297,145.0,1,138.0,5.2,template
23,31.777592,35.235549,31.777666,35.235636,31.777550,35.235500,31.777618,35.235580,0.353,19.8,0,11.6,4.1,template
24,31.777630,35.235594,31.777666,35.235636,31.777662,35.235630,31.777664,35.235634,0.580,0.7,0,5.6,5.3,template
25,31.777668,35.235639,31.777666,35.235636,31.777708,35.235683,31.777683,35.235657,0.873,7.1,0,0.4,2.4,template
26,31.777706,35.235684,31.777666,35.235636,31.777721,35.235703,31.777700,35.235676,0.549,9.7,0,6.4,1.0,template
27,31.777745,35.235729,31.777666,35.235636,31.777733,35.235714,31.777710,35.235687,0.354,11.5,0,12.4,5.5,template
28,31.777783,35.235774,31.776924,35.234764,31.777737,35.235718,31.777737,35.235718,0.278,139.5,1,135.1,7.4,template
29,31.777821,35.235818,31.777913,35.235926,31.777763,35.235748,31.777836,35.235836,0.337,25.9,0,14.4,2.4,template
30,31.777859,35.235863,31.777913,35.235926,31.777880,35.235889,31.777897,35.235912,0.578,5.5,0,8.4,6.3,template
31,31.777897,35.235908,31.777913,35.235926,31.777945,35.235970,31.777925,35.235947,0.888,6.0,0,2.4,4.8,template
32,31.777935,35.235953,31.777913,35.235926,31.777969,35.235996,31.777945,35.235966,0.703,10.0,0,3.6,1.6,template
33,31.777973,35.235998,31.777913,35.235926,31.777981,35.236008,31.777954,35.235977,0.526,11.8,0,9.6,2.9,template
34,31.778011,35.236043,31.777913,35.235926,31.777985,35.236012,31.777960,35.235981,0.379,12.4,0,15.6,8.2,template
35,31.778049,35.236087,31.778160,35.236217,31.777983,35.236008,31.777983,35.236008,0.311,30.5,1,17.3,10.6,template
36,31.778088,35.236132,31.778160,35.236217,31.778006,35.236034,31.778093,35.236137,0.507,26.6,0,11.3,0.8,template
37,31.778126,35.236177,31.778160,35.236217,31.778137,35.236191,31.778151,35.236206,0.688,3.8,0,5.3,3.9,template
38,31.778164,35.236222,31.778160,35.236217,31.778196,35.236259,31.778175,35.236237,1.000,6.3,0,0.7,1.9,template
39,31.778202,35.236267,31.778160,35.236217,31.778217,35.236286,31.778193,35.236256,0.696,10.0,0,6.7,1.5,template
40,31.778240,35.236312,31.778160,35.236217,31.778227,35.236298,31.778202,35.236267,0.541,11.7,0,12.7,6.0,template
41,31.778278,35.236356,31.778160,35.236217,31.778231,35.236301,31.778206,35.236275,0.370,12.3,0,18.7,11.2,template
42,31.778316,35.236401,31.778407,35.236507,31.778227,35.236301,31.778227,35.236301,0.485,30.4,1,14.2,13.7,template
43,31.778354,35.236446,31.778407,35.236507,31.778248,35.236328,31.778345,35.236439,0.641,26.7,0,8.2,1.2,template
44,31.778392,35.236491,31.778407,35.236507,31.778389,35.236488,31.778399,35.236500,0.821,2.9,0,2.2,1.1,template
45,31.778431,35.236536,31.778407,35.236507,31.778444,35.236553,31.778425,35.236530,0.817,6.6,0,3.8,0.8,template
46,31.778469,35.236581,31.778407,35.236507,31.778467,35.236580,31.778442,35.236549,0.641,10.5,0,9.8,4.2,template
47,31.778507,35.236625,31.778407,35.236507,31.778477,35.236588,31.778450,35.236557,0.470,11.8,0,15.8,9.0,template
48,31.778545,35.236670,31.778407,35.236507,31.778479,35.236588,31.778454,35.236561,0.367,12.0,0,21.8,14.5,template
49,31.778583,35.236715,31.778654,35.236798,31.778475,35.236584,31.778475,35.236584,0.313,31.1,1,11.1,17.3,template
50,31.778621,35.236760,31.778654,35.236798,31.778496,35.236607,31.778576,35.236706,0.377,27.6,0,5.1,7.2,template
51,31.778659,35.236805,31.778654,35.236798,31.778616,35.236752,31.778641,35.236782,1.000,6.7,0,0.9,3.0,template
52,31.778697,35.236850,31.778654,35.236798,31.778687,35.236835,31.778677,35.236824,0.343,5.5,0,6.9,3.3,template
53,31.778735,35.236894,31.778654,35.236798,31.778721,35.236874,31.778702,35.236851,0.236,11.3,0,12.9,5.6,template
54,31.778774,35.236939,31.778407,35.236507,31.778740,35.236897,31.778740,35.236897,0.197,57.0,1,57.8,5.5,template
55,31.778812,35.236984,31.778654,35.236798,31.778778,35.236942,31.778723,35.236877,0.227,21.2,0,24.9,14.1,template
56,31.778850,35.237029,31.778901,35.237089,31.778749,35.236908,31.778814,35.236984,0.257,26.2,0,8.0,5.8,template
