Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,31.776718,35.234515,31.776677,35.234473,31.776720,35.234509,31.776716,35.234505,0.634,6.1,0,6.0,1.0,template
1,31.776760,35.234556,31.776677,35.234473,31.776756,35.234539,31.776743,35.234528,0.384,11.4,0,12.0,3.2,template
2,31.776801,35.234597,31.776677,35.234473,31.776777,35.234558,31.776760,35.234543,0.182,14.6,0,18.0,6.8,template
3,31.776842,35.234638,31.776955,35.234751,31.776789,35.234566,31.776838,35.234619,0.245,27.8,0,16.6,1.8,template
4,31.776883,35.234679,31.776955,35.234751,31.776880,35.234661,31.776915,35.234703,0.460,13.1,0,10.6,4.2,template
5,31.776924,35.234720,31.776955,35.234751,31.776966,35.234753,31.776960,35.234753,0.689,1.2,0,4.6,5.1,template
6,31.776965,35.234761,31.776955,35.234751,31.777010,35.234802,31.776981,35.234776,0.829,8.3,0,1.4,2.3,template
7,31.777006,35.234802,31.776955,35.234751,31.777023,35.234821,31.776997,35.234795,0.571,10.9,0,7.4,1.3,template
8,31.777047,35.234843,31.776955,35.234751,31.777033,35.234833,31.777006,35.234806,0.381,12.5,0,13.4,5.7,template
9,31.777088,35.234884,31.777511,35.234751,31.777035,35.234837,31.777203,35.234806,0.306,53.9,0,48.7,14.7,template
10,31.777129,35.234925,31.777233,35.235029,31.777271,35.234829,31.777256,35.234905,0.263,22.7,0,15.2,14.2,template
11,31.777170,35.234966,31.777233,35.235029,31.777321,35.234947,31.777275,35.234993,0.434,13.4,0,9.2,11.9,template
12,31.777215,35.234931,31.777233,35.235029,31.777214,35.234936,31.777224,35.234989,0.480,10.6,0,9.5,5.6,template
13,31.777259,35.234895,31.777233,35.235029,31.777271,35.234974,31.777252,35.235004,0.454,7.5,0,13.0,10.4,template
14,31.777304,35.234860,31.777233,35.235029,31.777292,35.235001,31.777264,35.235016,0.406,7.3,0,17.9,15.5,template
15,31.777349,35.234824,31.777511,35.234751,31.777296,35.235016,31.777296,35.235016,0.384,38.0,1,19.3,19.1,template
16,31.777393,35.234789,31.777511,35.234751,31.777328,35.235016,31.777328,35.235016,0.460,35.8,1,13.6,22.7,template
17,31.777438,35.234753,31.777511,35.234751,31.777361,35.235016,31.777361,35.235016,0.500,33.9,1,8.1,26.3,template
18,31.777483,35.234717,31.777511,35.234751,31.777393,35.235016,31.777393,35.235016,0.583,32.2,1,4.5,29.9,template
