Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758016,-73.985479,40.757977,-73.985530,40.758015,-73.985489,40.758011,-73.985489,0.258,6.2,0,6.0,0.9,template
1,40.758054,-73.985429,40.757977,-73.985530,40.758049,-73.985451,40.758041,-73.985458,0.125,11.9,0,12.0,2.8,template
2,40.758092,-73.985379,40.758471,-73.984878,40.758076,-73.985420,40.758076,-73.985420,0.063,74.8,1,59.8,3.9,template
3,40.758130,-73.985329,40.758471,-73.984878,40.758110,-73.985382,40.758110,-73.985382,0.052,69.1,1,53.8,5.0,template
4,40.758168,-73.985278,40.760201,-73.982595,40.758144,-73.985344,40.758144,-73.985344,0.089,382.2,1,320.0,6.1,template
5,40.758206,-73.985228,40.758224,-73.985204,40.758179,-73.985306,40.758209,-73.985237,0.434,12.5,0,2.9,0.9,template
6,40.758244,-73.985178,40.758224,-73.985204,40.758251,-73.985191,40.758240,-73.985199,0.301,3.3,0,3.1,1.9,template
7,40.758282,-73.985127,40.758224,-73.985204,40.758278,-73.985153,40.758266,-73.985161,0.048,8.2,0,9.1,3.3,template
8,40.758320,-73.985077,40.759707,-73.983247,40.758305,-73.985115,40.758305,-73.985115,0.057,260.0,1,218.2,3.7,template
9,40.758359,-73.985027,40.759707,-73.983247,40.758343,-73.985069,40.758343,-73.985069,0.112,253.4,1,212.2,4.0,template
10,40.758397,-73.984976,40.758471,-73.984878,40.758381,-73.985023,40.758430,-73.984940,0.166,19.1,0,11.8,4.9,template
11,40.758435,-73.984926,40.758471,-73.984878,40.758476,-73.984879,40.758472,-73.984879,0.332,0.5,0,5.8,5.8,template
12,40.758473,-73.984876,40.758471,-73.984878,40.758518,-73.984818,40.758488,-73.984856,1.000,8.5,0,0.2,2.4,template
13,40.758511,-73.984825,40.758471,-73.984878,40.758526,-73.984802,40.758507,-73.984825,0.408,10.3,0,6.2,0.5,template
14,40.758549,-73.984775,40.758471,-73.984878,40.758541,-73.984779,40.758522,-73.984810,0.226,13.4,0,12.2,4.2,template
15,40.758587,-73.984725,40.758718,-73.984551,40.758553,-73.984772,40.758553,-73.984772,0.228,30.7,1,20.7,5.5,template
16,40.758625,-73.984674,40.758718,-73.984551,40.758583,-73.984734,40.758656,-73.984642,0.333,25.3,0,14.7,4.3,template
17,40.758663,-73.984624,40.758718,-73.984551,40.758701,-73.984581,40.758713,-73.984566,0.480,3.8,0,8.7,7.4,template
18,40.758702,-73.984574,40.758718,-73.984551,40.758762,-73.984505,40.758739,-73.984528,0.671,7.1,0,2.7,5.7,template
19,40.758740,-73.984524,40.758718,-73.984551,40.758781,-73.984467,40.758755,-73.984505,0.575,11.8,0,3.3,2.3,template
20,40.758778,-73.984473,40.758718,-73.984551,40.758793,-73.984459,40.758762,-73.984497,0.502,13.2,0,9.3,2.6,template
21,40.758816,-73.984423,40.758718,-73.984551,40.758793,-73.984459,40.758766,-73.984497,0.420,13.2,0,15.3,8.4,template
22,40.758854,-73.984373,40.758966,-73.984225,40.758789,-73.984467,40.758789,-73.984467,0.485,33.3,1,17.6,10.7,template
23,40.758892,-73.984322,40.758966,-73.984225,40.758812,-73.984436,40.758900,-73.984314,0.523,29.0,0,11.6,1.1,template
24,40.758930,-73.984272,40.758966,-73.984225,40.758942,-73.984253,40.758953,-73.984238,0.666,4.1,0,5.6,3.8,template
25,40.758968,-73.984222,40.758966,-73.984225,40.758999,-73.984177,40.758980,-73.984200,0.880,6.6,0,0.4,2.3,template
26,40.759006,-73.984171,40.758966,-73.984225,40.759022,-73.984146,40.758999,-73.984177,0.608,10.8,0,6.4,1.0,template
27,40.759045,-73.984121,40.758966,-73.984225,40.759033,-73.984131,40.759007,-73.984161,0.451,12.9,0,12.4,5.4,template
28,40.759083,-73.984071,40.758966,-73.984225,40.759033,-73.984123,40.759007,-73.984161,0.397,13.6,0,18.4,11.4,template
29,40.759121,-73.984020,40.758966,-73.984225,40.759026,-73.984131,40.759003,-73.984161,0.313,12.5,0,24.4,17.7,template
30,40.759159,-73.983970,40.759213,-73.983899,40.759018,-73.984138,40.759018,-73.984138,0.278,34.3,1,8.4,21.2,template
