Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758020,-73.985487,40.757977,-73.985530,40.758018,-73.985497,40.758015,-73.985497,0.267,5.9,0,6.0,1.0,template
1,40.758063,-73.985444,40.757977,-73.985530,40.758057,-73.985466,40.758049,-73.985474,0.177,11.3,0,12.0,3.0,template
2,40.758106,-73.985401,40.760201,-73.985530,40.758087,-73.985443,40.758087,-73.985443,0.092,235.5,1,233.4,4.1,template
3,40.758149,-73.985358,40.760201,-73.985437,40.758125,-73.985413,40.758125,-73.985413,0.114,231.0,1,228.5,5.3,template
4,40.758192,-73.985315,40.758255,-73.985252,40.758163,-73.985382,40.758194,-73.985336,0.103,17.7,0,8.8,1.8,template
5,40.758235,-73.985272,40.758255,-73.985252,40.758240,-73.985298,40.758247,-73.985268,0.452,5.4,0,2.8,1.4,template
6,40.758278,-73.985229,40.758255,-73.985252,40.758297,-73.985222,40.758278,-73.985237,0.468,5.7,0,3.2,0.7,template
7,40.758321,-73.985186,40.758255,-73.985252,40.758320,-73.985191,40.758305,-73.985207,0.124,9.9,0,9.2,2.5,template
8,40.758364,-73.985143,40.760201,-73.985530,40.758347,-73.985168,40.758347,-73.985168,0.123,210.3,1,207.0,2.9,template
9,40.758407,-73.985100,40.760201,-73.985437,40.758389,-73.985130,40.758389,-73.985130,0.156,204.6,1,201.7,3.3,template
10,40.758450,-73.985057,40.758533,-73.984974,40.758430,-73.985092,40.758488,-73.985023,0.172,17.4,0,11.6,5.1,template
11,40.758493,-73.985014,40.758533,-73.984974,40.758541,-73.984970,40.758537,-73.984978,0.405,1.0,0,5.6,5.8,template
12,40.758538,-73.985053,40.758533,-73.984974,40.758537,-73.985046,40.758537,-73.985016,0.228,8.1,0,6.7,3.2,template
13,40.758583,-73.985092,40.758533,-73.984974,40.758583,-73.985039,40.758560,-73.985016,0.182,9.1,0,11.4,6.9,template
14,40.758628,-73.985131,40.759923,-73.985252,40.758598,-73.985031,40.758598,-73.985031,0.147,149.5,1,144.5,9.1,template
15,40.758673,-73.985170,40.758811,-73.985252,40.758636,-73.985046,40.758636,-73.985046,0.095,30.0,1,16.8,11.2,template
16,40.758718,-73.985209,40.758533,-73.984974,40.758675,-73.985062,40.758591,-73.985008,0.089,18.5,0,28.6,22.1,template
17,40.758763,-73.985248,40.758811,-73.985252,40.758610,-73.985008,40.758610,-73.985008,0.180,35.2,1,5.3,26.5,template
18,40.758809,-73.985287,40.758811,-73.985252,40.758629,-73.985008,40.758629,-73.985008,0.224,33.9,1,3.0,30.9,template
19,40.758854,-73.985326,40.759645,-73.984974,40.758648,-73.985008,40.758648,-73.985008,0.097,111.0,1,92.9,35.3,template
20,40.758899,-73.985365,40.760201,-73.985252,40.758667,-73.985008,40.758667,-73.985008,0.101,172.9,1,145.2,39.6,template
21,40.758944,-73.985404,40.760201,-73.985252,40.758686,-73.985008,40.758686,-73.985008,0.145,170.8,1,140.5,44.0,template
22,40.758989,-73.985443,40.759089,-73.985530,40.758705,-73.985008,40.759041,-73.985458,0.195,72.1,0,13.3,5.9,template
23,40.759034,-73.985482,40.759089,-73.985530,40.759102,-73.985512,40.759094,-73.985519,0.287,2.5,0,7.3,7.4,template
24,40.759080,-73.985444,40.759089,-73.985530,40.759079,-73.985451,40.759087,-73.985497,0.356,8.9,0,7.3,4.5,template
25,40.759125,-73.985406,40.759089,-73.985530,40.759132,-73.985481,40.759117,-73.985497,0.196,7.2,0,11.2,7.7,template
26,40.759171,-73.985368,40.759089,-73.985530,40.759159,-73.985481,40.759132,-73.985497,0.117,9.5,0,16.4,11.6,template
27,40.759216,-73.985330,40.759923,-73.985252,40.759167,-73.985489,40.759167,-73.985489,0.119,88.2,1,78.9,14.5,template
28,40.759262,-73.985293,40.759367,-73.985252,40.759201,-73.985481,40.759201,-73.985481,0.222,31.5,1,12.2,17.3,template
29,40.759308,-73.985255,40.759367,-73.985252,40.759235,-73.985474,40.759338,-73.985298,0.369,28.7,0,6.6,5.0,template
30,40.759353,-73.985217,40.759367,-73.985252,40.759392,-73.985260,40.759377,-73.985252,0.584,2.9,0,3.3,4.0,template
31,40.759399,-73.985179,40.759367,-73.985252,40.759426,-73.985207,40.759403,-73.985222,0.256,8.3,0,7.1,3.7,template
32,40.759444,-73.985141,40.758811,-73.985252,40.759449,-73.985184,40.759449,-73.985184,0.119,71.4,1,71.1,3.7,template
33,40.759490,-73.985103,40.758811,-73.985252,40.759495,-73.985146,40.759235,-73.985184,0.134,77.0,0,76.6,29.2,template
34,40.759536,-73.985065,40.758811,-73.985252,40.759228,-73.985153,40.759094,-73.985184,0.071,47.7,0,82.2,50.1,template
35,40.759581,-73.985027,40.759645,-73.984974,40.759056,-73.985161,40.759304,-73.985085,0.130,68.8,0,8.4,31.2,template
36,40.759627,-73.985064,40.757977,-73.985530,40.759628,-73.985054,40.759628,-73.985054,0.085,191.3,1,187.8,0.9,template
37,40.759673,-73.985101,40.759089,-73.985530,40.759674,-73.985085,40.759674,-73.985085,0.100,81.8,1,74.4,1.4,template
38,40.759719,-73.985139,40.759089,-73.985530,40.759720,-73.985115,40.759720,-73.985115,0.109,84.0,1,77.5,2.0,template
39,40.759765,-73.985176,40.759089,-73.985530,40.759766,-73.985146,40.759766,-73.985146,0.156,86.6,1,80.9,2.6,template
40,40.759811,-73.985213,40.759923,-73.985252,40.759811,-73.985176,40.759903,-73.985237,0.173,15.0,0,12.9,10.5,template
41,40.759857,-73.985251,40.759923,-73.985252,40.759964,-73.985275,40.759937,-73.985260,0.375,5.3,0,7.4,9.0,template
42,40.759903,-73.985288,40.759923,-73.985252,40.759995,-73.985298,40.759956,-73.985275,0.416,9.5,0,3.8,6.1,template
43,40.759948,-73.985325,40.759923,-73.985252,40.760006,-73.985306,40.759972,-73.985283,0.341,11.0,0,6.8,4.4,template
44,40.759994,-73.985362,40.759923,-73.985252,40.760014,-73.985306,40.759983,-73.985291,0.207,11.8,0,12.3,6.2,template
45,40.760040,-73.985400,40.760201,-73.985530,40.760017,-73.985313,40.760078,-73.985382,0.174,31.6,0,21.0,4.5,template
46,40.760086,-73.985437,40.760201,-73.985437,40.760128,-73.985420,40.760159,-73.985428,0.268,8.3,0,12.7,8.1,template
47,40.760132,-73.985474,40.760201,-73.985437,40.760216,-73.985466,40.760208,-73.985451,0.451,3.6,0,8.2,8.7,template
48,40.760152,-73.985408,40.760201,-73.985437,40.760151,-73.985420,40.760178,-73.985428,0.392,5.8,0,5.9,3.3,template
49,40.760173,-73.985342,40.760201,-73.985345,40.760204,-73.985382,40.760201,-73.985359,0.583,4.2,0,3.1,3.4,template
50,40.760193,-73.985276,40.760201,-73.985252,40.760227,-73.985306,40.760212,-73.985275,0.519,6.7,0,2.2,2.1,template
