Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,40.758016,-73.985479,40.757977,-73.985530,1.000,4.2,4.2,6.0,orb
1,40.758054,-73.985429,40.757977,-73.985530,1.000,8.5,8.5,12.0,orb
2,40.758092,-73.985379,40.757977,-73.985530,1.000,12.7,12.7,18.0,orb
3,40.758130,-73.985329,40.758104,-73.985363,0.400,2.9,2.9,4.1,orb
4,40.758168,-73.985278,40.758161,-73.985288,0.400,0.8,0.8,1.2,orb
5,40.758206,-73.985228,40.758205,-73.985229,1.000,0.1,0.1,0.1,orb
6,40.758244,-73.985178,40.758219,-73.985211,1.000,2.8,2.8,4.0,orb
7,40.758282,-73.985127,40.758223,-73.985206,1.000,6.6,6.6,9.4,orb
8,40.758320,-73.985077,40.758224,-73.985204,1.000,10.7,10.7,15.2,orb
9,40.758359,-73.985027,40.758342,-73.985049,0.400,1.9,1.9,2.6,orb
10,40.758397,-73.984976,40.758396,-73.984977,0.400,0.1,0.1,0.1,orb
11,40.758435,-73.984926,40.758449,-73.984907,1.000,-1.6,-1.6,2.2,orb
12,40.758473,-73.984876,40.758465,-73.984887,1.000,0.9,0.9,1.3,orb
13,40.758511,-73.984825,40.758469,-73.984880,1.000,4.6,4.6,6.5,orb
14,40.758549,-73.984775,40.758471,-73.984878,1.000,8.7,8.7,12.3,orb
15,40.758587,-73.984725,40.758580,-73.984734,0.400,0.8,0.8,1.2,orb
16,40.758625,-73.984674,40.758631,-73.984667,0.400,-0.7,-0.7,0.9,orb
17,40.758663,-73.984624,40.758692,-73.984586,1.000,-3.2,-3.2,4.5,orb
18,40.758702,-73.984574,40.758711,-73.984562,1.000,-1.0,-1.0,1.4,orb
19,40.758740,-73.984524,40.758716,-73.984555,1.000,2.6,2.6,3.7,orb
20,40.758778,-73.984473,40.758718,-73.984552,1.000,6.7,6.7,9.4,orb
21,40.758816,-73.984423,40.758718,-73.984552,1.000,10.9,10.9,15.4,orb
22,40.758854,-73.984373,40.758718,-73.984552,1.000,15.1,15.1,21.3,orb
23,40.758892,-73.984322,40.758855,-73.984371,0.400,4.1,4.1,5.8,orb
24,40.758930,-73.984272,40.758932,-73.984269,1.000,-0.3,-0.3,0.4,orb
25,40.758968,-73.984222,40.758956,-73.984238,1.000,1.4,1.4,2.0,orb
26,40.759006,-73.984171,40.758963,-73.984229,1.000,4.9,4.9,6.9,orb
27,40.759045,-73.984121,40.758965,-73.984227,1.000,8.9,8.9,12.6,orb
28,40.759083,-73.984071,40.758965,-73.984226,0.782,13.1,13.1,18.5,orb
29,40.759121,-73.984020,40.759093,-73.984057,0.366,3.0,3.0,4.3,orb
30,40.759159,-73.983970,40.759151,-73.983981,0.400,0.9,0.9,1.3,orb
31,40.759197,-73.983920,40.759194,-73.983924,1.000,0.3,0.3,0.5,orb
32,40.759235,-73.983869,40.759207,-73.983907,1.000,3.1,3.1,4.4,orb
33,40.759273,-73.983819,40.759211,-73.983901,1.000,6.9,6.9,9.8,orb
34,40.759311,-73.983769,40.759212,-73.983900,1.000,11.1,11.1,15.6,orb
35,40.759349,-73.983718,40.759331,-73.983742,0.400,2.0,2.0,2.9,orb
36,40.759388,-73.983668,40.759386,-73.983670,0.400,0.2,0.2,0.3,orb
37,40.759426,-73.983618,40.759437,-73.983602,1.000,-1.3,-1.3,1.9,orb
38,40.759464,-73.983568,40.759453,-73.983582,1.000,1.2,1.2,1.7,orb
39,40.759502,-73.983517,40.759458,-73.983576,1.000,4.9,4.9,7.0,orb
40,40.759540,-73.983467,40.759459,-73.983574,1.000,9.0,9.0,12.8,orb
41,40.759578,-73.983417,40.759459,-73.983573,1.000,13.2,13.2,18.7,orb
42,40.759616,-73.983366,40.759588,-73.983403,0.400,3.1,3.1,4.4,orb
43,40.759654,-73.983316,40.759645,-73.983328,0.400,1.0,1.0,1.4,orb
44,40.759692,-73.983266,40.759688,-73.983271,1.000,0.5,0.5,0.7,orb
45,40.759731,-73.983215,40.759701,-73.983254,1.000,3.3,3.3,4.6,orb
46,40.759769,-73.983165,40.759705,-73.983249,0.912,7.1,7.1,10.0,orb
47,40.759807,-73.983115,40.759706,-73.983248,0.691,11.2,11.2,15.9,orb
48,40.759845,-73.983064,40.759826,-73.983089,0.348,2.1,2.1,3.0,orb
49,40.759883,-73.983014,40.759881,-73.983017,0.400,0.3,0.3,0.4,orb
50,40.759921,-73.982964,40.759932,-73.982950,1.000,-1.2,-1.2,1.7,orb
51,40.759959,-73.982913,40.759947,-73.982930,1.000,1.4,1.4,1.9,orb
52,40.759997,-73.982863,40.759952,-73.982923,1.000,5.1,5.1,7.2,orb
53,40.760035,-73.982813,40.759953,-73.982922,1.000,9.2,9.2,13.0,orb
54,40.760074,-73.982762,40.759953,-73.982921,1.000,13.4,13.4,18.9,orb
55,40.760112,-73.982712,40.760077,-73.982758,0.400,3.8,3.8,5.4,orb
56,40.760150,-73.982662,40.760132,-73.982685,0.400,1.9,1.9,2.8,orb
