Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,0.913,4.2,4.2,6.0,orb
1,31.776754,35.234563,31.776677,35.234473,0.745,8.5,8.5,12.0,orb
2,31.776792,35.234608,31.776924,35.234764,0.597,-14.8,-14.8,20.9,orb
3,31.776830,35.234653,31.776924,35.234764,0.914,-10.5,-10.5,14.9,orb
4,31.776868,35.234698,31.776924,35.234764,1.000,-6.3,-6.3,8.9,orb
5,31.776906,35.234742,31.776924,35.234764,1.000,-2.0,-2.0,2.9,orb
6,31.776944,35.234787,31.776924,35.234764,1.000,2.2,2.2,3.1,orb
7,31.776982,35.234832,31.776924,35.234764,1.000,6.4,6.4,9.1,orb
8,31.777020,35.234877,31.776924,35.234764,0.564,10.7,10.7,15.1,orb
9,31.777059,35.234922,31.777171,35.235055,0.369,-12.6,-12.6,17.8,orb
10,31.777097,35.234967,31.777171,35.235055,0.554,-8.3,-8.3,11.8,orb
11,31.777135,35.235011,31.777171,35.235055,0.887,-4.1,-4.1,5.8,orb
12,31.777173,35.235056,31.777171,35.235055,1.000,0.2,0.2,0.2,orb
13,31.777211,35.235101,31.777171,35.235055,1.000,4.4,4.4,6.2,orb
14,31.777249,35.235146,31.777171,35.235055,1.000,8.6,8.6,12.2,orb
15,31.777287,35.235191,31.777171,35.235055,0.835,12.9,12.9,18.2,orb
16,31.777325,35.235236,31.777381,35.235302,0.924,-6.2,-6.2,8.8,orb
17,31.777363,35.235280,31.777413,35.235339,1.000,-5.5,-5.5,7.8,orb
18,31.777402,35.235325,31.777418,35.235344,1.000,-1.8,-1.8,2.5,orb
19,31.777440,35.235370,31.777418,35.235345,1.000,2.4,2.4,3.4,orb
20,31.777478,35.235415,31.777418,35.235345,1.000,6.6,6.6,9.3,orb
21,31.777516,35.235460,31.777418,35.235345,1.000,10.8,10.8,15.3,orb
22,31.777554,35.235505,31.777418,35.235345,0.885,15.1,15.1,21.3,orb
23,31.777592,35.235549,31.777628,35.235592,0.798,-4.0,-4.0,5.7,orb
24,31.777630,35.235594,31.777660,35.235629,1.000,-3.3,-3.3,4.7,orb
25,31.777668,35.235639,31.777665,35.235635,1.000,0.4,0.4,0.6,orb
26,31.777706,35.235684,31.777665,35.235636,0.965,4.6,4.6,6.5,orb
27,31.777745,35.235729,31.777666,35.235636,0.657,8.8,8.8,12.4,orb
28,31.777783,35.235774,31.777913,35.235926,0.527,-14.5,-14.5,20.4,orb
29,31.777821,35.235818,31.777913,35.235926,0.802,-10.2,-10.2,14.4,orb
30,31.777859,35.235863,31.777913,35.235926,1.000,-6.0,-6.0,8.4,orb
31,31.777897,35.235908,31.777913,35.235926,1.000,-1.7,-1.7,2.4,orb
32,31.777935,35.235953,31.777913,35.235926,1.000,2.5,2.5,3.6,orb
33,31.777973,35.235998,31.777913,35.235926,1.000,6.8,6.8,9.6,orb
34,31.778011,35.236043,31.777913,35.235926,0.868,11.0,11.0,15.6,orb
35,31.778049,35.236087,31.778123,35.236173,0.818,-8.1,-8.1,11.5,orb
36,31.778088,35.236132,31.778154,35.236210,1.000,-7.4,-7.4,10.5,orb
37,31.778126,35.236177,31.778159,35.236216,1.000,-3.7,-3.7,5.2,orb
38,31.778164,35.236222,31.778159,35.236217,1.000,0.5,0.5,0.7,orb
39,31.778202,35.236267,31.778160,35.236217,1.000,4.7,4.7,6.7,orb
40,31.778240,35.236312,31.778160,35.236217,1.000,9.0,9.0,12.7,orb
41,31.778278,35.236356,31.778160,35.236217,0.628,13.2,13.2,18.7,orb
42,31.778316,35.236401,31.778407,35.236507,0.471,-10.1,-10.1,14.2,orb
43,31.778354,35.236446,31.778407,35.236507,0.563,-5.8,-5.8,8.2,orb
44,31.778392,35.236491,31.778407,35.236507,0.640,-1.6,-1.6,2.2,orb
45,31.778431,35.236536,31.778407,35.236507,0.460,2.7,2.7,3.8,orb
46,31.778469,35.236581,31.778407,35.236507,0.340,6.9,6.9,9.8,orb
47,31.778507,35.236625,31.778407,35.236507,0.300,11.2,11.2,15.8,orb
48,31.778545,35.236670,31.778654,35.236798,0.300,-12.1,-12.1,17.1,orb
49,31.778583,35.236715,31.778654,35.236798,0.300,-7.9,-7.9,11.1,orb
50,31.778621,35.236760,31.778654,35.236798,0.308,-3.6,-3.6,5.1,orb
51,31.778659,35.236805,31.778654,35.236798,0.360,0.6,0.6,0.9,orb
52,31.778697,35.236850,31.778654,35.236798,0.318,4.9,4.9,6.9,orb
53,31.778735,35.236894,31.778654,35.236798,0.300,9.1,9.1,12.9,orb
54,31.778774,35.236939,31.778654,35.236798,0.300,13.4,13.4,18.9,orb
55,31.778812,35.236984,31.778901,35.237089,0.300,-9.9,-9.9,14.0,orb
56,31.778850,35.237029,31.778901,35.237089,0.300,-5.7,-5.7,8.0,orb
