Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776718,35.234515,31.776677,35.234473,0.803,4.6,3.9,6.0,orb
1,31.776760,35.234556,31.776677,35.234473,0.746,9.1,7.8,12.0,orb
2,31.776801,35.234597,31.776955,35.234751,0.562,-17.2,-14.6,22.6,orb
3,31.776842,35.234638,31.776955,35.234751,0.922,-12.7,-10.8,16.6,orb
4,31.776883,35.234679,31.776955,35.234751,1.000,-8.1,-6.9,10.6,orb
5,31.776924,35.234720,31.776955,35.234751,1.000,-3.5,-3.0,4.6,orb
6,31.776965,35.234761,31.776955,35.234751,1.000,1.1,0.9,1.4,orb
7,31.777006,35.234802,31.776955,35.234751,1.000,5.6,4.8,7.4,orb
8,31.777047,35.234843,31.776955,35.234751,0.725,10.2,8.7,13.4,orb
9,31.777088,35.234884,31.776955,35.234751,0.472,14.8,12.6,19.4,orb
10,31.777129,35.234925,31.777192,35.234988,0.605,-6.9,-5.9,9.1,orb
11,31.777170,35.234966,31.777227,35.235023,0.864,-6.3,-5.4,8.3,orb
12,31.777215,35.234931,31.777232,35.235028,0.977,-1.9,-9.2,9.4,orb
13,31.777259,35.234895,31.777233,35.235029,0.819,2.9,-12.7,13.0,orb
14,31.777304,35.234860,31.777233,35.235029,0.554,7.9,-16.1,17.9,orb
15,31.777349,35.234824,31.777233,35.235029,0.439,12.9,-19.4,23.3,orb
16,31.777393,35.234789,31.777469,35.234793,0.602,-8.5,-0.4,8.5,orb
17,31.777438,35.234753,31.777505,35.234758,0.743,-7.4,-0.4,7.5,orb
18,31.777483,35.234717,31.777510,35.234752,0.883,-3.1,-3.3,4.5,orb
19,31.777527,35.234682,31.777511,35.234751,0.821,1.8,-6.6,6.8,orb
20,31.777572,35.234646,31.777511,35.234751,0.602,6.8,-9.9,12.0,orb
21,31.777617,35.234611,31.777511,35.234751,0.513,11.7,-13.3,17.7,orb
22,31.777661,35.234575,31.777747,35.234515,0.705,-9.6,5.7,11.2,orb
23,31.777706,35.234540,31.777783,35.234480,0.993,-8.6,5.7,10.3,orb
24,31.777750,35.234504,31.777788,35.234474,1.000,-4.2,2.8,5.1,orb
25,31.777794,35.234542,31.777789,35.234474,1.000,0.5,6.5,6.5,orb
26,31.777837,35.234580,31.777789,35.234473,0.978,5.3,10.1,11.4,orb
27,31.777880,35.234618,31.777789,35.234473,0.732,10.1,13.7,17.0,orb
28,31.777923,35.234656,31.777789,35.234473,0.488,14.9,17.3,22.8,orb
29,31.777966,35.234695,31.778067,35.234751,0.493,-11.2,-5.4,12.5,orb
30,31.778009,35.234733,31.778067,35.234751,0.788,-6.4,-1.8,6.7,orb
31,31.778052,35.234771,31.778067,35.234751,0.995,-1.6,1.8,2.5,orb
32,31.778095,35.234809,31.778067,35.234751,0.857,3.2,5.4,6.3,orb
33,31.778138,35.234847,31.778067,35.234751,0.619,7.9,9.0,12.0,orb
34,31.778181,35.234885,31.778345,35.235029,0.566,-18.2,-13.7,22.7,orb
35,31.778225,35.234923,31.778345,35.235029,0.770,-13.4,-10.1,16.7,orb
36,31.778268,35.234961,31.778345,35.235029,1.000,-8.6,-6.5,10.7,orb
37,31.778311,35.234999,31.778345,35.235029,1.000,-3.8,-2.9,4.7,orb
38,31.778354,35.234961,31.778345,35.235029,1.000,1.0,-6.5,6.5,orb
39,31.778397,35.234923,31.778345,35.235029,0.850,5.8,-10.1,11.6,orb
40,31.778440,35.234884,31.778345,35.235029,0.629,10.6,-13.7,17.3,orb
41,31.778483,35.234846,31.778581,35.234793,0.734,-11.0,5.0,12.1,orb
42,31.778526,35.234808,31.778616,35.234758,1.000,-10.1,4.7,11.2,orb
43,31.778569,35.234769,31.778622,35.234752,1.000,-5.9,1.6,6.1,orb
44,31.778611,35.234731,31.778623,35.234751,1.000,-1.2,-1.9,2.3,orb
45,31.778654,35.234693,31.778623,35.234751,1.000,3.5,-5.5,6.6,orb
46,31.778697,35.234655,31.778623,35.234751,0.837,8.3,-9.2,12.4,orb
47,31.778740,35.234616,31.778859,35.234673,0.630,-13.2,-5.3,14.2,orb
48,31.778783,35.234578,31.778894,35.234582,0.805,-12.4,-0.4,12.4,orb
49,31.778826,35.234540,31.778900,35.234490,0.844,-8.2,4.7,9.4,orb
50,31.778869,35.234501,31.778900,35.234476,1.000,-3.5,2.4,4.2,orb
51,31.778877,35.234564,31.778901,35.234553,1.000,-2.6,1.1,2.8,orb
52,31.778885,35.234627,31.778901,35.234643,0.927,-1.7,-1.5,2.3,orb
53,31.778893,35.234690,31.778901,35.234735,1.000,-0.9,-4.3,4.4,orb
54,31.778901,35.234752,31.778901,35.234749,1.000,0.0,0.3,0.3,orb
