Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776716,35.234518,31.776794,35.234611,0.597,-8.8,-8.8,12.4,smoothed
1,31.776754,35.234563,31.776985,35.234835,0.362,-25.7,-25.7,36.4,smoothed
2,31.776792,35.234608,31.777378,35.235297,0.273,-65.2,-65.2,92.3,smoothed
3,31.776830,35.234653,31.777345,35.235259,0.272,-57.4,-57.4,81.2,smoothed
4,31.776868,35.234698,31.777168,35.235051,0.461,-33.4,-33.4,47.3,smoothed
5,31.776906,35.234742,31.777082,35.234949,0.687,-19.5,-19.5,27.6,smoothed
6,31.776944,35.234787,31.777084,35.234952,0.692,-15.6,-15.6,22.1,smoothed
7,31.776982,35.234832,31.777184,35.235069,0.486,-22.4,-22.4,31.7,smoothed
8,31.777020,35.234877,31.777414,35.235340,0.255,-43.8,-43.8,62.0,smoothed
9,31.777059,35.234922,31.777725,35.235706,0.229,-74.2,-74.2,105.0,smoothed
10,31.777097,35.234967,31.777544,35.235493,0.351,-49.8,-49.8,70.5,smoothed
11,31.777135,35.235011,31.777387,35.235309,0.535,-28.1,-28.1,39.8,smoothed
12,31.777173,35.235056,31.777289,35.235192,0.900,-12.9,-12.9,18.2,smoothed
13,31.777211,35.235101,31.777504,35.235446,0.450,-32.6,-32.6,46.1,smoothed
14,31.777249,35.235146,31.777811,35.235806,0.255,-62.5,-62.5,88.4,smoothed
15,31.777287,35.235191,31.778086,35.236131,0.253,-88.9,-88.9,125.8,smoothed
16,31.777325,35.235236,31.777878,35.235885,0.265,-61.5,-61.5,86.9,smoothed
17,31.777363,35.235280,31.777638,35.235603,0.456,-30.5,-30.5,43.2,smoothed
18,31.777402,35.235325,31.777499,35.235440,0.686,-10.9,-10.9,15.4,smoothed
19,31.777440,35.235370,31.777427,35.235355,0.607,1.5,1.5,2.1,smoothed
20,31.777478,35.235415,31.777269,35.235169,0.398,23.2,23.2,32.9,smoothed
21,31.777516,35.235460,31.777071,35.234936,0.262,49.6,49.6,70.1,smoothed
22,31.777554,35.235505,31.777180,35.235065,0.267,41.6,41.6,58.8,smoothed
23,31.777592,35.235549,31.777492,35.235431,0.318,11.2,11.2,15.8,smoothed
24,31.777630,35.235594,31.777643,35.235609,0.522,-1.4,-1.4,2.0,smoothed
25,31.777668,35.235639,31.777641,35.235607,0.786,3.1,3.1,4.3,smoothed
26,31.777706,35.235684,31.777595,35.235553,0.494,12.4,12.4,17.6,smoothed
27,31.777745,35.235729,31.777369,35.235287,0.319,41.8,41.8,59.1,smoothed
28,31.777783,35.235774,31.777224,35.235116,0.250,62.2,62.2,88.0,smoothed
29,31.777821,35.235818,31.777799,35.235793,0.303,2.4,2.4,3.4,smoothed
30,31.777859,35.235863,31.777866,35.235872,0.521,-0.8,-0.8,1.1,smoothed
31,31.777897,35.235908,31.777868,35.235874,0.799,3.3,3.3,4.6,smoothed
32,31.777935,35.235953,31.777868,35.235874,0.632,7.4,7.4,10.5,smoothed
33,31.777973,35.235998,31.777857,35.235861,0.474,12.9,12.9,18.3,smoothed
34,31.778011,35.236043,31.777868,35.235874,0.341,15.9,15.9,22.5,smoothed
35,31.778049,35.236087,31.778166,35.236224,0.280,-13.0,-13.0,18.3,smoothed
36,31.778088,35.236132,31.778176,35.236236,0.456,-9.8,-9.8,13.9,smoothed
37,31.778126,35.236177,31.778168,35.236227,0.619,-4.7,-4.7,6.7,smoothed
38,31.778164,35.236222,31.778162,35.236220,0.900,0.2,0.2,0.2,smoothed
39,31.778202,35.236267,31.778157,35.236213,0.627,5.0,5.0,7.1,smoothed
40,31.778240,35.236312,31.778163,35.236221,0.486,8.6,8.6,12.2,smoothed
41,31.778278,35.236356,31.778382,35.236478,0.333,-11.5,-11.5,16.3,smoothed
42,31.778316,35.236401,31.778413,35.236516,0.436,-10.8,-10.8,15.3,smoothed
43,31.778354,35.236446,31.778407,35.236508,0.577,-5.9,-5.9,8.3,smoothed
44,31.778392,35.236491,31.778353,35.236444,0.739,4.4,4.4,6.3,smoothed
45,31.778431,35.236536,31.778352,35.236443,0.736,8.8,8.8,12.4,smoothed
46,31.778469,35.236581,31.778387,35.236485,0.577,9.0,9.0,12.8,smoothed
47,31.778507,35.236625,31.778371,35.236466,0.423,15.1,15.1,21.3,smoothed
48,31.778545,35.236670,31.778386,35.236484,0.330,17.7,17.7,25.0,smoothed
49,31.778583,35.236715,31.778427,35.236532,0.282,17.4,17.4,24.6,smoothed
50,31.778621,35.236760,31.778472,35.236585,0.339,16.6,16.6,23.4,smoothed
51,31.778659,35.236805,31.778599,35.236734,0.900,6.7,6.7,9.5,smoothed
52,31.778697,35.236850,31.778510,35.236630,0.309,20.8,20.8,29.4,smoothed
53,31.778735,35.236894,31.778563,35.236691,0.212,19.2,19.2,27.2,smoothed
54,31.778774,35.236939,31.778551,35.236677,0.177,24.8,24.8,35.1,smoothed
55,31.778812,35.236984,31.778603,35.236739,0.204,23.2,23.2,32.8,smoothed
56,31.778850,35.237029,31.778809,35.236981,0.231,4.5,4.5,6.4,smoothed
