Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776718,35.234515,31.776830,35.234520,0.570,-12.4,-0.5,12.4,smoothed
1,31.776760,35.234556,31.776999,35.234558,0.345,-26.7,-0.2,26.7,smoothed
2,31.776801,35.234597,31.777213,35.234624,0.164,-45.9,-2.6,45.9,smoothed
3,31.776842,35.234638,31.777245,35.234717,0.221,-44.9,-7.5,45.5,smoothed
4,31.776883,35.234679,31.777126,35.234713,0.414,-27.1,-3.3,27.3,smoothed
5,31.776924,35.234720,31.777033,35.234735,0.620,-12.2,-1.5,12.3,smoothed
6,31.776965,35.234761,31.777014,35.234749,0.746,-5.4,1.1,5.5,smoothed
7,31.777006,35.234802,31.777139,35.234751,0.514,-14.8,4.8,15.6,smoothed
8,31.777047,35.234843,31.777360,35.234796,0.343,-34.8,4.5,35.1,smoothed
9,31.777088,35.234884,31.777276,35.234807,0.276,-20.9,7.3,22.2,smoothed
10,31.777129,35.234925,31.777580,35.234922,0.237,-50.2,0.3,50.2,smoothed
11,31.777170,35.234966,31.777440,35.234982,0.391,-30.1,-1.5,30.1,smoothed
12,31.777215,35.234931,31.777487,35.234982,0.432,-30.3,-4.9,30.7,smoothed
13,31.777259,35.234895,31.777563,35.234975,0.408,-33.8,-7.6,34.6,smoothed
14,31.777304,35.234860,31.777585,35.234943,0.366,-31.3,-7.9,32.3,smoothed
15,31.777349,35.234824,31.777539,35.234897,0.346,-21.2,-6.9,22.3,smoothed
16,31.777393,35.234789,31.777352,35.234814,0.414,4.6,-2.4,5.2,smoothed
17,31.777438,35.234753,31.777374,35.234795,0.450,7.1,-4.0,8.2,smoothed
18,31.777483,35.234717,31.777406,35.234772,0.525,8.5,-5.2,9.9,smoothed
19,31.777527,35.234682,31.777341,35.234768,0.423,20.8,-8.2,22.3,smoothed
20,31.777572,35.234646,31.777409,35.234751,0.333,18.2,-9.9,20.7,smoothed
21,31.777617,35.234611,31.777494,35.234751,0.258,13.6,-13.3,19.0,smoothed
22,31.777661,35.234575,31.777305,35.234698,0.218,39.6,-11.6,41.3,smoothed
23,31.777706,35.234540,31.777546,35.234587,0.249,17.7,-4.5,18.3,smoothed
24,31.777750,35.234504,31.777748,35.234489,0.476,0.3,1.4,1.5,smoothed
25,31.777794,35.234542,31.777645,35.234531,0.304,16.5,1.0,16.5,smoothed
26,31.777837,35.234580,31.777736,35.234686,0.128,11.2,-10.0,15.0,smoothed
27,31.777880,35.234618,31.777024,35.234698,0.143,95.2,-7.6,95.5,smoothed
28,31.777923,35.234656,31.777034,35.234683,0.156,99.0,-2.5,99.0,smoothed
29,31.777966,35.234695,31.777146,35.234658,0.159,91.3,3.4,91.4,smoothed
30,31.778009,35.234733,31.777880,35.234635,0.256,14.3,9.3,17.1,smoothed
31,31.778052,35.234771,31.777946,35.234736,0.519,11.8,3.3,12.2,smoothed
32,31.778095,35.234809,31.777913,35.234751,0.283,20.3,5.4,21.0,smoothed
33,31.778138,35.234847,31.778186,35.234742,0.175,-5.3,9.9,11.2,smoothed
34,31.778181,35.234885,31.777950,35.234751,0.152,25.7,12.6,28.7,smoothed
35,31.778225,35.234923,31.777249,35.234763,0.154,108.6,15.1,109.7,smoothed
36,31.778268,35.234961,31.777542,35.234830,0.138,80.7,12.4,81.7,smoothed
37,31.778311,35.234999,31.778134,35.235018,0.322,19.7,-1.7,19.8,smoothed
38,31.778354,35.234961,31.778002,35.234954,0.240,39.2,0.7,39.2,smoothed
39,31.778397,35.234923,31.777801,35.234877,0.167,66.3,4.3,66.5,smoothed
40,31.778440,35.234884,31.778246,35.234847,0.146,21.6,3.5,21.9,smoothed
41,31.778483,35.234846,31.778017,35.234751,0.155,51.9,9.0,52.6,smoothed
42,31.778526,35.234808,31.778202,35.234725,0.132,36.0,7.8,36.8,smoothed
43,31.778569,35.234769,31.778636,35.234719,0.277,-7.5,4.7,8.9,smoothed
44,31.778611,35.234731,31.778614,35.234750,0.495,-0.2,-1.8,1.8,smoothed
45,31.778654,35.234693,31.778537,35.234719,0.121,13.1,-2.5,13.3,smoothed
46,31.778697,35.234655,31.777908,35.234694,0.089,87.9,-3.7,88.0,smoothed
47,31.778740,35.234616,31.777369,35.234797,0.121,152.6,-17.1,153.6,smoothed
48,31.778783,35.234578,31.777430,35.234751,0.129,150.6,-16.4,151.5,smoothed
49,31.778826,35.234540,31.778228,35.234675,0.128,66.6,-12.8,67.9,smoothed
50,31.778869,35.234501,31.778684,35.234487,0.342,20.6,1.4,20.6,smoothed
51,31.778877,35.234564,31.778901,35.234564,0.432,-2.6,-0.0,2.6,smoothed
52,31.778885,35.234627,31.778901,35.234641,0.383,-1.7,-1.4,2.2,smoothed
53,31.778893,35.234690,31.778901,35.234676,0.434,-0.9,1.3,1.6,smoothed
54,31.778901,35.234752,31.778901,35.234735,0.900,0.0,1.6,1.6,smoothed
