Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,40.758016,-73.985479,40.758125,-73.985335,0.232,-12.2,-12.2,17.2,smoothed
1,40.758054,-73.985429,40.758072,-73.985405,0.112,-2.0,-2.0,2.8,smoothed
2,40.758092,-73.985379,40.758407,-73.984963,0.057,-35.1,-35.1,49.6,smoothed
3,40.758130,-73.985329,40.759154,-73.983977,0.047,-114.0,-114.0,161.2,smoothed
4,40.758168,-73.985278,40.759351,-73.983716,0.080,-131.7,-131.7,186.3,smoothed
5,40.758206,-73.985228,40.758296,-73.985110,0.390,-10.0,-10.0,14.1,smoothed
6,40.758244,-73.985178,40.758372,-73.985010,0.270,-14.2,-14.2,20.0,smoothed
7,40.758282,-73.985127,40.758340,-73.985051,0.043,-6.4,-6.4,9.0,smoothed
8,40.758320,-73.985077,40.759146,-73.983987,0.052,-91.9,-91.9,130.0,smoothed
9,40.758359,-73.985027,40.759161,-73.983968,0.101,-89.3,-89.3,126.3,smoothed
10,40.758397,-73.984976,40.758984,-73.984201,0.150,-65.4,-65.4,92.5,smoothed
11,40.758435,-73.984926,40.758604,-73.984702,0.299,-18.9,-18.9,26.7,smoothed
12,40.758473,-73.984876,40.758502,-73.984837,0.900,-3.3,-3.3,4.6,smoothed
13,40.758511,-73.984825,40.758515,-73.984821,0.367,-0.4,-0.4,0.6,smoothed
14,40.758549,-73.984775,40.758611,-73.984693,0.203,-6.9,-6.9,9.7,smoothed
15,40.758587,-73.984725,40.758707,-73.984567,0.205,-13.3,-13.3,18.8,smoothed
16,40.758625,-73.984674,40.758701,-73.984574,0.299,-8.4,-8.4,11.9,smoothed
17,40.758663,-73.984624,40.758726,-73.984541,0.432,-7.0,-7.0,9.9,smoothed
18,40.758702,-73.984574,40.758748,-73.984512,0.603,-5.2,-5.2,7.3,smoothed
19,40.758740,-73.984524,40.758803,-73.984440,0.517,-7.0,-7.0,9.9,smoothed
20,40.758778,-73.984473,40.758869,-73.984353,0.452,-10.1,-10.1,14.3,smoothed
21,40.758816,-73.984423,40.758960,-73.984233,0.378,-16.0,-16.0,22.6,smoothed
22,40.758854,-73.984373,40.758955,-73.984240,0.436,-11.2,-11.2,15.8,smoothed
23,40.758892,-73.984322,40.758959,-73.984234,0.471,-7.4,-7.4,10.5,smoothed
24,40.758930,-73.984272,40.758976,-73.984212,0.600,-5.1,-5.1,7.2,smoothed
25,40.758968,-73.984222,40.758978,-73.984209,0.792,-1.1,-1.1,1.5,smoothed
26,40.759006,-73.984171,40.759009,-73.984168,0.547,-0.2,-0.2,0.3,smoothed
27,40.759045,-73.984121,40.759035,-73.984134,0.406,1.1,1.1,1.5,smoothed
28,40.759083,-73.984071,40.759066,-73.984092,0.357,1.8,1.8,2.5,smoothed
29,40.759121,-73.984020,40.759105,-73.984041,0.282,1.8,1.8,2.5,smoothed
30,40.759159,-73.983970,40.759143,-73.983992,0.250,1.8,1.8,2.6,smoothed
31,40.759197,-73.983920,40.759220,-73.983889,0.584,-2.6,-2.6,3.7,smoothed
32,40.759235,-73.983869,40.759205,-73.983909,0.575,3.4,3.4,4.7,smoothed
33,40.759273,-73.983819,40.759016,-73.984159,0.219,28.7,28.7,40.6,smoothed
34,40.759311,-73.983769,40.758917,-73.984290,0.156,43.9,43.9,62.1,smoothed
35,40.759349,-73.983718,40.758889,-73.984326,0.232,51.2,51.2,72.5,smoothed
36,40.759388,-73.983668,40.759006,-73.984171,0.206,42.4,42.4,60.0,smoothed
37,40.759426,-73.983618,40.759216,-73.983894,0.294,23.3,23.3,33.0,smoothed
38,40.759464,-73.983568,40.759376,-73.983684,0.672,9.8,9.8,13.9,smoothed
39,40.759502,-73.983517,40.759247,-73.983854,0.235,28.4,28.4,40.2,smoothed
40,40.759540,-73.983467,40.759216,-73.983895,0.154,36.1,36.1,51.1,smoothed
41,40.759578,-73.983417,40.759392,-73.983663,0.200,20.7,20.7,29.3,smoothed
42,40.759616,-73.983366,40.759467,-73.983564,0.176,16.7,16.7,23.6,smoothed
43,40.759654,-73.983316,40.759651,-73.983320,0.299,0.3,0.3,0.5,smoothed
44,40.759692,-73.983266,40.759685,-73.983275,0.732,0.8,0.8,1.2,smoothed
45,40.759731,-73.983215,40.759645,-73.983328,0.512,9.5,9.5,13.4,smoothed
46,40.759769,-73.983165,40.759477,-73.983551,0.259,32.5,32.5,46.0,smoothed
47,40.759807,-73.983115,40.759026,-73.984146,0.106,87.0,87.0,123.0,smoothed
48,40.759845,-73.983064,40.759388,-73.983667,0.078,50.8,50.8,71.9,smoothed
49,40.759883,-73.983014,40.759803,-73.983119,0.220,8.9,8.9,12.5,smoothed
50,40.759921,-73.982964,40.759905,-73.982985,0.496,1.8,1.8,2.5,smoothed
51,40.759959,-73.982913,40.759938,-73.982942,0.774,2.4,2.4,3.4,smoothed
52,40.759997,-73.982863,40.759925,-73.982959,0.414,8.1,8.1,11.4,smoothed
53,40.760035,-73.982813,40.759761,-73.983175,0.159,30.5,30.5,43.2,smoothed
54,40.760074,-73.982762,40.759379,-73.983679,0.142,77.3,77.3,109.3,smoothed
55,40.760112,-73.982712,40.759380,-73.983678,0.074,81.5,81.5,115.2,smoothed
56,40.760150,-73.982662,40.760087,-73.982744,0.279,6.9,6.9,9.8,smoothed
