Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,40.758020,-73.985487,40.758331,-73.985406,0.240,-34.6,-6.8,35.2,smoothed
1,40.758063,-73.985444,40.758516,-73.985342,0.159,-50.4,-8.6,51.1,smoothed
2,40.758106,-73.985401,40.759994,-73.985469,0.082,-210.1,5.8,210.2,smoothed
3,40.758149,-73.985358,40.760201,-73.985464,0.102,-228.4,8.9,228.5,smoothed
4,40.758192,-73.985315,40.758749,-73.985422,0.093,-62.0,9.0,62.6,smoothed
5,40.758235,-73.985272,40.758400,-73.985265,0.407,-18.3,-0.6,18.3,smoothed
6,40.758278,-73.985229,40.758298,-73.985266,0.422,-2.2,3.1,3.8,smoothed
7,40.758321,-73.985186,40.759033,-73.985359,0.111,-79.2,14.5,80.6,smoothed
8,40.758364,-73.985143,40.760120,-73.985497,0.111,-195.4,29.8,197.7,smoothed
9,40.758407,-73.985100,40.760201,-73.985438,0.141,-199.7,28.5,201.7,smoothed
10,40.758450,-73.985057,40.759567,-73.985232,0.155,-124.4,14.8,125.3,smoothed
11,40.758493,-73.985014,40.758741,-73.985050,0.365,-27.6,3.0,27.7,smoothed
12,40.758538,-73.985053,40.758815,-73.985139,0.205,-30.8,7.3,31.6,smoothed
13,40.758583,-73.985092,40.759293,-73.985118,0.164,-79.0,2.2,79.0,smoothed
14,40.758628,-73.985131,40.759341,-73.985158,0.132,-79.4,2.2,79.4,smoothed
15,40.758673,-73.985170,40.758871,-73.985181,0.085,-22.0,0.9,22.1,smoothed
16,40.758718,-73.985209,40.758734,-73.985099,0.080,-1.8,-9.3,9.5,smoothed
17,40.758763,-73.985248,40.758816,-73.985212,0.162,-5.8,-3.1,6.6,smoothed
18,40.758809,-73.985287,40.758777,-73.985199,0.202,3.5,-7.4,8.2,smoothed
19,40.758854,-73.985326,40.759254,-73.985066,0.087,-44.6,-22.0,49.7,smoothed
20,40.758899,-73.985365,40.759725,-73.985178,0.091,-92.0,-15.8,93.3,smoothed
21,40.758944,-73.985404,40.759793,-73.985369,0.131,-94.6,-3.0,94.6,smoothed
22,40.758989,-73.985443,40.759671,-73.985411,0.175,-76.0,-2.7,76.0,smoothed
23,40.759034,-73.985482,40.759320,-73.985404,0.258,-31.9,-6.6,32.6,smoothed
24,40.759080,-73.985444,40.759228,-73.985449,0.320,-16.6,0.4,16.6,smoothed
25,40.759125,-73.985406,40.759237,-73.985399,0.177,-12.5,-0.6,12.5,smoothed
26,40.759171,-73.985368,40.759276,-73.985353,0.106,-11.7,-1.3,11.8,smoothed
27,40.759216,-73.985330,40.759632,-73.985196,0.107,-46.3,-11.3,47.7,smoothed
28,40.759262,-73.985293,40.759327,-73.985223,0.200,-7.2,-5.8,9.3,smoothed
29,40.759308,-73.985255,40.759356,-73.985242,0.332,-5.4,-1.0,5.5,smoothed
30,40.759353,-73.985217,40.759374,-73.985252,0.526,-2.3,3.0,3.8,smoothed
31,40.759399,-73.985179,40.759308,-73.985244,0.231,10.1,5.5,11.5,smoothed
32,40.759444,-73.985141,40.759075,-73.985237,0.107,41.1,8.1,41.9,smoothed
33,40.759490,-73.985103,40.758743,-73.985184,0.120,83.1,6.9,83.4,smoothed
34,40.759536,-73.985065,40.758758,-73.985140,0.064,86.5,6.3,86.7,smoothed
35,40.759581,-73.985027,40.759007,-73.985187,0.117,63.9,13.5,65.3,smoothed
36,40.759627,-73.985064,40.758570,-73.985479,0.077,117.6,34.9,122.7,smoothed
37,40.759673,-73.985101,40.759068,-73.985288,0.090,67.3,15.8,69.1,smoothed
38,40.759719,-73.985139,40.759214,-73.985326,0.098,56.2,15.8,58.3,smoothed
39,40.759765,-73.985176,40.759095,-73.985403,0.140,74.5,19.2,77.0,smoothed
40,40.759811,-73.985213,40.759637,-73.985358,0.156,19.4,12.2,22.9,smoothed
41,40.759857,-73.985251,40.759840,-73.985285,0.338,1.9,2.9,3.5,smoothed
42,40.759903,-73.985288,40.759809,-73.985298,0.374,10.4,0.8,10.4,smoothed
43,40.759948,-73.985325,40.759833,-73.985321,0.307,12.9,-0.3,12.9,smoothed
44,40.759994,-73.985362,40.759818,-73.985397,0.186,19.6,2.9,19.8,smoothed
45,40.760040,-73.985400,40.760201,-73.985438,0.157,-17.8,3.2,18.1,smoothed
46,40.760086,-73.985437,40.760201,-73.985436,0.241,-12.7,-0.1,12.7,smoothed
47,40.760132,-73.985474,40.760201,-73.985456,0.406,-7.6,-1.6,7.8,smoothed
48,40.760152,-73.985408,40.760201,-73.985439,0.353,-5.4,2.5,5.9,smoothed
49,40.760173,-73.985342,40.760201,-73.985387,0.524,-3.1,3.8,4.9,smoothed
50,40.760193,-73.985276,40.760201,-73.985295,0.467,-0.8,1.6,1.8,smoothed
