Frame,Time_Sec,Lat,Lng,Label
414,20.680,47.480324472,-53.009462767,
415,20.730,47.480324476,-53.009462767,
416,20.780,47.480324479,-53.009462766,
417,20.830,47.480324482,-53.009462766,
418,20.880,47.480324483,-53.009462767,
419,20.930,47.480324480,-53.009462770,
420,20.980,47.480324477,-53.009462773,
421,21.029,47.480324474,-53.009462776,
422,21.080,47.480324473,-53.009462775,
423,21.130,47.480324477,-53.009462769,
424,21.181,47.480324480,-53.009462762,
425,21.231,47.480324483,-53.009462756,
426,21.281,47.480324486,-53.009462756,
427,21.331,47.480324488,-53.009462764,
428,21.380,47.480324489,-53.009462773,
429,21.430,47.480324491,-53.009462781,
430,21.484,47.480324485,-53.009462782,
431,21.530,47.480324472,-53.009462773,
432,21.580,47.480324458,-53.009462765,
433,21.631,47.480324444,-53.009462756,
434,21.680,47.480324440,-53.009462754,
435,21.730,47.480324448,-53.009462761,
436,21.780,47.480324456,-53.009462768,
437,21.830,47.480324464,-53.009462775,
438,21.880,47.480324474,-53.009462779,
439,21.930,47.480324484,-53.009462779,
440,21.980,47.480324495,-53.009462779,
441,22.030,47.480324506,-53.009462779,
442,22.080,47.480324513,-53.009462775,
443,22.130,47.480324516,-53.009462765,
444,22.180,47.480324519,-53.009462755,
445,22.230,47.480324521,-53.009462745,
446,22.280,47.480324522,-53.009462743,
447,22.330,47.480324521,-53.009462751,
448,22.381,47.480324520,-53.009462760,
449,22.430,47.480324519,-53.009462768,
450,22.480,47.480324518,-53.009462771,
451,22.530,47.480324517,-53.009462766,
452,22.580,47.480324516,-53.009462761,
453,22.630,47.480324515,-53.009462756,
454,22.680,47.480324513,-53.009462754,
455,22.730,47.480324510,-53.009462758,
456,22.780,47.480324506,-53.009462761,
457,22.830,47.480324502,-53.009462764,
458,22.880,47.480324498,-53.009462762,
459,22.930,47.480324493,-53.009462752,
460,22.980,47.480324488,-53.009462743,
461,23.030,47.480324484,-53.009462733,
462,23.080,47.480324480,-53.009462736,
463,23.130,47.480324477,-53.009462754,
464,23.180,47.480324475,-53.009462771,
465,23.230,47.480324472,-53.009462789,
466,23.280,47.480324473,-53.009462798,
467,23.330,47.480324479,-53.009462796,
468,23.380,47.480324484,-53.009462794,
469,23.430,47.480324490,-53.009462792,
470,23.480,47.480324492,-53.009462789,
471,23.530,47.480324490,-53.009462785,
472,23.580,47.480324488,-53.009462781,
473,23.631,47.480324486,-53.009462777,
474,23.680,47.480324483,-53.009462773,
475,23.730,47.480324480,-53.009462768,
476,23.780,47.480324476,-53.009462763,
477,23.830,47.480324473,-53.009462759,
478,23.880,47.480324473,-53.009462759,
479,23.930,47.480324477,-53.009462765,
480,23.980,47.480324481,-53.009462772,
481,24.030,47.480324486,-53.009462778,
482,24.080,47.480324488,-53.009462781,
483,24.130,47.480324488,-53.009462777,
484,24.180,47.480324487,-53.009462774,
485,24.230,47.480324487,-53.009462770,
486,24.280,47.480324486,-53.009462766,
487,24.330,47.480324483,-53.009462762,
488,24.380,47.480324480,-53.009462758,
489,24.431,47.480324477,-53.009462754,
490,24.480,47.480324475,-53.009462756,
491,24.530,47.480324475,-53.009462764,
492,24.580,47.480324476,-53.009462773,
493,24.629,47.480324476,-53.009462781,
494,24.680,47.480324476,-53.009462784,
495,24.729,47.480324477,-53.009462780,
496,24.780,47.480324478,-53.009462776,
497,24.830,47.480324479,-53.009462772,
498,24.879,47.480324481,-53.009462768,
499,24.929,47.480324483,-53.009462762,
500,24.980,47.480324485,-53.009462757,
501,25.029,47.480324488,-53.009462751,
502,25.080,47.480324486,-53.009462748,
503,25.129,47.480324480,-53.009462749,
504,25.180,47.480324474,-53.009462749,
505,25.229,47.480324468,-53.009462750,
506,25.281,47.480324466,-53.009462752,
507,25.330,47.480324467,-53.009462755,
508,25.380,47.480324468,-53.009462759,
509,25.431,47.480324469,-53.009462763,
510,25.480,47.480324469,-53.009462764,
511,25.530,47.480324468,-53.009462761,
512,25.580,47.480324466,-53.009462758,
513,25.630,47.480324464,-53.009462755,
514,25.680,47.480324463,-53.009462751,
515,25.729,47.480324463,-53.009462748,
516,25.779,47.480324464,-53.009462745,
517,25.830,47.480324464,-53.009462741,
518,25.880,47.480324464,-53.009462741,
519,25.930,47.480324465,-53.009462746,
520,25.979,47.480324466,-53.009462752,
521,26.030,47.480324467,-53.009462757,
522,26.080,47.480324468,-53.009462761,
523,26.130,47.480324471,-53.009462762,
524,26.180,47.480324473,-53.009462763,
525,26.229,47.480324476,-53.009462764,
526,26.280,47.480324473,-53.009462766,
527,26.330,47.480324465,-53.009462767,
528,26.380,47.480324457,-53.009462768,
529,26.430,47.480324449,-53.009462769,
530,26.480,47.480324450,-53.009462770,
531,26.530,47.480324466,-53.009462771,
532,26.580,47.480324480,-53.009462771,
533,26.630,47.480324495,-53.009462772,
534,26.680,47.480324501,-53.009462770,
535,26.732,47.480324495,-53.009462765,
536,26.780,47.480324489,-53.009462760,
537,26.829,47.480324483,-53.009462756,
538,26.880,47.480324483,-53.009462758,
539,26.930,47.480324491,-53.009462771,
540,26.980,47.480324499,-53.009462784,
541,27.030,47.480324507,-53.009462797,
542,27.080,47.480324512,-53.009462806,
543,27.130,47.480324511,-53.009462810,
544,27.180,47.480324510,-53.009462814,
545,27.230,47.480324509,-53.009462818,
546,27.279,47.480324501,-53.009462809,
547,27.329,47.480324483,-53.009462781,
548,27.380,47.480324465,-53.009462753,
549,27.429,47.480324447,-53.009462727,
550,27.480,47.480324442,-53.009462712,
551,27.530,47.480324454,-53.009462713,
552,27.580,47.480324467,-53.009462715,
553,27.632,47.480324479,-53.009462717,
554,27.681,47.480324488,-53.009462730,
555,27.729,47.480324492,-53.009462758,
556,27.780,47.480324497,-53.009462786,
557,27.830,47.480324501,-53.009462814,
558,27.880,47.480324499,-53.009462831,
559,27.930,47.480324486,-53.009462835,
560,27.980,47.480324474,-53.009462838,
561,28.030,47.480324462,-53.009462841,
562,28.079,47.480324459,-53.009462840,
563,28.129,47.480324470,-53.009462833,
564,28.179,47.480324480,-53.009462826,
565,28.229,47.480324490,-53.009462819,
566,28.280,47.480324492,-53.009462812,
567,28.330,47.480324482,-53.009462805,
568,28.380,47.480324472,-53.009462797,
569,28.430,47.480324463,-53.009462790,
570,28.480,47.480324459,-53.009462787,
571,28.530,47.480324465,-53.009462790,
572,28.579,47.480324471,-53.009462793,
573,28.630,47.480324477,-53.009462796,
574,28.679,47.480324480,-53.009462796,
575,28.730,47.480324479,-53.009462791,
576,28.780,47.480324479,-53.009462786,
577,28.830,47.480324478,-53.009462781,
578,28.880,47.480324479,-53.009462775,
579,28.930,47.480324483,-53.009462768,
580,28.980,47.480324486,-53.009462761,
581,29.029,47.480324490,-53.009462754,
582,29.079,47.480324490,-53.009462751,
583,29.129,47.480324485,-53.009462754,
584,29.179,47.480324480,-53.009462757,
585,29.230,47.480324476,-53.009462760,
586,29.280,47.480324472,-53.009462761,
587,29.329,47.480324470,-53.009462758,
588,29.379,47.480324468,-53.009462756,
589,29.429,47.480324466,-53.009462753,
590,29.479,47.480324466,-53.009462755,
591,29.530,47.480324469,-53.009462762,
592,29.579,47.480324471,-53.009462770,
593,29.629,47.480324474,-53.009462777,
594,29.679,47.480324475,-53.009462780,
595,29.729,47.480324474,-53.009462778,
596,29.780,47.480324473,-53.009462776,
597,29.829,47.480324472,-53.009462773,
598,29.879,47.480324471,-53.009462773,
599,29.929,47.480324467,-53.009462776,
600,29.980,47.480324463,-53.009462779,
601,30.030,47.480324460,-53.009462782,
602,30.080,47.480324458,-53.009462780,
603,30.130,47.480324459,-53.009462771,
604,30.180,47.480324460,-53.009462762,
605,30.230,47.480324461,-53.009462753,
606,30.280,47.480324463,-53.009462751,
607,30.330,47.480324467,-53.009462758,
608,30.380,47.480324472,-53.009462766,
609,30.430,47.480324476,-53.009462773,
610,30.480,47.480324479,-53.009462775,
611,30.530,47.480324479,-53.009462770,
612,30.579,47.480324479,-53.009462765,
613,30.629,47.480324479,-53.009462760,
614,30.679,47.480324479,-53.009462758,
615,30.729,47.480324480,-53.009462761,
616,30.779,47.480324481,-53.009462764,
617,30.830,47.480324482,-53.009462767,
618,30.880,47.480324481,-53.009462768,
619,30.935,47.480324479,-53.009462764,
620,30.979,47.480324477,-53.009462761,
621,31.029,47.480324475,-53.009462758,
622,31.080,47.480324473,-53.009462758,
623,31.129,47.480324472,-53.009462763,
624,31.179,47.480324471,-53.009462768,
625,31.229,47.480324470,-53.009462773,
626,31.279,47.480324469,-53.009462774,
627,31.332,47.480324469,-53.009462769,
628,31.380,47.480324468,-53.009462764,
629,31.430,47.480324468,-53.009462760,
630,31.479,47.480324467,-53.009462757,
631,31.529,47.480324463,-53.009462757,
632,31.579,47.480324460,-53.009462758,
633,31.629,47.480324457,-53.009462758,
634,31.681,47.480324454,-53.009462760,
635,31.729,47.480324451,-53.009462765,
636,31.780,47.480324449,-53.009462770,
637,31.829,47.480324446,-53.009462775,
638,31.879,47.480324446,-53.009462778,
639,31.931,47.480324450,-53.009462779,
640,31.979,47.480324453,-53.009462780,
641,32.029,47.480324456,-53.009462781,
642,32.079,47.480324459,-53.009462780,
643,32.129,47.480324460,-53.009462778,
644,32.179,47.480324462,-53.009462776,
645,32.229,47.480324463,-53.009462773,
646,32.279,47.480324462,-53.009462773,
647,32.330,47.480324458,-53.009462777,
648,32.379,47.480324454,-53.009462780,
649,32.429,47.480324449,-53.009462783,
650,32.479,47.480324448,-53.009462782,
651,32.529,47.480324452,-53.009462776,
652,32.580,47.480324455,-53.009462770,
653,32.629,47.480324458,-53.009462764,
654,32.679,47.480324459,-53.009462762,
655,32.729,47.480324458,-53.009462764,
656,32.780,47.480324457,-53.009462766,
657,32.830,47.480324456,-53.009462768,
658,32.879,47.480324456,-53.009462773,
659,32.929,47.480324459,-53.009462781,
660,32.979,47.480324461,-53.009462790,
661,33.029,47.480324464,-53.009462798,
662,33.079,47.480324464,-53.009462801,
663,33.130,47.480324463,-53.009462797,
664,33.179,47.480324461,-53.009462792,
665,33.229,47.480324460,-53.009462788,
666,33.280,47.480324458,-53.009462784,
667,33.329,47.480324455,-53.009462782,
668,33.379,47.480324452,-53.009462780,
669,33.429,47.480324449,-53.009462777,
670,33.481,47.480324447,-53.009462778,
671,33.530,47.480324448,-53.009462784,
672,33.580,47.480324449,-53.009462789,
673,33.629,47.480324450,-53.009462795,
674,33.679,47.480324452,-53.009462797,
675,33.729,47.480324453,-53.009462793,
676,33.779,47.480324455,-53.009462790,
677,33.829,47.480324456,-53.009462786,
678,33.879,47.480324457,-53.009462785,
679,33.931,47.480324456,-53.009462786,
680,33.979,47.480324456,-53.009462787,
681,34.029,47.480324455,-53.009462788,
682,34.079,47.480324455,-53.009462789,
683,34.129,47.480324456,-53.009462790,
684,34.179,47.480324456,-53.009462790,
685,34.229,47.480324457,-53.009462791,
686,34.279,47.480324457,-53.009462789,
687,34.329,47.480324456,-53.009462784,
688,34.379,47.480324456,-53.009462779,
689,34.429,47.480324455,-53.009462774,
690,34.480,47.480324453,-53.009462775,
691,34.529,47.480324447,-53.009462783,
692,34.581,47.480324441,-53.009462792,
693,34.629,47.480324435,-53.009462800,
694,34.679,47.480324433,-53.009462802,
695,34.729,47.480324437,-53.009462795,
696,34.782,47.480324440,-53.009462787,
697,34.830,47.480324443,-53.009462780,
698,34.879,47.480324447,-53.009462777,
699,34.930,47.480324450,-53.009462779,
700,34.981,47.480324454,-53.009462780,
