Frame,Time_Sec,Lat,Lng,Label
128,4.27,32.83514424,34.97593157,point_1
140,4.67,32.83505409,34.97663967,point_2
152,5.07,32.83485576,34.97736922,point_3
156,5.20,32.83472956,34.97773400,point_4
176,5.87,32.83435094,34.97874251,point_5
186,6.20,32.83413459,34.97951498,point_6
196,6.53,32.83384612,34.98018017,point_7
209,6.97,32.83357568,34.98090972,point_8
219,7.30,32.83321509,34.98185386,point_9
234,7.80,32.83298071,34.98273362,point_10
244,8.13,32.83272829,34.98337735,point_11
265,8.83,32.83225953,34.98460043,point_12
281,9.37,32.83189894,34.98584497,point_13
297,9.90,32.83146623,34.98663890,point_14
311,10.37,32.83092535,34.98747574,point_15
328,10.93,32.83078112,34.98927818,point_16
334,11.13,32.83067294,34.98960004,point_17
