Frame,Time_Sec,Lat,Lng,Label
1,0,32.1556,119.929,04_0001.JPG
2,4,32.1565,119.929,04_0002.JPG
3,8,32.1575,119.929,04_0003.JPG
4,13,32.1585,119.928,04_0004.JPG
5,17,32.1595,119.928,04_0005.JPG
6,22,32.1605,119.928,04_0006.JPG
7,26,32.1615,119.928,04_0007.JPG
8,31,32.1625,119.927,04_0008.JPG
9,36,32.1634,119.927,04_0009.JPG
10,41,32.1644,119.927,04_0010.JPG
11,46,32.1654,119.927,04_0011.JPG
12,51,32.1664,119.927,04_0012.JPG
13,56,32.1674,119.926,04_0013.JPG
14,60,32.1684,119.926,04_0014.JPG
15,65,32.1694,119.926,04_0015.JPG
16,70,32.1703,119.926,04_0016.JPG
17,74,32.1713,119.926,04_0017.JPG
18,79,32.1723,119.925,04_0018.JPG
19,84,32.1733,119.925,04_0019.JPG
20,89,32.1743,119.925,04_0020.JPG
21,94,32.1753,119.925,04_0021.JPG
22,99,32.1762,119.925,04_0022.JPG
23,104,32.1772,119.924,04_0023.JPG
24,108,32.1782,119.924,04_0024.JPG
25,113,32.1792,119.924,04_0025.JPG
26,117,32.1802,119.924,04_0026.JPG
27,122,32.1812,119.923,04_0027.JPG
28,127,32.1822,119.923,04_0028.JPG
29,131,32.1831,119.923,04_0029.JPG
30,136,32.1841,119.923,04_0030.JPG
31,141,32.1851,119.923,04_0031.JPG
32,145,32.1861,119.922,04_0032.JPG
33,150,32.1871,119.922,04_0033.JPG
34,155,32.1881,119.922,04_0034.JPG
35,159,32.189,119.922,04_0035.JPG
36,164,32.19,119.922,04_0036.JPG
37,168,32.191,119.921,04_0037.JPG
38,173,32.192,119.921,04_0038.JPG
39,178,32.193,119.921,04_0039.JPG
40,182,32.194,119.921,04_0040.JPG
41,186,32.195,119.921,04_0041.JPG
42,191,32.1959,119.92,04_0042.JPG
43,196,32.1969,119.92,04_0043.JPG
44,200,32.1979,119.92,04_0044.JPG
45,205,32.1989,119.92,04_0045.JPG
46,209,32.1999,119.919,04_0046.JPG
47,214,32.2009,119.919,04_0047.JPG
48,218,32.2019,119.919,04_0048.JPG
49,223,32.2028,119.919,04_0049.JPG
50,228,32.2038,119.919,04_0050.JPG
51,232,32.2048,119.918,04_0051.JPG
52,237,32.2058,119.918,04_0052.JPG
53,241,32.2068,119.918,04_0053.JPG
54,245,32.2078,119.918,04_0054.JPG
55,250,32.2087,119.918,04_0055.JPG
56,255,32.2097,119.917,04_0056.JPG
57,259,32.2107,119.917,04_0057.JPG
58,264,32.2117,119.917,04_0058.JPG
59,268,32.2127,119.917,04_0059.JPG
60,273,32.2137,119.917,04_0060.JPG
61,277,32.2147,119.916,04_0061.JPG
62,281,32.2156,119.916,04_0062.JPG
63,286,32.2166,119.916,04_0063.JPG
64,290,32.2176,119.916,04_0064.JPG
65,295,32.2186,119.915,04_0065.JPG
66,299,32.2196,119.915,04_0066.JPG
67,304,32.2206,119.915,04_0067.JPG
68,308,32.2216,119.915,04_0068.JPG
69,313,32.2225,119.915,04_0069.JPG
70,318,32.2235,119.914,04_0070.JPG
71,322,32.2245,119.914,04_0071.JPG
72,327,32.2255,119.914,04_0072.JPG
73,332,32.2265,119.914,04_0073.JPG
74,336,32.2275,119.914,04_0074.JPG
75,341,32.2284,119.913,04_0075.JPG
76,345,32.2294,119.913,04_0076.JPG
77,350,32.2304,119.913,04_0077.JPG
78,355,32.2314,119.913,04_0078.JPG
79,359,32.2324,119.913,04_0079.JPG
80,364,32.2334,119.912,04_0080.JPG
81,368,32.2344,119.912,04_0081.JPG
82,372,32.2353,119.912,04_0082.JPG
83,377,32.2363,119.912,04_0083.JPG
84,381,32.2373,119.912,04_0084.JPG
85,386,32.2383,119.911,04_0085.JPG
86,390,32.2393,119.911,04_0086.JPG
87,395,32.2403,119.911,04_0087.JPG
88,399,32.2412,119.911,04_0088.JPG
89,403,32.2422,119.91,04_0089.JPG
90,448,32.2427,119.913,04_0090.JPG
91,454,32.2418,119.914,04_0091.JPG
92,461,32.2408,119.914,04_0092.JPG
93,468,32.2398,119.914,04_0093.JPG
94,476,32.2388,119.914,04_0094.JPG
95,482,32.2378,119.914,04_0095.JPG
96,489,32.2368,119.915,04_0096.JPG
97,496,32.2358,119.915,04_0097.JPG
98,502,32.2349,119.915,04_0098.JPG
99,509,32.2339,119.915,04_0099.JPG
100,516,32.2329,119.915,04_0100.JPG
101,522,32.2319,119.916,04_0101.JPG
102,528,32.2309,119.916,04_0102.JPG
103,534,32.2299,119.916,04_0103.JPG
104,540,32.229,119.916,04_0104.JPG
105,546,32.228,119.917,04_0105.JPG
106,553,32.227,119.917,04_0106.JPG
107,560,32.226,119.917,04_0107.JPG
108,567,32.225,119.917,04_0108.JPG
109,574,32.224,119.917,04_0109.JPG
110,580,32.223,119.918,04_0110.JPG
111,587,32.2221,119.918,04_0111.JPG
112,594,32.2211,119.918,04_0112.JPG
113,599,32.2201,119.918,04_0113.JPG
114,605,32.2191,119.918,04_0114.JPG
115,611,32.2181,119.919,04_0115.JPG
116,617,32.2171,119.919,04_0116.JPG
117,623,32.2162,119.919,04_0117.JPG
118,629,32.2152,119.919,04_0118.JPG
119,634,32.2142,119.919,04_0119.JPG
120,640,32.2132,119.92,04_0120.JPG
121,646,32.2122,119.92,04_0121.JPG
122,652,32.2112,119.92,04_0122.JPG
123,658,32.2102,119.92,04_0123.JPG
124,664,32.2093,119.92,04_0124.JPG
125,670,32.2083,119.921,04_0125.JPG
126,676,32.2073,119.921,04_0126.JPG
127,681,32.2063,119.921,04_0127.JPG
128,688,32.2053,119.921,04_0128.JPG
129,693,32.2043,119.922,04_0129.JPG
130,700,32.2034,119.922,04_0130.JPG
131,706,32.2024,119.922,04_0131.JPG
132,713,32.2014,119.922,04_0132.JPG
133,719,32.2004,119.922,04_0133.JPG
134,726,32.1994,119.923,04_0134.JPG
135,733,32.1984,119.923,04_0135.JPG
136,739,32.1974,119.923,04_0136.JPG
137,746,32.1965,119.923,04_0137.JPG
138,753,32.1955,119.923,04_0138.JPG
139,759,32.1945,119.924,04_0139.JPG
140,765,32.1935,119.924,04_0140.JPG
141,772,32.1925,119.924,04_0141.JPG
142,779,32.1915,119.924,04_0142.JPG
143,786,32.1905,119.924,04_0143.JPG
144,793,32.1896,119.925,04_0144.JPG
145,800,32.1886,119.925,04_0145.JPG
146,807,32.1876,119.925,04_0146.JPG
147,813,32.1866,119.925,04_0147.JPG
148,820,32.1856,119.926,04_0148.JPG
149,826,32.1846,119.926,04_0149.JPG
150,833,32.1837,119.926,04_0150.JPG
151,840,32.1827,119.926,04_0151.JPG
152,846,32.1817,119.926,04_0152.JPG
153,853,32.1807,119.927,04_0153.JPG
154,860,32.1797,119.927,04_0154.JPG
155,866,32.1787,119.927,04_0155.JPG
156,873,32.1777,119.927,04_0156.JPG
157,880,32.1768,119.927,04_0157.JPG
158,886,32.1758,119.928,04_0158.JPG
159,893,32.1748,119.928,04_0159.JPG
160,899,32.1738,119.928,04_0160.JPG
161,905,32.1728,119.928,04_0161.JPG
162,911,32.1718,119.928,04_0162.JPG
163,917,32.1708,119.929,04_0163.JPG
164,924,32.1699,119.929,04_0164.JPG
165,930,32.1689,119.929,04_0165.JPG
166,936,32.1679,119.929,04_0166.JPG
167,943,32.1669,119.929,04_0167.JPG
168,949,32.1659,119.93,04_0168.JPG
169,956,32.1649,119.93,04_0169.JPG
