Frame,Time_Sec,Lat,Lng,Alt,Heading
1,0,29.761,115.975,405.76,163.877
2,3,29.7602,115.975,406.5,164.605
3,7,29.7595,115.975,405.69,167.315
4,10,29.7588,115.975,405.91,167.728
5,14,29.7581,115.975,406.47,164.662
6,17,29.7574,115.975,405.11,166.456
7,21,29.7567,115.975,406.11,173.847
8,24,29.756,115.975,406.07,171.503
9,28,29.7553,115.975,406.47,166.02
10,31,29.7545,115.975,405.84,175.044
11,34,29.7538,115.975,405.75,169.023
12,38,29.7531,115.975,405.5,164.525
13,41,29.7524,115.975,406.08,169.618
14,44,29.7517,115.975,406.14,170.134
15,48,29.751,115.975,405.37,167.819
16,51,29.7503,115.975,405.94,165.04
17,55,29.7496,115.975,406.26,169.017
18,58,29.7488,115.975,406.01,170.111
19,62,29.7481,115.975,405.9,171.223
20,65,29.7474,115.975,405.51,166.502
21,69,29.7467,115.975,406.07,169.458
22,72,29.746,115.975,406.26,170.799
23,75,29.7453,115.975,406.23,171.75
24,78,29.7446,115.975,406.63,169.372
25,82,29.7439,115.975,406.22,171.704
26,85,29.7431,115.975,406.33,171.819
27,89,29.7424,115.975,406.18,171.956
28,92,29.7417,115.975,406.12,168.948
29,96,29.741,115.975,405.36,169.005
30,99,29.7403,115.975,406.58,167.831
31,102,29.7396,115.975,409.04,170.529
32,106,29.7389,115.975,406.15,171.91
33,110,29.7382,115.975,404.48,172.386
34,113,29.7374,115.975,404.94,172.959
35,116,29.7367,115.975,405.78,173.658
36,119,29.736,115.975,406.54,173.452
37,123,29.7353,115.975,406.16,170.713
38,126,29.7346,115.975,405.7,174.363
39,129,29.7339,115.975,405.23,172.787
40,133,29.7332,115.975,406,170.226
41,136,29.7324,115.975,406.54,170.008
42,139,29.7317,115.975,406.62,171.395
43,143,29.731,115.975,406.32,172.73
44,146,29.7303,115.975,405.49,172.592
45,150,29.7296,115.975,405.41,171.756
46,153,29.7289,115.975,405.36,170.329
47,157,29.7282,115.975,405.48,170.317
48,160,29.7275,115.975,405.62,166.244
49,164,29.7267,115.975,406.28,166.868
50,167,29.726,115.975,406.14,172.827
51,170,29.7253,115.975,406.21,170.518
52,174,29.7246,115.975,405.36,166.181
53,177,29.7239,115.975,405.83,172.529
54,180,29.7232,115.975,405.95,170.627
55,184,29.7225,115.975,405.85,172.174
56,187,29.7218,115.975,405.74,170.965
57,190,29.721,115.975,406.04,169.515
58,193,29.7203,115.975,406.12,173.377
59,196,29.7196,115.975,405.59,171.905
60,200,29.7189,115.975,405.71,168.885
61,203,29.7182,115.975,405.52,167.665
62,206,29.7175,115.975,405.73,166.702
63,210,29.7168,115.975,405.95,170.048
64,213,29.7161,115.975,405.92,171.624
65,216,29.7153,115.975,406.37,168.885
66,220,29.7146,115.975,405.61,170.398
67,223,29.7139,115.975,406.06,169.389
68,226,29.7132,115.975,405.84,167.39
69,230,29.7125,115.975,406.26,168.066
70,233,29.7118,115.975,405.65,170.988
71,237,29.7111,115.975,405.71,164.021
72,240,29.7104,115.975,406.15,168.685
73,243,29.7096,115.975,406.09,170.93
74,247,29.7089,115.975,406.01,168.169
75,250,29.7082,115.975,405.58,166.272
76,253,29.7075,115.975,405.16,168.495
77,257,29.7068,115.975,405.25,172.787
78,260,29.7061,115.975,405.51,171.933
79,263,29.7054,115.975,406.02,168.427
80,311,29.7057,115.977,405.56,21.7266
81,316,29.7064,115.977,405.91,24.4538
82,321,29.7071,115.977,405.8,23.0329
83,326,29.7078,115.977,406.25,23.9726
84,332,29.7086,115.977,406.42,26.2816
85,337,29.7093,115.977,405.51,25.9263
86,342,29.71,115.977,405.91,27.8114
87,346,29.7107,115.977,406.29,24.5799
88,351,29.7114,115.977,404.93,26.5795
89,356,29.7121,115.977,406.11,22.4886
90,361,29.7128,115.977,406.23,30.2694
91,366,29.7135,115.977,405.85,25.468
92,371,29.7142,115.977,405.85,29.7308
93,376,29.715,115.977,405.85,25.4164
94,381,29.7157,115.977,406.11,29.0661
95,386,29.7164,115.977,405.51,27.6338
96,391,29.7171,115.977,405.48,28.751
97,396,29.7178,115.977,406.01,27.2384
98,402,29.7185,115.977,406.08,32.9909
99,407,29.7192,115.977,405.22,26.3904
100,412,29.72,115.977,406.69,28.3671
101,417,29.7207,115.977,405.35,29.3698
102,423,29.7214,115.977,405.1,29.4901
103,427,29.7221,115.977,406.23,31.7533
104,432,29.7228,115.977,406.1,22.4714
105,437,29.7235,115.977,406.31,30.4871
106,442,29.7242,115.977,404.66,28.115
107,447,29.7249,115.977,406.21,28.8255
108,452,29.7257,115.977,405.6,28.1437
109,457,29.7264,115.977,406.08,26.0753
110,463,29.7271,115.977,406.03,25.5596
111,468,29.7278,115.977,405.79,25.4622
112,473,29.7285,115.977,405.7,28.9
113,478,29.7292,115.977,405.29,29.4443
114,484,29.7299,115.977,405.71,21.5489
115,489,29.7306,115.977,405.89,29.8511
116,494,29.7314,115.977,406.12,27.2671
117,499,29.7321,115.977,405.28,29.725
118,504,29.7328,115.977,405.65,28.1953
119,509,29.7335,115.977,406.6,25.2904
120,513,29.7342,115.977,405.55,28.3901
121,518,29.7349,115.977,405.13,22.7292
122,523,29.7356,115.977,406.14,25.6341
123,529,29.7363,115.977,405.61,25.3419
124,534,29.7371,115.977,405.8,20.0191
