Frame,Time_Sec,Lat,Lng,Alt,Heading
1,0,38.8095,101.04,1970.83,95.9933
2,216,38.8093,101.038,2399.98,10.3705
3,558,38.8506,101.017,2573.55,89.6908
4,563,38.8506,101.019,2573.45,88.9918
5,568,38.8506,101.02,2573.64,88.2756
6,573,38.8506,101.022,2573.38,88.3558
7,578,38.8506,101.023,2573.69,88.1667
8,583,38.8506,101.025,2573.35,90.0804
9,588,38.8506,101.026,2573.75,90.6133
10,593,38.8506,101.028,2573.55,90.3325
11,598,38.8506,101.029,2572.95,89.8169
12,603,38.8506,101.031,2573.19,88.4819
13,608,38.8506,101.032,2573.79,89.1637
14,612,38.8506,101.034,2573.27,88.8715
15,617,38.8506,101.035,2573.25,89.9658
16,622,38.8506,101.037,2573.61,90.1664
17,627,38.8506,101.038,2573.32,90.6133
18,632,38.8506,101.04,2573.69,90.47
19,637,38.8506,101.041,2573.25,89.0033
20,642,38.8506,101.043,2573.4,90.1721
21,647,38.8506,101.044,2573.46,90.9399
22,652,38.8506,101.046,2573.49,90.4242
23,657,38.8506,101.047,2573.52,90.2466
24,662,38.8506,101.049,2573.8,92.2577
25,667,38.8506,101.05,2573.68,92.0228
26,672,38.8506,101.052,2573.34,92.2462
27,677,38.8506,101.053,2573.6,90.4242
28,682,38.8506,101.055,2573.48,90.0804
29,687,38.8506,101.056,2573.17,91.3352
30,692,38.8506,101.058,2573.91,90.8425
31,696,38.8506,101.059,2573.29,91.2836
32,701,38.8506,101.061,2573.44,91.0487
33,706,38.8506,101.062,2573.54,93.5124
34,711,38.8506,101.064,2573.87,92.08
35,716,38.8506,101.065,2573.37,92.5098
36,721,38.8506,101.067,2573.64,91.3237
37,726,38.8506,101.068,2573.25,91.7764
38,731,38.8506,101.07,2574.07,92.8077
39,736,38.8506,101.071,2573.23,93.1973
40,741,38.8506,101.073,2573.78,92.5671
41,746,38.8506,101.074,2573.63,93.9192
42,751,38.8506,101.076,2573.32,92.8077
43,756,38.8506,101.077,2573.74,94.3948
44,761,38.8506,101.079,2573.82,91.9196
45,766,38.8506,101.08,2573.68,92.5441
46,771,38.8506,101.082,2573.69,93.9307
47,776,38.8506,101.083,2573.03,92.5957
48,782,38.8506,101.085,2574.07,92.441
49,787,38.8506,101.086,2573.31,87.3703
50,792,38.8506,101.088,2573.08,93.8849
51,797,38.8506,101.089,2573.66,93.7072
52,858,38.847,101.089,2572.61,-85.7947
53,866,38.847,101.088,2574.01,-88.4131
54,872,38.847,101.086,2573.11,-88.6939
55,880,38.847,101.085,2573.59,-89.92
56,887,38.847,101.083,2573.51,-90.1091
57,894,38.847,101.082,2573.35,-89.5762
58,901,38.847,101.08,2572.7,-91.9425
59,907,38.847,101.079,2573.93,-90.0117
60,914,38.847,101.077,2573.77,-91.5701
61,922,38.847,101.076,2573.27,-90.6133
62,929,38.847,101.074,2573.67,-89.5533
63,936,38.847,101.073,2574,-87.7829
64,944,38.847,101.071,2573.52,-90.1435
65,951,38.847,101.07,2573.6,-89.5934
66,958,38.847,101.068,2573.01,-91.53
67,966,38.847,101.067,2573.3,-89.8283
68,973,38.847,101.065,2573.65,-88.8887
69,981,38.847,101.064,2573.43,-89.7825
70,988,38.847,101.062,2573.42,-89.645
71,996,38.847,101.061,2573.7,-89.4101
72,1003,38.847,101.059,2573.02,-90.7794
73,1011,38.847,101.058,2573.61,-90.3383
74,1018,38.847,101.056,2573.17,-87.2672
75,1025,38.847,101.055,2573.3,-88.2871
76,1033,38.847,101.053,2573.94,-88.5907
77,1040,38.847,101.052,2573.37,-87.6224
78,1047,38.847,101.05,2573.4,-86.7114
79,1055,38.847,101.049,2573.03,-88.6939
80,1062,38.847,101.047,2573.31,-88.2928
81,1070,38.847,101.046,2573.16,-88.4074
82,1077,38.847,101.044,2573.39,-86.6312
83,1085,38.847,101.043,2573.38,-85.3077
84,1092,38.847,101.041,2573.55,-90.2695
85,1099,38.847,101.04,2573.43,-88.3787
86,1107,38.847,101.038,2573.62,-88.3043
87,1114,38.847,101.037,2573.17,-88.3272
88,1121,38.847,101.035,2573.31,-87.9548
89,1129,38.847,101.034,2573.7,-85.1072
90,1136,38.847,101.032,2573.44,-87.886
91,1143,38.847,101.031,2573.68,-86.5052
92,1151,38.847,101.029,2573.51,-84.9868
93,1158,38.847,101.028,2573.94,-86.9807
94,1166,38.847,101.026,2573.71,-86.7401
95,1173,38.847,101.025,2573.19,-85.2733
96,1180,38.847,101.023,2573.93,-85.8921
97,1188,38.847,101.022,2573.57,-84.5113
98,1195,38.847,101.021,2573.61,-85.8921
99,1203,38.847,101.019,2573.15,-85.915
100,1210,38.847,101.018,2573.36,-86.9349
101,1270,38.8434,101.017,2573.43,82.1679
102,1275,38.8435,101.019,2573.26,86.0583
103,1279,38.8435,101.02,2573.38,84.391
104,1284,38.8435,101.022,2573.71,86.5968
105,1289,38.8435,101.023,2573.67,86.1729
106,1294,38.8435,101.025,2573.45,86.2932
107,1299,38.8435,101.026,2573.4,85.5884
108,1304,38.8435,101.028,2573.7,87.886
109,1309,38.8435,101.029,2573.35,88.5334
110,1314,38.8434,101.031,2573.64,89.1007
111,1318,38.8434,101.032,2573.18,88.3558
112,1323,38.8434,101.034,2573.77,88.1037
113,1328,38.8435,101.035,2573.24,87.7256
114,1333,38.8435,101.037,2573.6,88.7454
115,1338,38.8435,101.038,2573.34,90.069
116,1343,38.8435,101.04,2573.31,89.1064
117,1348,38.8435,101.041,2573.66,90.2409
