Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
1,3.00,29.73282406,115.98718854,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,3417.48,1,211,akaze
2,7.00,29.73641730,115.99339591,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,3418.01,1,238,akaze
3,10.00,29.72923081,115.99339591,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,4086.71,1,190,akaze
4,14.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
5,17.00,29.76695988,115.97891205,29.76099968,115.97499847,29.76099968,115.97499847,0.3933,793.74,1,435,akaze
6,21.00,29.76336664,115.99339591,29.76099968,115.97499847,29.76099968,115.97499847,0.3933,2064.88,1,418,akaze
7,24.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
8,28.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
9,31.00,29.74540041,115.98098117,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,1859.84,1,292,akaze
10,34.00,29.71485783,115.99132679,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,5448.64,1,93,akaze
11,38.00,29.75438353,115.98925767,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,1749.88,1,356,akaze
12,41.00,29.72024770,115.98925767,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,4806.20,1,128,akaze
13,44.00,29.74360379,115.97477380,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,1936.67,1,277,akaze
14,48.00,29.75079028,115.97477380,29.76099968,115.97499847,29.76099968,115.97499847,0.4633,1136.79,1,325,akaze
15,51.00,29.71665446,115.99339591,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,5344.48,1,106,akaze
16,55.00,29.76695988,115.97270468,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,710.93,1,432,akaze
17,58.00,29.74899366,115.97477380,29.76099968,115.97499847,29.76099968,115.97499847,0.5100,1336.74,1,313,akaze
18,62.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
19,65.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
20,69.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
21,72.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
22,75.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
23,78.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
24,82.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
25,85.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
26,89.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
27,92.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
28,96.00,29.74719704,115.99339591,29.76099968,115.97499847,29.76099968,115.97499847,0.3933,2560.31,1,310,akaze
29,99.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
30,102.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
31,106.00,29.76099968,115.97499847,29.76099968,115.97499847,29.76099968,115.97499847,0.3000,0.00,0,-1,akaze
