Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
30,1.00,32.82881139,34.99474918,32.82881165,34.99475098,32.82881165,34.99475098,0.5000,0.20,0,-1,flow_orb
33,1.10,32.82873461,34.99476457,32.82881165,34.99475098,32.82879639,34.99475479,1.0000,8.71,0,-1,flow_orb
36,1.20,32.82859907,34.99474627,32.82879639,34.99475479,32.82875824,34.99475479,1.0000,21.99,0,-1,flow_orb
39,1.30,32.82850420,34.99470852,32.82875824,34.99475479,32.82871246,34.99474716,1.0000,28.74,0,-1,flow_orb
42,1.40,32.82836718,34.99464609,32.82870865,34.99474716,32.82864761,34.99472809,1.0000,39.64,0,-1,flow_orb
45,1.50,32.82827930,34.99458666,32.82864380,34.99472809,32.82857895,34.99470139,1.0000,43.52,0,-1,flow_orb
48,1.60,32.82815948,34.99454042,32.82857132,34.99469757,32.82849503,34.99467087,1.0000,49.07,0,-1,flow_orb
51,1.70,32.82806079,34.99450417,32.82848358,34.99466705,32.82840347,34.99463654,1.0000,50.44,0,-1,flow_orb
54,1.80,32.82791990,34.99448662,32.82838440,34.99463272,32.82829666,34.99460602,1.0000,54.21,0,-1,flow_orb
57,1.90,32.82782567,34.99448834,32.82827377,34.99459839,32.82818985,34.99457550,1.0000,51.37,0,-1,flow_orb
60,2.00,32.82768385,34.99447759,32.82816315,34.99456787,32.82806778,34.99454880,1.0000,54.29,0,-1,flow_orb
63,2.10,32.82760419,34.99446997,32.82803345,34.99453735,32.82794952,34.99452209,1.0000,48.37,0,-1,flow_orb
66,2.20,32.82746780,34.99444105,32.82791138,34.99451065,32.82782364,34.99449539,1.0000,49.98,0,-1,flow_orb
69,2.30,32.82739401,34.99444527,32.82777786,34.99448395,32.82770157,34.99447632,1.0000,42.95,0,-1,flow_orb
72,2.40,32.82729028,34.99443396,32.82765198,34.99446487,32.82757950,34.99445724,1.0000,40.41,0,-1,flow_orb
75,2.50,32.82723046,34.99443521,32.82752228,34.99444580,32.82746506,34.99444199,1.0000,32.51,0,-1,flow_orb
78,2.60,32.82713562,34.99441322,32.82740402,34.99443054,32.82735062,34.99442673,1.0000,29.94,0,-1,flow_orb
81,2.70,32.82707489,34.99440570,32.82728577,34.99441528,32.82724380,34.99441147,1.0000,23.50,0,-1,flow_orb
84,2.80,32.82698263,34.99437729,32.82717896,34.99440002,32.82714081,34.99439621,1.0000,22.00,0,-1,flow_orb
87,2.90,32.82692305,34.99437556,32.82707214,34.99438095,32.82704163,34.99438095,1.0000,16.61,0,-1,flow_orb
90,3.00,32.82682410,34.99436854,32.82696915,34.99436569,32.82693863,34.99436569,1.0000,16.15,0,-1,flow_orb
93,3.10,32.82676872,34.99436568,32.82686615,34.99435043,32.82684708,34.99435425,1.0000,10.98,0,-1,flow_orb
96,3.20,32.82666449,34.99435163,32.82677460,34.99434280,32.82675171,34.99434280,1.0000,12.30,0,-1,flow_orb
99,3.30,32.82658153,34.99434340,32.82667542,34.99433136,32.82665634,34.99433517,1.0000,10.54,0,-1,flow_orb
102,3.40,32.82645869,34.99430188,32.82658005,34.99432373,32.82655334,34.99431992,1.0000,13.73,0,-1,flow_orb
105,3.50,32.82637723,34.99427315,32.82647324,34.99430847,32.82645416,34.99430084,1.0000,11.39,0,-1,flow_orb
108,3.60,32.82626381,34.99420663,32.82637405,34.99428558,32.82635117,34.99427032,1.0000,15.10,0,-1,flow_orb
111,3.70,32.82618359,34.99416474,32.82627106,34.99425507,32.82625198,34.99423599,1.0000,14.00,0,-1,flow_orb
114,3.80,32.82608089,34.99413931,32.82616806,34.99422073,32.82614899,34.99420547,1.0000,13.28,0,-1,flow_orb
117,3.90,32.82601029,34.99413887,32.82606506,34.99419022,32.82605362,34.99417877,1.0000,8.36,0,-1,flow_orb
120,4.00,32.82589677,34.99417431,32.82596970,34.99415970,32.82595444,34.99416351,1.0000,8.28,0,-1,flow_orb
123,4.10,32.82582506,34.99418415,32.82587051,34.99414444,32.82586288,34.99415207,1.0000,6.72,0,-1,flow_orb
126,4.20,32.82571130,34.99422180,32.82577515,34.99413681,32.82576370,34.99415207,1.0000,11.83,0,-1,flow_orb
129,4.30,32.82562530,34.99424726,32.82567596,34.99413681,32.82566452,34.99415970,1.0000,13.53,0,-1,flow_orb
132,4.40,32.82548471,34.99421062,32.82557678,34.99414444,32.82555771,34.99415588,1.0000,12.62,0,-1,flow_orb
135,4.50,32.82539552,34.99419421,32.82546997,34.99414062,32.82545471,34.99415207,1.0000,10.21,0,-1,flow_orb
138,4.60,32.82524747,34.99397333,32.82536316,34.99414062,32.82534027,34.99410629,1.0000,22.64,0,-1,flow_orb
