Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
0,0.00,32.83692013,34.97574918,32.83692169,34.97574997,32.83692169,34.97574997,0.5000,0.19,0,-1,flow_orb
3,0.10,32.83706470,34.97565428,32.83692169,34.97574997,32.83694839,34.97573090,1.0000,19.16,0,-1,flow_orb
6,0.20,32.83712607,34.97579099,32.83694839,34.97573090,32.83696365,34.97573853,0.4000,20.88,0,-1,flow_orb
9,0.30,32.83708495,34.97581900,32.83696365,34.97573853,32.83698654,34.97575378,1.0000,16.20,0,-1,flow_orb
12,0.40,32.83694072,34.97575364,32.83698654,34.97575378,32.83697891,34.97575378,0.9533,5.10,0,-1,flow_orb
15,0.50,32.83685747,34.97568644,32.83697891,34.97575378,32.83695602,34.97574234,0.9467,15.46,0,-1,flow_orb
18,0.60,32.83684191,34.97541023,32.83695602,34.97574234,32.83693695,34.97568512,0.9133,39.09,0,-1,flow_orb
21,0.70,32.83690751,34.97535316,32.83693695,34.97568130,32.83693314,34.97562408,0.9133,36.68,0,-1,flow_orb
24,0.80,32.83684130,34.97521878,32.83693314,34.97561646,32.83691788,34.97554398,0.8933,45.43,0,-1,flow_orb
27,0.90,32.83678991,34.97522598,32.83691406,34.97553253,32.83689117,34.97547531,0.8933,36.82,0,-1,flow_orb
30,1.00,32.83668676,34.97512994,32.83688736,34.97546005,32.83684921,34.97539902,0.8733,43.00,0,-1,flow_orb
33,1.10,32.83658403,34.97502016,32.83684158,34.97537994,32.83679199,34.97531509,0.8667,49.26,0,-1,flow_orb
36,1.20,32.83644910,34.97491958,32.83678436,34.97529221,32.83672333,34.97522354,0.8467,55.80,0,-1,flow_orb
39,1.30,32.83636166,34.97483904,32.83671188,34.97519684,32.83664703,34.97513199,0.8267,55.74,0,-1,flow_orb
42,1.40,32.83625732,34.97471107,32.83662796,34.97510147,32.83655930,34.97502899,0.8133,59.93,0,-1,flow_orb
