Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
120,4.00,32.82787692,34.98721588,32.82787704,34.98721695,32.82787704,34.98721695,0.5000,0.12,0,-1,flow_orb
123,4.10,32.82782495,34.98730036,32.82787704,34.98721695,32.82786560,34.98723221,1.0000,10.95,0,-1,flow_orb
126,4.20,32.82778026,34.98737150,32.82786560,34.98723221,32.82785034,34.98725891,1.0000,18.18,0,-1,flow_orb
129,4.30,32.82773328,34.98744879,32.82785034,34.98725891,32.82782745,34.98729324,1.0000,24.83,0,-1,flow_orb
132,4.40,32.82768107,34.98751889,32.82782745,34.98729706,32.82780075,34.98733521,1.0000,29.59,0,-1,flow_orb
135,4.50,32.82763688,34.98757703,32.82779694,34.98733902,32.82776642,34.98738098,1.0000,31.93,0,-1,flow_orb
138,4.60,32.82758799,34.98763111,32.82776260,34.98738861,32.82773209,34.98743439,1.0000,33.27,0,-1,flow_orb
141,4.70,32.82754476,34.98768157,32.82772827,34.98744202,32.82769394,34.98748779,1.0000,33.59,0,-1,flow_orb
144,4.80,32.82749460,34.98773103,32.82768631,34.98749924,32.82765198,34.98754501,1.0000,33.49,0,-1,flow_orb
147,4.90,32.82744045,34.98778924,32.82764053,34.98756027,32.82760239,34.98760605,1.0000,33.85,0,-1,flow_orb
150,5.00,32.82738818,34.98784912,32.82759094,34.98762131,32.82755280,34.98766708,1.0000,33.95,0,-1,flow_orb
153,5.10,32.82732612,34.98789344,32.82753754,34.98768616,32.82749557,34.98772812,0.9867,32.96,0,-1,flow_orb
156,5.20,32.82726669,34.98794123,32.82747650,34.98775101,32.82743835,34.98778915,0.9400,31.53,0,-1,flow_orb
159,5.30,32.82721026,34.98798339,32.82741928,34.98781204,32.82738113,34.98784256,0.9067,30.09,0,-1,flow_orb
162,5.40,32.82715029,34.98802339,32.82735825,34.98786926,32.82732010,34.98789978,0.8933,28.81,0,-1,flow_orb
165,5.50,32.82709965,34.98807997,32.82729340,34.98792648,32.82725906,34.98795319,0.8067,27.52,0,-1,flow_orb
168,5.60,32.82703170,34.98813306,32.82723236,34.98798370,32.82719803,34.98801041,0.7467,27.85,0,-1,flow_orb
171,5.70,32.82697265,34.98818187,32.82716751,34.98804092,32.82713699,34.98806381,0.6800,26.77,0,-1,flow_orb
174,5.80,32.82690895,34.98823518,32.82710648,34.98809814,32.82707596,34.98812103,0.6200,26.76,0,-1,flow_orb
