Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
30,1.00,32.82723369,34.99469553,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.25,0,-1,hybrid
33,1.10,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
36,1.20,32.82427767,34.99810982,32.82723236,34.99469376,32.82723236,34.99469376,0.5800,502.79,1,99,hybrid
39,1.30,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
42,1.40,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
45,1.50,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
48,1.60,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
51,1.70,32.82472682,34.99757530,32.82723236,34.99469376,32.82723236,34.99469376,0.5333,425.08,1,120,hybrid
54,1.80,32.82742175,34.99329917,32.82723236,34.99469376,32.82723236,34.99469376,0.5100,156.67,1,244,hybrid
57,1.90,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
60,2.00,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
63,2.10,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
66,2.20,32.82472682,34.99757530,32.82723236,34.99469376,32.82723236,34.99469376,0.5333,425.08,1,120,hybrid
69,2.30,32.82562513,34.99383368,32.82723236,34.99469376,32.82723236,34.99469376,0.4960,202.92,1,157,hybrid
72,2.40,32.82472682,34.99757530,32.82723236,34.99469376,32.82723236,34.99469376,0.5333,425.08,1,120,hybrid
75,2.50,32.82293020,35.00024789,32.82723236,34.99469376,32.82723236,34.99469376,0.4600,782.07,1,37,hybrid
78,2.60,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
81,2.70,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
84,2.80,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
87,2.90,32.82742175,34.99383368,32.82723236,34.99469376,32.82723236,34.99469376,0.5333,98.04,1,245,hybrid
90,3.00,32.82607429,34.99383368,32.82723236,34.99469376,32.82723236,34.99469376,0.4600,160.58,1,179,hybrid
93,3.10,32.82723236,34.99469376,32.82723236,34.99469376,32.82723236,34.99469376,0.1000,0.00,0,-1,hybrid
96,3.20,32.82742175,34.99383368,32.82723236,34.99469376,32.82723236,34.99469376,0.5567,98.04,1,245,hybrid
99,3.30,32.82427767,34.99864434,32.82723236,34.99469376,32.82563019,34.99683380,0.7200,549.17,0,100,hybrid
102,3.40,32.82742175,34.99383368,32.82555008,34.99694061,32.82555008,34.99694061,0.5100,403.77,1,245,hybrid
105,3.50,32.82562513,34.99383368,32.82546997,34.99704742,32.82546997,34.99704742,0.4600,358.17,1,157,hybrid
108,3.60,32.82562513,34.99383368,32.82538986,34.99715424,32.82538986,34.99715424,0.4600,370.57,1,157,hybrid
111,3.70,32.82562513,34.99383368,32.82530975,34.99726105,32.82530975,34.99726105,0.4960,383.15,1,157,hybrid
114,3.80,32.82248104,34.99971337,32.82522964,34.99736786,32.82522964,34.99736786,0.4960,402.24,1,14,hybrid
117,3.90,32.82248104,34.99971337,32.82514954,34.99747467,32.82514954,34.99747467,0.4960,387.75,1,14,hybrid
120,4.00,32.82562513,34.99383368,32.82506943,34.99758148,32.82506943,34.99758148,0.5680,421.77,1,157,hybrid
123,4.10,32.82562513,34.99383368,32.82498932,34.99768829,32.82498932,34.99768829,0.6760,434.89,1,157,hybrid
126,4.20,32.82498932,34.99768829,32.82490921,34.99779510,32.82493591,34.99776077,0.1000,14.86,0,-1,hybrid
129,4.30,32.82472682,34.99757530,32.82485580,34.99786758,32.82478333,34.99770737,0.5567,35.56,0,120,hybrid
132,4.40,32.82472682,34.99757530,32.82469940,34.99780655,32.82471085,34.99771881,0.5100,25.92,0,120,hybrid
