Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
0,0.00,32.83720625,34.97981414,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.24,0,-1,hybrid
3,0.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
6,0.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
9,0.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
12,0.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
15,0.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
18,0.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
21,0.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
24,0.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
27,0.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
30,1.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
33,1.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
36,1.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
39,1.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
42,1.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
45,1.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
48,1.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
51,1.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
54,1.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
57,1.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
60,2.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
63,2.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
66,2.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
69,2.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
72,2.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
75,2.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
78,2.60,32.83891331,34.97697250,32.83720779,34.97981262,32.83720779,34.97981262,0.6760,368.79,1,154,hybrid
81,2.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
84,2.80,32.83891331,34.97697250,32.83720779,34.97981262,32.83720779,34.97981262,0.4960,368.79,1,154,hybrid
87,2.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
90,3.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
93,3.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
96,3.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
99,3.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
102,3.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
105,3.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
108,3.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
111,3.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
114,3.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
117,3.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
120,4.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
123,4.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
126,4.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
129,4.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
132,4.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
135,4.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
138,4.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
141,4.70,32.84026078,34.98124897,32.83720779,34.97981262,32.83720779,34.97981262,0.5333,375.59,1,197,hybrid
144,4.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
147,4.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
150,5.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
153,5.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
156,5.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
159,5.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
162,5.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
165,5.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
168,5.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
171,5.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
174,5.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
177,5.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
180,6.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
183,6.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
186,6.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
189,6.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
192,6.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
195,6.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
198,6.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
201,6.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
204,6.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
207,6.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
210,7.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
213,7.10,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
216,7.20,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
219,7.30,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
222,7.40,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
225,7.50,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
228,7.60,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
231,7.70,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
234,7.80,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
237,7.90,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
240,8.00,32.83720779,34.97981262,32.83720779,34.97981262,32.83720779,34.97981262,0.1000,0.00,0,-1,hybrid
243,8.10,32.83891331,34.97750706,32.83720779,34.97981262,32.83720779,34.97981262,0.5320,319.25,1,155,hybrid
