Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
0,0.00,32.82774757,34.99480282,32.82774734,34.99480438,32.82774734,34.99480438,0.5000,0.18,0,-1,optical_flow
3,0.10,32.82773129,34.99480510,32.82774734,34.99480438,32.82774353,34.99480438,1.0000,1.79,0,-1,optical_flow
6,0.20,32.82770790,34.99481037,32.82774353,34.99480438,32.82773590,34.99480438,1.0000,4.02,0,-1,optical_flow
9,0.30,32.82769244,34.99481300,32.82773590,34.99480438,32.82772827,34.99480438,1.0000,4.93,0,-1,optical_flow
12,0.40,32.82766757,34.99480859,32.82772827,34.99480438,32.82771683,34.99480438,1.0000,6.77,0,-1,optical_flow
15,0.50,32.82765100,34.99480367,32.82771683,34.99480438,32.82770538,34.99480438,1.0000,7.33,0,-1,optical_flow
18,0.60,32.82762635,34.99477392,32.82770538,34.99480438,32.82769012,34.99480057,1.0000,9.43,0,-1,optical_flow
21,0.70,32.82761154,34.99473798,32.82768631,34.99480057,32.82767105,34.99478912,1.0000,10.85,0,-1,optical_flow
24,0.80,32.82759031,34.99473745,32.82766724,34.99478912,32.82765198,34.99477768,1.0000,10.32,0,-1,optical_flow
27,0.90,32.82757471,34.99473920,32.82764816,34.99477768,32.82763290,34.99477005,1.0000,9.23,0,-1,optical_flow
30,1.00,32.82755268,34.99475112,32.82762909,34.99476624,32.82761383,34.99476242,1.0000,8.67,0,-1,optical_flow
33,1.10,32.82753400,34.99475619,32.82760620,34.99475861,32.82759094,34.99475861,1.0000,8.04,0,-1,optical_flow
36,1.20,32.82750137,34.99475306,32.82758331,34.99475479,32.82756805,34.99475479,1.0000,9.12,0,-1,optical_flow
39,1.30,32.82747855,34.99474493,32.82756042,34.99475098,32.82754517,34.99475098,1.0000,9.14,0,-1,optical_flow
42,1.40,32.82744573,34.99473143,32.82753754,34.99474716,32.82751846,34.99474335,1.0000,10.37,0,-1,optical_flow
45,1.50,32.82742468,34.99471819,32.82750702,34.99473953,32.82749176,34.99473572,1.0000,9.47,0,-1,optical_flow
48,1.60,32.82739578,34.99470780,32.82748032,34.99473190,32.82746506,34.99472809,1.0000,9.79,0,-1,optical_flow
51,1.70,32.82737179,34.99469995,32.82745361,34.99472427,32.82743835,34.99472046,1.0000,9.50,0,-1,optical_flow
54,1.80,32.82733805,34.99469664,32.82742310,34.99471664,32.82740784,34.99471283,1.0000,9.73,0,-1,optical_flow
57,1.90,32.82731519,34.99469781,32.82739258,34.99470901,32.82737732,34.99470520,1.0000,8.71,0,-1,optical_flow
60,2.00,32.82728107,34.99469659,32.82736206,34.99470139,32.82734680,34.99470139,1.0000,9.03,0,-1,optical_flow
63,2.10,32.82726160,34.99469557,32.82733154,34.99469757,32.82731628,34.99469757,1.0000,7.79,0,-1,optical_flow
66,2.20,32.82722954,34.99468983,32.82729721,34.99469376,32.82728195,34.99469376,1.0000,7.55,0,-1,optical_flow
69,2.30,32.82721163,34.99469141,32.82726288,34.99468994,32.82725143,34.99468994,1.0000,5.71,0,-1,optical_flow
72,2.40,32.82718627,34.99468980,32.82723236,34.99468613,32.82722473,34.99468613,1.0000,5.15,0,-1,optical_flow
75,2.50,32.82717210,34.99469146,32.82720566,34.99468231,32.82719803,34.99468231,1.0000,3.87,0,-1,optical_flow
78,2.60,32.82714925,34.99468681,32.82717896,34.99467850,32.82717133,34.99467850,1.0000,3.43,0,-1,optical_flow
81,2.70,32.82713458,34.99468589,32.82715225,34.99467468,32.82714844,34.99467850,1.0000,2.33,0,-1,optical_flow
84,2.80,32.82711227,34.99467979,32.82712555,34.99467468,32.82712173,34.99467468,1.0000,1.58,0,-1,optical_flow
87,2.90,32.82709777,34.99468036,32.82709885,34.99467087,32.82709885,34.99467087,1.0000,1.06,0,-1,optical_flow
90,3.00,32.82707405,34.99467953,32.82707596,34.99466705,32.82707596,34.99467087,1.0000,1.41,0,-1,optical_flow
93,3.10,32.82706091,34.99467978,32.82705307,34.99466705,32.82705307,34.99467087,1.0000,1.66,0,-1,optical_flow
96,3.20,32.82703601,34.99467724,32.82703018,34.99466705,32.82703018,34.99467087,1.0000,1.31,0,-1,optical_flow
99,3.30,32.82701592,34.99467618,32.82700729,34.99466705,32.82700729,34.99466705,1.0000,1.40,0,-1,optical_flow
102,3.40,32.82698628,34.99466745,32.82698441,34.99466324,32.82698441,34.99466324,1.0000,0.51,0,-1,optical_flow
105,3.50,32.82696662,34.99466071,32.82696152,34.99465942,32.82696152,34.99465942,1.0000,0.59,0,-1,optical_flow
108,3.60,32.82693913,34.99464608,32.82694244,34.99465561,32.82694244,34.99465561,1.0000,1.12,0,-1,optical_flow
111,3.70,32.82691984,34.99463722,32.82691956,34.99465179,32.82691956,34.99464798,1.0000,1.62,0,-1,optical_flow
114,3.80,32.82689520,34.99463186,32.82689667,34.99464417,32.82689667,34.99464035,1.0000,1.38,0,-1,optical_flow
117,3.90,32.82687797,34.99463318,32.82687378,34.99463654,32.82687378,34.99463654,1.0000,0.60,0,-1,optical_flow
120,4.00,32.82685089,34.99464287,32.82685471,34.99463272,32.82685471,34.99463654,1.0000,1.21,0,-1,optical_flow
123,4.10,32.82683386,34.99464607,32.82683182,34.99463272,32.82683182,34.99463654,1.0000,1.50,0,-1,optical_flow
126,4.20,32.82680637,34.99465634,32.82681274,34.99463272,32.82681274,34.99463654,1.0000,2.72,0,-1,optical_flow
129,4.30,32.82678606,34.99466301,32.82678986,34.99463272,32.82678986,34.99464035,1.0000,3.40,0,-1,optical_flow
132,4.40,32.82675202,34.99465494,32.82676697,34.99463654,32.82676315,34.99464035,1.0000,2.64,0,-1,optical_flow
135,4.50,32.82673052,34.99465189,32.82674026,34.99463654,32.82673645,34.99464035,1.0000,2.02,0,-1,optical_flow
138,4.60,32.82669452,34.99459928,32.82671356,34.99464035,32.82670975,34.99463272,0.9533,5.04,0,-1,optical_flow
