Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
30,1.00,32.82730896,34.99234826,32.82730865,34.99234772,32.82730865,34.99234772,0.5000,0.07,0,-1,optical_flow
33,1.10,32.82727810,34.99241650,32.82730865,34.99234772,32.82730103,34.99236298,1.0000,8.38,0,-1,optical_flow
36,1.20,32.82721877,34.99250801,32.82730103,34.99236298,32.82728577,34.99238968,1.0000,18.56,0,-1,optical_flow
39,1.30,32.82718339,34.99254167,32.82728577,34.99238968,32.82726669,34.99241638,1.0000,20.40,0,-1,optical_flow
42,1.40,32.82711004,34.99261342,32.82726669,34.99242020,32.82723999,34.99245453,1.0000,27.69,0,-1,optical_flow
45,1.50,32.82707261,34.99265678,32.82723618,34.99245834,32.82720566,34.99249268,1.0000,28.63,0,-1,optical_flow
48,1.60,32.82700503,34.99274268,32.82720184,34.99249649,32.82716751,34.99254227,1.0000,35.09,0,-1,optical_flow
51,1.70,32.82697135,34.99279549,32.82715988,34.99254990,32.82712555,34.99259567,1.0000,34.47,0,-1,optical_flow
54,1.80,32.82690924,34.99288576,32.82711792,34.99260712,32.82707977,34.99266052,1.0000,38.75,0,-1,optical_flow
57,1.90,32.82687747,34.99293172,32.82706833,34.99267578,32.82703018,34.99272537,1.0000,35.54,0,-1,optical_flow
60,2.00,32.82681443,34.99299465,32.82701874,34.99274063,32.82697678,34.99279022,1.0000,36.29,0,-1,optical_flow
63,2.10,32.82677952,34.99303119,32.82696152,34.99280930,32.82692719,34.99285126,1.0000,31.95,0,-1,optical_flow
66,2.20,32.82670731,34.99311142,32.82690811,34.99287415,32.82686615,34.99291992,1.0000,34.60,0,-1,optical_flow
69,2.30,32.82667163,34.99313907,32.82684708,34.99294662,32.82681274,34.99298477,1.0000,28.99,0,-1,optical_flow
72,2.40,32.82659657,34.99320322,32.82678986,34.99301147,32.82675171,34.99304962,1.0000,30.31,0,-1,optical_flow
75,2.50,32.82656269,34.99323524,32.82672501,34.99308014,32.82669067,34.99311066,1.0000,24.99,0,-1,optical_flow
78,2.60,32.82649066,34.99331192,32.82666397,34.99314499,32.82662964,34.99317932,1.0000,26.79,0,-1,optical_flow
81,2.70,32.82646263,34.99335097,32.82659912,34.99321365,32.82657242,34.99324036,1.0000,21.55,0,-1,optical_flow
84,2.80,32.82640008,34.99342721,32.82654190,34.99327850,32.82651138,34.99330902,1.0000,22.88,0,-1,optical_flow
87,2.90,32.82636895,34.99346540,32.82647705,34.99334717,32.82645416,34.99337006,0.9933,17.83,0,-1,optical_flow
90,3.00,32.82630315,34.99355245,32.82641983,34.99341202,32.82639694,34.99343872,0.9400,20.32,0,-1,optical_flow
93,3.10,32.82627237,34.99358518,32.82635880,34.99348068,32.82633972,34.99349976,0.9333,15.10,0,-1,optical_flow
96,3.20,32.82621679,34.99365527,32.82630157,34.99354553,32.82628632,34.99356842,0.8867,15.44,0,-1,optical_flow
99,3.30,32.82618980,34.99369341,32.82624817,34.99361420,32.82623672,34.99362946,0.8467,10.95,0,-1,optical_flow
102,3.40,32.82614485,34.99374530,32.82619858,34.99367523,32.82618713,34.99368668,0.8067,9.83,0,-1,optical_flow
105,3.50,32.82610073,34.99382030,32.82614517,34.99373245,32.82613754,34.99374771,0.7467,10.96,0,-1,optical_flow
108,3.60,32.82606366,34.99388128,32.82609558,34.99379730,32.82609177,34.99381256,0.6867,10.00,0,-1,optical_flow
111,3.70,32.82602032,34.99394339,32.82604980,34.99386215,32.82604599,34.99387360,0.6200,9.62,0,-1,optical_flow
114,3.80,32.82598611,34.99398758,32.82600403,34.99392319,32.82600021,34.99393463,0.5667,7.44,0,-1,optical_flow
117,3.90,32.82595812,34.99403701,32.82595825,34.99398422,32.82595825,34.99399185,0.4867,5.88,0,-1,optical_flow
120,4.00,32.82591587,34.99409991,32.82591629,34.99404144,32.82591629,34.99404907,0.4133,6.51,0,-1,optical_flow
123,4.10,32.82587988,34.99416165,32.82587433,34.99410248,32.82587433,34.99411011,0.4000,6.62,0,-1,optical_flow
126,4.20,32.82585326,34.99421166,32.82583237,34.99416351,32.82583618,34.99417114,0.4000,5.84,0,-1,optical_flow
129,4.30,32.82581938,34.99427233,32.82579422,34.99422455,32.82579803,34.99423218,0.4000,6.01,0,-1,optical_flow
132,4.40,32.82578056,34.99433402,32.82575607,34.99428558,32.82575989,34.99429321,0.4000,6.04,0,-1,optical_flow
135,4.50,32.82574200,34.99439101,32.82571793,34.99434662,32.82572174,34.99435425,0.4000,5.62,0,-1,optical_flow
138,4.60,32.82569173,34.99444859,32.82567978,34.99440765,32.82568359,34.99441910,1.0000,4.75,0,-1,optical_flow
141,4.70,32.82564507,34.99450371,32.82564163,34.99447250,32.82564163,34.99448013,1.0000,3.50,0,-1,optical_flow
144,4.80,32.82559775,34.99455102,32.82559967,34.99453354,32.82559967,34.99453735,1.0000,1.96,0,-1,optical_flow
147,4.90,32.82554433,34.99460800,32.82555771,34.99459457,32.82555389,34.99459839,1.0000,2.11,0,-1,optical_flow
150,5.00,32.82549622,34.99465533,32.82551193,34.99465561,32.82550812,34.99465561,1.0000,1.75,0,-1,optical_flow
153,5.10,32.82543492,34.99469778,32.82546616,34.99471283,32.82545853,34.99470901,1.0000,3.86,0,-1,optical_flow
156,5.20,32.82537528,34.99474361,32.82541656,34.99476624,32.82540894,34.99476242,1.0000,5.24,0,-1,optical_flow
159,5.30,32.82531928,34.99477663,32.82536697,34.99481583,32.82535553,34.99480820,1.0000,6.87,0,-1,optical_flow
162,5.40,32.82526255,34.99481242,32.82531357,34.99486160,32.82530212,34.99485016,1.0000,7.89,0,-1,optical_flow
165,5.50,32.82521198,34.99486904,32.82526016,34.99490356,32.82525253,34.99489594,0.9000,6.60,0,-1,optical_flow
168,5.60,32.82514494,34.99492220,32.82521057,34.99494934,32.82519913,34.99494553,0.8600,7.91,0,-1,optical_flow
171,5.70,32.82508606,34.99497049,32.82515335,34.99499893,32.82514191,34.99499512,0.8133,8.13,0,-1,optical_flow
174,5.80,32.82502335,34.99501662,32.82509613,34.99504852,32.82508469,34.99504471,0.7467,8.85,0,-1,optical_flow
177,5.90,32.82496090,34.99506226,32.82503891,34.99509811,32.82502747,34.99509048,0.6933,9.56,0,-1,optical_flow
180,6.00,32.82490504,34.99509852,32.82498169,34.99514389,32.82497025,34.99513626,0.6533,9.92,0,-1,optical_flow
183,6.10,32.82485279,34.99514249,32.82492065,34.99518967,32.82490921,34.99518204,0.5800,9.20,0,-1,optical_flow
186,6.20,32.82479909,34.99519262,32.82485962,34.99523163,32.82485199,34.99522781,0.5267,8.02,0,-1,optical_flow
189,6.30,32.82474772,34.99525490,32.82480240,34.99527740,32.82479477,34.99527359,0.4600,6.58,0,-1,optical_flow
192,6.40,32.82469763,34.99530974,32.82474518,34.99532318,32.82473755,34.99531937,0.4133,5.50,0,-1,optical_flow
195,6.50,32.82464970,34.99535449,32.82468796,34.99536896,32.82468414,34.99536514,0.4000,4.55,0,-1,optical_flow
198,6.60,32.82460539,34.99537367,32.82463455,34.99541473,32.82463074,34.99540710,0.4000,5.61,0,-1,optical_flow
201,6.70,32.82456514,34.99536803,32.82458115,34.99545670,32.82457733,34.99544525,0.4000,10.03,0,-1,optical_flow
204,6.80,32.82452028,34.99534438,32.82452774,34.99549484,32.82452774,34.99547195,0.4000,16.77,0,-1,optical_flow
207,6.90,32.82448824,34.99533076,32.82447815,34.99552155,32.82448196,34.99546814,1.0000,21.27,0,-1,optical_flow
210,7.00,32.82444607,34.99530320,32.82443237,34.99551392,32.82443619,34.99546051,1.0000,23.51,0,-1,optical_flow
213,7.10,32.82440081,34.99529786,32.82438660,34.99550247,32.82439041,34.99545288,1.0000,22.83,0,-1,optical_flow
216,7.20,32.82434554,34.99533160,32.82434082,34.99549103,32.82434082,34.99545670,1.0000,17.76,0,-1,optical_flow
219,7.30,32.82428881,34.99538016,32.82429123,34.99549484,32.82429123,34.99546814,1.0000,12.77,0,-1,optical_flow
222,7.40,32.82423429,34.99542952,32.82424164,34.99550247,32.82424164,34.99548721,1.0000,8.16,0,-1,optical_flow
225,7.50,32.82418608,34.99547892,32.82419205,34.99552155,32.82419205,34.99551392,1.0000,4.79,0,-1,optical_flow
228,7.60,32.82414215,34.99551769,32.82414246,34.99554825,32.82414246,34.99554062,1.0000,3.40,0,-1,optical_flow
231,7.70,32.82409663,34.99555411,32.82409286,34.99557495,32.82409286,34.99557114,1.0000,2.36,0,-1,optical_flow
234,7.80,32.82405062,34.99559553,32.82404327,34.99560547,32.82404327,34.99560165,1.0000,1.38,0,-1,optical_flow
237,7.90,32.82400249,34.99564194,32.82399368,34.99563599,32.82399368,34.99563599,1.0000,1.18,0,-1,optical_flow
240,8.00,32.82395450,34.99571078,32.82394409,34.99567032,32.82394791,34.99567795,1.0000,4.65,0,-1,optical_flow
243,8.10,32.82391214,34.99579522,32.82389832,34.99571228,32.82390213,34.99572754,1.0000,9.36,0,-1,optical_flow
246,8.20,32.82388996,34.99587451,32.82385254,34.99576187,32.82386017,34.99578476,1.0000,13.21,0,-1,optical_flow
249,8.30,32.82385080,34.99594956,32.82381058,34.99581909,32.82381821,34.99584579,1.0000,15.20,0,-1,optical_flow
252,8.40,32.82380987,34.99598970,32.82376862,34.99588394,32.82377625,34.99590683,1.0000,12.64,0,-1,optical_flow
255,8.50,32.82376846,34.99597796,32.82372665,34.99594498,32.82373428,34.99595261,1.0000,5.93,0,-1,optical_flow
258,8.60,32.82373549,34.99597889,32.82368851,34.99599075,32.82369614,34.99598694,1.0000,5.39,0,-1,optical_flow
261,8.70,32.82371388,34.99598937,32.82365036,34.99602509,32.82366180,34.99601746,1.0000,8.11,0,-1,optical_flow
264,8.80,32.82370391,34.99604319,32.82361603,34.99605560,32.82363510,34.99605179,1.0000,9.88,0,-1,optical_flow
267,8.90,32.82369390,34.99612981,32.82358932,34.99608994,32.82360840,34.99609756,1.0000,12.46,0,-1,optical_flow
270,9.00,32.82368973,34.99620341,32.82356644,34.99613571,32.82359314,34.99615097,1.0000,15.66,0,-1,optical_flow
273,9.10,32.82369020,34.99625121,32.82355118,34.99618912,32.82357788,34.99620056,1.0000,16.95,0,-1,optical_flow
276,9.20,32.82367274,34.99630598,32.82353973,34.99624252,32.82356644,34.99625397,0.9933,16.41,0,-1,optical_flow
279,9.30,32.82364403,34.99633112,32.82352829,34.99629593,32.82355118,34.99630356,0.9600,13.47,0,-1,optical_flow
282,9.40,32.82360269,34.99633684,32.82351303,34.99634552,32.82353210,34.99634552,0.9267,10.03,0,-1,optical_flow
