Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
0,0.00,32.82652344,35.00131692,32.82774734,34.99480438,32.82774734,34.99480438,0.4167,737.67,1,215,orb
3,0.10,32.82876922,34.99757530,32.82774734,34.99480438,32.82774734,34.99480438,0.4400,328.77,1,318,orb
6,0.20,32.82787091,34.99490272,32.82774734,34.99480438,32.82775879,34.99481583,0.4400,17.58,0,269,orb
9,0.30,32.82652344,35.00185144,32.82775879,34.99481583,32.82775879,34.99481583,0.4167,795.19,1,216,orb
12,0.40,32.82697260,34.99704079,32.82775879,34.99481583,32.82775879,34.99481583,0.4400,262.69,1,229,orb
15,0.50,32.82607429,35.00345499,32.82775879,34.99481583,32.82775879,34.99481583,0.4167,979.82,1,197,orb
18,0.60,32.82876922,34.99757530,32.82775879,34.99481583,32.82775879,34.99481583,0.4633,327.13,1,318,orb
21,0.70,32.82697260,34.99704079,32.82775879,34.99481583,32.82775879,34.99481583,0.4167,262.69,1,229,orb
24,0.80,32.82697260,35.00292047,32.82775879,34.99481583,32.82775879,34.99481583,0.4400,906.44,1,240,orb
27,0.90,32.82876922,34.99757530,32.82775879,34.99481583,32.82775879,34.99481583,0.4400,327.13,1,318,orb
30,1.00,32.82787091,34.99436820,32.82775879,34.99481583,32.82775879,34.99481583,0.4167,51.37,1,268,orb
33,1.10,32.82697260,34.99704079,32.82775879,34.99481583,32.82775879,34.99481583,0.4400,262.69,1,229,orb
36,1.20,32.82697260,34.99704079,32.82775879,34.99481583,32.82697260,34.99704079,0.4400,262.69,1,229,orb
39,1.30,32.82697260,34.99704079,32.82697296,34.99703979,32.82697296,34.99703979,0.4400,0.12,0,229,orb
42,1.40,32.82876922,34.99757530,32.82697296,34.99703979,32.82697296,34.99703979,0.4167,208.66,1,318,orb
45,1.50,32.82742175,34.99597175,32.82697296,34.99703979,32.82697296,34.99703979,0.4633,128.96,1,249,orb
48,1.60,32.82787091,34.99436820,32.82697296,34.99703979,32.82697296,34.99703979,0.4633,313.75,1,268,orb
51,1.70,32.82876922,34.99704079,32.82697296,34.99703979,32.82697296,34.99703979,0.4633,199.96,1,317,orb
54,1.80,32.82652344,35.00185144,32.82697296,34.99703979,32.82697296,34.99703979,0.4400,537.96,1,216,orb
57,1.90,32.82697296,34.99703979,32.82697296,34.99703979,32.82697296,34.99703979,0.3000,0.00,0,-1,orb
60,2.00,32.82787091,34.99436820,32.82697296,34.99703979,32.82697296,34.99703979,0.4167,313.75,1,268,orb
63,2.10,32.82787091,34.99543723,32.82697296,34.99703979,32.82697296,34.99703979,0.4167,204.49,1,270,orb
66,2.20,32.82787091,34.99383368,32.82697296,34.99703979,32.82697296,34.99703979,0.4400,370.64,1,267,orb
69,2.30,32.82787091,34.99436820,32.82697296,34.99703979,32.82697296,34.99703979,0.4167,313.75,1,268,orb
72,2.40,32.82787091,34.99543723,32.82697296,34.99703979,32.82697296,34.99703979,0.4400,204.49,1,270,orb
75,2.50,32.82787091,34.99543723,32.82697296,34.99703979,32.82697296,34.99703979,0.4867,204.49,1,270,orb
78,2.60,32.82742175,34.99757530,32.82697296,34.99703979,32.82697296,34.99703979,0.4400,77.78,1,252,orb
81,2.70,32.82876922,34.99757530,32.82697296,34.99703979,32.82697296,34.99703979,0.3933,208.66,1,318,orb
84,2.80,32.82742175,34.99757530,32.82697296,34.99703979,32.82697296,34.99703979,0.4400,77.78,1,252,orb
87,2.90,32.82921838,34.99490272,32.82697296,34.99703979,32.82921838,34.99490272,0.4400,345.07,1,335,orb
90,3.00,32.82921838,34.99490272,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,0.19,0,335,orb
93,3.10,32.82921838,34.99490272,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,0.19,0,335,orb
96,3.20,32.83191331,34.99810982,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,466.15,1,473,orb
99,3.30,32.82876922,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,301.62,1,318,orb
102,3.40,32.82787091,35.00131692,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,729.56,1,281,orb
105,3.50,32.82876922,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,301.62,1,318,orb
108,3.60,32.82697260,34.99597175,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,276.98,1,227,orb
111,3.70,32.82921982,34.99490356,32.82921982,34.99490356,32.82921982,34.99490356,0.3000,0.00,0,-1,orb
114,3.80,32.82876922,34.99704079,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,243.15,1,317,orb
117,3.90,32.82652344,35.00345499,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,998.15,1,219,orb
120,4.00,32.82742175,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,358.50,1,252,orb
123,4.10,32.82607429,35.00345499,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,1014.30,1,197,orb
126,4.20,32.82742175,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,358.50,1,252,orb
129,4.30,32.82742175,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,358.50,1,252,orb
132,4.40,32.82742175,35.00131692,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,741.46,1,259,orb
135,4.50,32.82921982,34.99490356,32.82921982,34.99490356,32.82921982,34.99490356,0.3000,0.00,0,-1,orb
138,4.60,32.82742175,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.3933,358.50,1,252,orb
141,4.70,32.82787091,34.99383368,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,191.66,1,267,orb
144,4.80,32.82787091,34.99383368,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,191.66,1,267,orb
147,4.90,32.82697260,34.99704079,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,345.23,1,229,orb
150,5.00,32.82742175,34.99810982,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,409.21,1,253,orb
153,5.10,32.82921982,34.99490356,32.82921982,34.99490356,32.82921982,34.99490356,0.3000,0.00,0,-1,orb
156,5.20,32.82742175,34.99810982,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,409.21,1,253,orb
159,5.30,32.82787091,34.99810982,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,387.22,1,275,orb
162,5.40,32.82742175,34.99864434,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,462.03,1,254,orb
165,5.50,32.82742175,34.99864434,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,462.03,1,254,orb
168,5.60,32.82742175,34.99864434,32.82921982,34.99490356,32.82921982,34.99490356,0.4400,462.03,1,254,orb
171,5.70,32.82787091,34.99757530,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,333.17,1,274,orb
174,5.80,32.82742175,34.99810982,32.82921982,34.99490356,32.82921982,34.99490356,0.4167,409.21,1,253,orb
177,5.90,32.82652344,34.99917885,32.82921982,34.99490356,32.82921982,34.99490356,0.3000,562.67,1,211,orb
180,6.00,32.82832007,35.00024789,32.82921982,34.99490356,32.82921982,34.99490356,0.4633,603.30,1,301,orb
183,6.10,32.83326078,34.99971337,32.82921982,34.99490356,32.83326078,34.99971337,0.3000,699.31,1,542,orb
