Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
2,0.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.7433,0.00,0,0,orb
3,0.00,29.75990000,115.97700000,29.75990000,115.97700000,29.75990000,115.97700000,0.4400,0.00,0,31,orb
4,0.00,29.73090000,115.98700000,29.73090000,115.98700000,29.73090000,115.98700000,0.4400,0.00,0,107,orb
5,0.00,29.75740000,115.97500000,29.75740000,115.97500000,29.75740000,115.97500000,1.0000,0.00,0,1,orb
7,0.00,29.75740000,115.97500000,29.75740000,115.97500000,29.75740000,115.97500000,1.0000,0.00,0,1,orb
8,0.00,29.75630000,115.97700000,29.75630000,115.97700000,29.75630000,115.97700000,0.8133,0.00,0,30,orb
9,0.00,29.75630000,115.97700000,29.75630000,115.97700000,29.75630000,115.97700000,0.6967,0.00,0,30,orb
10,0.00,29.75380000,115.97500000,29.75380000,115.97500000,29.75380000,115.97500000,0.9067,0.00,0,2,orb
12,0.00,29.75380000,115.97500000,29.75380000,115.97500000,29.75380000,115.97500000,1.0000,0.00,0,2,orb
13,0.00,29.75380000,115.97500000,29.75380000,115.97500000,29.75380000,115.97500000,0.5800,0.00,0,2,orb
14,0.00,29.72480000,115.98500000,29.72480000,115.98500000,29.72480000,115.98500000,0.4867,0.00,0,85,orb
15,0.00,29.75030000,115.97500000,29.75030000,115.97500000,29.75030000,115.97500000,1.0000,0.00,0,3,orb
17,0.00,29.75030000,115.97500000,29.75030000,115.97500000,29.75030000,115.97500000,1.0000,0.00,0,3,orb
18,0.00,29.74920000,115.97700000,29.74920000,115.97700000,29.74920000,115.97700000,0.5100,0.00,0,28,orb
19,0.00,29.75030000,115.97500000,29.75030000,115.97500000,29.75030000,115.97500000,0.4867,0.00,0,3,orb
20,0.00,29.74670000,115.97500000,29.74670000,115.97500000,29.74670000,115.97500000,1.0000,0.00,0,4,orb
22,0.00,29.74670000,115.97500000,29.74670000,115.97500000,29.74670000,115.97500000,1.0000,0.00,0,4,orb
23,0.00,29.72530000,115.97500000,29.72530000,115.97500000,29.72530000,115.97500000,0.4167,0.00,0,10,orb
24,0.00,29.74310000,115.97500000,29.74310000,115.97500000,29.74310000,115.97500000,0.4633,0.00,0,5,orb
25,0.00,29.74310000,115.97500000,29.74310000,115.97500000,29.74310000,115.97500000,1.0000,0.00,0,5,orb
27,0.00,29.74310000,115.97500000,29.74310000,115.97500000,29.74310000,115.97500000,0.9533,0.00,0,5,orb
28,0.00,29.74200000,115.97700000,29.74200000,115.97700000,29.74200000,115.97700000,0.4867,0.00,0,26,orb
29,0.00,29.73960000,115.97500000,29.73960000,115.97500000,29.73960000,115.97500000,1.0000,0.00,0,6,orb
