Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank
1,3.00,29.72529129,115.97046359,29.76100000,115.97500000,29.76100000,115.97500000,0.4167,3999.21,1,156,orb,5,1,-1
2,7.00,29.70474054,115.98333560,29.76100000,115.97500000,29.76100000,115.97500000,0.4633,6314.42,1,6,orb,7,1,-1
3,10.00,29.71164802,115.98762215,29.76100000,115.97500000,29.76100000,115.97500000,0.4633,5627.70,1,60,orb,7,1,-1
4,14.00,29.74441646,115.97976585,29.76100000,115.97500000,29.76100000,115.97500000,0.5800,1902.69,1,290,orb,12,1,-1
5,17.00,29.72241702,115.97353377,29.76100000,115.97500000,29.76100000,115.97500000,0.4400,4297.39,1,131,orb,6,1,-1
6,21.00,29.74487790,115.97972878,29.76100000,115.97500000,29.76100000,115.97500000,0.5567,1852.00,1,290,orb,11,1,-1
7,24.00,29.73750279,115.98737498,29.76100000,115.97500000,29.76100000,115.97500000,0.4167,2876.24,1,255,orb,5,1,-1
8,28.00,29.73710120,115.98951825,29.76100000,115.97500000,29.76100000,115.97500000,0.4167,3007.84,1,243,orb,5,1,-1
9,31.00,29.74273169,115.99263073,29.76100000,115.97500000,29.76100000,115.97500000,0.4633,2653.27,1,297,orb,7,1,-1
10,34.00,29.74741950,115.99636828,29.76100000,115.97500000,29.74741950,115.99636828,0.4400,2559.60,1,324,orb,6,1,-1
11,38.00,29.74134285,115.98644808,29.74741950,115.99636828,29.74741950,115.99636828,0.4167,1173.47,1,281,orb,5,1,-1
12,41.00,29.71011967,115.97557817,29.74741950,115.99636828,29.74741950,115.99636828,0.4167,4612.94,1,41,orb,5,1,-1
13,44.00,29.70548552,115.98711545,29.74741950,115.99636828,29.74741950,115.99636828,0.4400,4753.00,1,21,orb,6,1,-1
14,48.00,29.71193776,115.98652223,29.74741950,115.99636828,29.74741950,115.99636828,0.4633,4062.87,1,60,orb,7,1,-1
15,51.00,29.76473113,115.98068562,29.74741950,115.99636828,29.74741950,115.99636828,0.4867,2451.88,1,447,orb,8,1,-1
16,55.00,29.75033669,115.99046274,29.74741950,115.99636828,29.74741950,115.99636828,0.4633,656.73,1,348,orb,7,1,-1
17,58.00,29.74859372,115.97420636,29.74741950,115.99636828,29.74741950,115.99636828,0.4167,2146.14,1,327,orb,5,1,1
