Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
1,3.00,29.75618015,115.98511942,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,1247.88,1,366,orb
2,7.00,29.76157002,115.97891205,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,440.26,1,399,orb
3,10.00,29.77055313,115.97477380,29.76099968,115.97499847,29.76099968,115.97499847,0.4633,1063.78,1,457,orb
4,14.00,29.72204432,115.97891205,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,4358.34,1,135,orb
5,17.00,29.76157002,115.98925767,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,1588.60,1,404,orb
6,21.00,29.75079028,115.98925767,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,1952.25,1,332,orb
7,24.00,29.77055313,115.97891205,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,1149.26,1,459,orb
8,28.00,29.76336664,115.97891205,29.76099968,115.97499847,29.76099968,115.97499847,0.4167,509.14,1,411,orb
9,31.00,29.72204432,115.97891205,29.76099968,115.97499847,29.76099968,115.97499847,0.4400,4358.34,1,135,orb
10,34.00,29.75618015,115.99339591,29.76099968,115.97499847,29.75618015,115.99339591,0.4400,2117.11,1,370,orb
11,38.00,29.72743419,115.98718854,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,3273.65,1,175,orb
12,41.00,29.77055313,115.97891205,29.75617981,115.99339294,29.75617981,115.99339294,0.4167,2271.28,1,459,orb
13,44.00,29.75438353,115.98305030,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,1168.58,1,353,orb
14,48.00,29.71306121,115.97270468,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,5323.86,1,72,orb
15,51.00,29.76516326,115.99339591,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,1000.04,1,430,orb
16,55.00,29.72563757,115.98098117,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,3669.98,1,160,orb
17,58.00,29.71665446,115.98511942,29.75617981,115.99339294,29.75617981,115.99339294,0.4633,4495.32,1,102,orb
18,62.00,29.72384095,115.97684293,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,4044.00,1,146,orb
19,65.00,29.72923081,115.98098117,29.75617981,115.99339294,29.75617981,115.99339294,0.4400,3302.85,1,184,orb
20,69.00,29.72743419,115.97477380,29.75617981,115.99339294,29.72743419,115.97477380,0.4167,3812.58,1,169,orb
21,72.00,29.75797677,115.98511942,29.72743416,115.97477722,29.72743416,115.97477722,0.3933,3589.64,1,378,orb
