Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank
1,7.00,32.31045081,119.89271209,32.30460000,119.89700000,32.30460000,119.89700000,0.3933,766.10,1,536,orb,4,1,-1
2,14.00,32.29049484,119.81277250,32.30460000,119.89700000,32.30460000,119.89700000,0.3933,8077.43,1,3,orb,4,1,-1
3,21.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.3000,0.00,0,-1,orb,0,1,-1
4,28.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.3000,0.00,0,-1,orb,0,1,-1
5,36.00,32.31194702,119.83138649,32.30460000,119.89700000,32.30460000,119.89700000,0.3933,6226.26,1,552,orb,4,1,-1
6,43.00,32.33595757,119.84906785,32.30460000,119.89700000,32.30460000,119.89700000,0.4633,5702.31,1,1145,orb,7,1,-1
7,50.00,32.30830013,119.89113197,32.30460000,119.89700000,32.30460000,119.89700000,0.5100,688.75,1,490,orb,9,1,1
8,57.00,32.33153821,119.85323110,32.30460000,119.89700000,32.30460000,119.89700000,0.4867,5093.66,1,1057,orb,8,1,-1
9,64.00,32.30831086,119.80951649,32.30460000,119.89700000,32.30460000,119.89700000,0.5100,8240.00,1,452,orb,9,1,7
10,71.00,32.35508742,119.88999620,32.30460000,119.89700000,32.30460000,119.89700000,0.4633,5658.75,1,1659,orb,7,1,-1
11,79.00,32.29876985,119.81788106,32.30460000,119.89700000,32.30460000,119.89700000,0.4867,7471.02,1,231,orb,8,1,58
12,86.00,32.30073813,119.88772360,32.30460000,119.89700000,32.30460000,119.89700000,0.4867,972.79,1,309,orb,8,1,-1
13,93.00,32.29037682,119.81152828,32.30460000,119.89700000,32.30460000,119.89700000,0.4867,8194.80,1,3,orb,8,1,-1
14,100.00,32.32263020,119.86120209,32.30460000,119.89700000,32.32263020,119.86120209,0.3933,3920.31,1,836,orb,4,1,-1
15,108.00,32.31241327,119.88484266,32.32263020,119.86120209,32.32263020,119.86120209,0.4867,2497.85,1,622,orb,8,1,1
16,115.00,32.29025881,119.81169333,32.32263020,119.86120209,32.32263020,119.86120209,0.4167,5888.68,1,3,orb,5,1,-1
17,122.00,32.32538168,119.82597321,32.32263020,119.86120209,32.32263020,119.86120209,0.4400,3328.13,1,864,orb,6,1,-1
18,130.00,32.34666220,119.86766914,32.32263020,119.86120209,32.32263020,119.86120209,0.4400,2743.54,1,1424,orb,6,1,-1
19,137.00,32.32682425,119.84510774,32.32263020,119.86120209,32.32263020,119.86120209,0.4633,1584.36,1,918,orb,7,1,-1
20,144.00,32.29439922,119.80945301,32.32263020,119.86120209,32.32263020,119.86120209,0.4167,5794.36,1,92,orb,5,1,-1
21,152.00,32.31570120,119.82601130,32.32263020,119.86120209,32.32263020,119.86120209,0.4400,3399.10,1,639,orb,6,1,-1
22,159.00,32.31532569,119.82587165,32.32263020,119.86120209,32.32263020,119.86120209,0.4400,3421.59,1,639,orb,6,1,10
23,166.00,32.31858634,119.86420418,32.32263020,119.86120209,32.32263020,119.86120209,0.4867,531.41,1,747,orb,8,1,-1
24,174.00,32.33059989,119.85595387,32.32263020,119.86120209,32.33059989,119.85595387,0.4167,1015.30,1,1013,orb,5,1,-1
25,181.00,32.31778750,119.87670662,32.33059989,119.85595387,32.31778860,119.87670484,0.9300,2417.74,0,708,orb,27,1,1
26,189.00,32.31822738,119.87607181,32.31688017,119.87817625,32.31688017,119.87817625,0.6033,248.36,1,708,orb,13,1,1
27,196.00,32.33212829,119.85702615,32.31608530,119.87946374,32.31608530,119.87946374,0.4400,2764.89,1,1059,orb,6,1,-1
28,204.00,32.33236432,119.89081456,32.31517687,119.88093515,32.31517687,119.88093515,0.5333,2127.08,1,1075,orb,10,1,-1
29,211.00,32.29201251,119.82354245,32.31438200,119.88222264,32.31438200,119.88222264,0.4633,6055.77,1,53,orb,7,1,-1
30,218.00,32.32166460,119.84899167,32.31358713,119.88351012,32.31358713,119.88351012,0.5100,3369.38,1,830,orb,9,1,-1
31,225.00,32.32081212,119.87190857,32.31279226,119.88479761,32.31279226,119.88479761,0.5567,1505.71,1,796,orb,11,1,1
32,233.00,32.32131637,119.87110290,32.31188383,119.88626902,32.31188383,119.88626902,0.6500,1771.44,1,795,orb,15,1,1
33,240.00,32.29374476,119.85072415,32.31108896,119.88755651,32.31108896,119.88755651,0.3933,3966.48,1,111,orb,4,1,-1
34,247.00,32.29033391,119.81164254,32.31029409,119.88884400,32.31029409,119.88884400,0.6733,7594.71,1,3,orb,16,1,33
35,254.00,32.31411915,119.82333931,32.30949921,119.89013148,32.31411915,119.82333931,0.4633,6304.20,1,593,orb,7,1,-1
36,262.00,32.30816066,119.86914189,32.31411915,119.82333931,32.31411915,119.82333931,0.4633,4359.44,1,479,orb,7,1,12
37,269.00,32.32420151,119.81298833,32.31411915,119.82333931,32.31411915,119.82333931,0.4167,1485.88,1,858,orb,5,1,-1
38,276.00,32.31970214,119.82889224,32.31411915,119.82333931,32.31411915,119.82333931,0.4867,811.87,1,731,orb,8,1,-1
39,284.00,32.32276967,119.84473956,32.31411915,119.82333931,32.31411915,119.82333931,0.4633,2231.60,1,828,orb,7,1,-1
40,291.00,32.29388424,119.81017668,32.31411915,119.82333931,32.31411915,119.82333931,0.4400,2570.44,1,92,orb,6,1,-1
41,298.00,32.35205207,119.89934419,32.31411915,119.82333931,32.31411915,119.82333931,0.3933,8303.69,1,1574,orb,4,1,-1
42,306.00,32.29609928,119.80783479,32.31411915,119.82333931,32.31411915,119.82333931,0.3933,2480.16,1,136,orb,4,1,-1
43,313.00,32.31411915,119.82333931,32.31411915,119.82333931,32.31411915,119.82333931,0.0000,0.00,0,-1,orb,0,0,-1
44,320.00,32.31411915,119.82333931,32.31411915,119.82333931,32.31411915,119.82333931,0.3000,0.00,0,-1,orb,0,1,-1
45,328.00,32.31411915,119.82333931,32.31411915,119.82333931,32.31411915,119.82333931,0.3000,0.00,0,-1,orb,0,1,-1
46,335.00,32.29049484,119.87706792,32.31411915,119.82333931,32.31411915,119.82333931,0.4167,5697.54,1,34,orb,5,1,-1
47,343.00,32.30646059,119.80805062,32.31411915,119.82333931,32.31411915,119.82333931,0.4400,1671.92,1,406,orb,6,1,-1
48,350.00,32.32442682,119.88458874,32.31411915,119.82333931,32.31411915,119.82333931,0.4400,5874.93,1,892,orb,6,1,-1
