Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,2.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
2,5.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
3,7.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
4,10.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
5,12.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
6,65.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
7,68.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
8,71.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
9,74.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
10,77.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
11,80.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
12,83.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.0000,0.00,0,-1,orb,0,0,-1,,,
13,86.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
14,89.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
15,92.00,32.34701679,109.65105407,32.35150000,109.64700000,32.35150000,109.64700000,0.4167,628.01,1,7,orb,5,1,-1,890.88,723.44,723.44
16,96.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
17,99.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
18,102.00,32.35150000,109.64700000,32.35150000,109.64700000,32.35150000,109.64700000,0.3000,0.00,0,-1,orb,0,0,-1,,,
