Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
129,4.30,32.83514424,34.97593157,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.17,0,-1,sift
132,4.40,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
135,4.50,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
138,4.60,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
141,4.70,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
144,4.80,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
147,4.90,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
150,5.00,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
153,5.10,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
156,5.20,32.83025026,34.97173765,32.83514404,34.97593307,32.83514404,34.97593307,0.2800,717.57,1,668,sift
159,5.30,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
162,5.40,32.83519098,34.99044722,32.83514404,34.97593307,32.83514404,34.97593307,0.2440,1615.72,1,1187,sift
165,5.50,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
168,5.60,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
171,5.70,32.83025026,34.97173765,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,717.57,1,668,sift
174,5.80,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
177,5.90,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
180,6.00,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
183,6.10,32.83514404,34.97593307,32.83514404,34.97593307,32.83514404,34.97593307,0.1000,0.00,0,-1,sift
