Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,3.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
2,7.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
3,10.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
4,14.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
5,17.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
6,21.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
7,24.00,29.70644058,115.99478636,29.76100000,115.97500000,29.76100000,115.97500000,0.4633,6367.56,1,25,split_deit,7,1,-1,5920.54,5920.54,5920.54
8,28.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
9,31.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
10,34.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
11,38.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
12,41.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
13,44.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
14,48.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
15,51.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
16,55.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
17,58.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
18,62.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
19,65.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
20,69.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
21,72.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
22,75.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
23,78.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
24,82.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
25,85.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
26,89.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
27,92.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_deit,0,0,-1,,,
