Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,4.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,701.06,424.21,424.21
2,8.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,771.55,489.11,489.11
3,13.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,791.01,439.50,439.50
4,17.00,32.23036691,119.94383199,32.15560000,119.92900000,32.15560000,119.92900000,0.5800,8439.50,1,1007,split_disk,12,1,-1,8002.30,609.62,609.62
5,22.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,978.38,710.82,710.82
6,26.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,1077.11,814.66,814.66
7,31.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,1143.44,896.72,896.72
8,36.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,1238.39,995.08,995.08
9,41.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15560000,119.92900000,0.6967,514.74,1,8,split_disk,17,1,-1,1344.77,1090.19,1090.19
10,46.00,32.15374518,119.92399437,32.15560000,119.92900000,32.15374518,119.92399437,0.6967,514.74,1,8,split_disk,17,1,-1,1451.90,1201.50,1201.50
11,51.00,32.15374518,119.92399437,32.15374518,119.92399437,32.15374518,119.92399437,0.6967,0.00,0,8,split_disk,17,1,-1,1559.61,1312.80,1312.80
12,56.00,32.15374518,119.92399437,32.15374518,119.92399437,32.15374518,119.92399437,0.6967,0.00,0,8,split_disk,17,1,-1,1648.90,1426.54,1426.54
13,60.00,32.15374518,119.92399437,32.15374518,119.92399437,32.15374518,119.92399437,0.6967,0.00,0,8,split_disk,17,1,-1,1758.64,1537.68,1537.68
14,65.00,32.15374518,119.92399437,32.15374518,119.92399437,32.15374518,119.92399437,0.6967,0.00,0,8,split_disk,17,1,-1,1868.57,1648.83,1648.83
15,70.00,32.15374518,119.92399437,32.15374518,119.92399437,32.15374518,119.92399437,0.6967,0.00,0,8,split_disk,17,1,-1,1967.64,1748.89,1748.89
16,74.00,32.23036691,119.94383199,32.15374518,119.92399437,32.15374518,119.92399437,0.5800,8731.82,1,1007,split_disk,12,1,-1,6762.78,1860.09,1860.09
17,79.00,32.16108188,119.94584111,32.15374518,119.92399437,32.15374518,119.92399437,0.6033,2214.01,1,111,split_disk,13,1,-1,2430.95,873.45,873.45
18,84.00,32.15374518,119.92399437,32.15374518,119.92399437,32.15374518,119.92399437,0.6967,0.00,0,8,split_disk,17,1,-1,2288.78,2080.77,2080.77
