Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,3.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,2,1156.49,67.65,67.65
2,7.00,40.34992164,115.77694727,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,75.65,1,40,split_finetuned_dino,8,1,-1,169.07,169.07,169.07
3,10.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,1061.64,1061.64,1061.64
4,13.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,1060.54,1060.54,1060.54
5,16.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,1062.36,1062.36,1062.36
6,19.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,982.81,982.81,982.81
7,22.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,991.04,991.04,991.04
8,26.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,1002.30,1002.30,1002.30
9,29.00,40.34867231,115.79017638,40.35060000,115.77700000,40.35060000,115.77700000,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,1016.49,1016.49,1016.49
10,32.00,40.34867231,115.79017638,40.35060000,115.77700000,40.34867231,115.79017638,0.4867,1138.29,1,38,split_finetuned_dino,8,1,-1,953.80,953.80,953.80
11,35.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
12,38.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
13,41.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,952.62,952.62,952.62
14,44.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,859.13,859.13,859.13
15,47.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,908.95,908.95,908.95
16,50.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,959.41,959.41,959.41
17,53.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,1046.42,1046.42,1046.42
18,91.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,919.41,919.41,919.41
19,94.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
20,97.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
21,100.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,875.64,875.64,875.64
22,102.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
23,105.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,822.96,822.96,822.96
24,108.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,797.63,797.63,797.63
25,111.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,851.30,851.30,851.30
26,114.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,835.05,835.05,835.05
27,117.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
28,120.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,898.64,898.64,898.64
29,123.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
30,126.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,371.98,371.98,371.98
31,129.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,344.16,344.16,344.16
32,132.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,243.82,243.82,243.82
33,135.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,988.73,988.73,988.73
34,138.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,224.88,224.88,224.88
35,141.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,235.43,235.43,235.43
36,179.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,334.27,334.27,334.27
37,182.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,850.48,850.48,850.48
38,185.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,834.38,834.38,834.38
39,188.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,821.75,821.75,821.75
40,191.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
41,194.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,502.15,502.15,502.15
42,197.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,521.61,521.61,521.61
43,200.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,723.86,723.86,723.86
44,203.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,730.77,730.77,730.77
45,206.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,659.63,659.63,659.63
46,209.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,676.44,676.44,676.44
47,213.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,697.29,697.29,697.29
48,216.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
49,219.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
50,222.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,706.12,706.12,706.12
51,225.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,749.65,749.65,749.65
52,228.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,723.06,723.06,723.06
53,231.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,766.42,766.42,766.42
54,269.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
55,272.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,626.45,626.45,626.45
56,275.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,583.31,583.31,583.31
57,278.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,542.46,542.46,542.46
58,281.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,571.35,571.35,571.35
59,283.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
60,286.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
61,289.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,818.15,818.15,818.15
62,292.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,717.54,717.54,717.54
63,295.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,695.54,695.54,695.54
64,298.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,677.41,677.41,677.41
65,301.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
66,303.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
67,306.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,658.96,658.96,658.96
68,309.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,564.33,564.33,564.33
69,312.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,774.54,774.54,774.54
70,315.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,796.54,498.40,498.40
71,318.00,40.34992164,115.77694727,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,1130.94,1,40,split_finetuned_dino,8,1,-1,516.61,516.61,516.61
72,357.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,711.50,711.50,711.50
73,360.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,677.70,677.70,677.70
74,363.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,646.94,646.94,646.94
75,367.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,619.66,619.66,619.66
76,370.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
77,373.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.4867,0.00,0,38,split_finetuned_dino,8,1,-1,497.07,497.07,497.07
78,376.00,40.34867231,115.79017638,40.34867231,115.79017638,40.34867231,115.79017638,0.0000,0.00,0,-1,split_finetuned_dino,0,0,-1,,,
