Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,3.00,29.75991001,115.97452768,29.76100000,115.97500000,29.76100000,115.97500000,0.5567,129.64,1,405,split_finetuned_disk_refined,11,1,1,52.53,52.53,52.53
2,7.00,29.75991001,115.97452768,29.76100000,115.97500000,29.76100000,115.97500000,0.5567,129.64,1,405,split_finetuned_disk_refined,11,1,1,37.15,37.15,37.15
3,10.00,29.76243015,115.97956098,29.76100000,115.97500000,29.76100000,115.97500000,0.6267,468.73,1,434,split_finetuned_disk_refined,14,1,8,769.71,94.50,94.50
4,14.00,29.76809449,115.97450297,29.76100000,115.97500000,29.76100000,115.97500000,0.5333,791.22,1,457,split_finetuned_disk_refined,10,1,9,986.20,25.90,25.90
5,17.00,29.75589825,115.97552874,29.76100000,115.97500000,29.76100000,115.97500000,0.5100,570.22,1,379,split_finetuned_disk_refined,9,1,1,137.84,67.49,67.49
6,21.00,29.74523036,115.97549166,29.76100000,115.97500000,29.76100000,115.97500000,0.6267,1756.12,1,314,split_finetuned_disk_refined,14,1,4,1058.42,62.13,62.13
7,24.00,29.75589825,115.97552874,29.76100000,115.97500000,29.76100000,115.97500000,0.5100,570.22,1,379,split_finetuned_disk_refined,9,1,1,29.38,29.38,29.38
8,28.00,29.74523036,115.97549166,29.76100000,115.97500000,29.76100000,115.97500000,0.6267,1756.12,1,314,split_finetuned_disk_refined,14,1,4,902.61,100.05,100.05
9,31.00,29.76809449,115.97450297,29.76100000,115.97500000,29.76100000,115.97500000,0.5333,791.22,1,457,split_finetuned_disk_refined,10,1,3,1386.88,25.50,25.50
10,34.00,29.76785221,115.98801763,29.76100000,115.97500000,29.76785221,115.98801763,0.6500,1471.43,1,476,split_finetuned_disk_refined,15,1,3,2039.43,137.10,137.10
11,38.00,29.75294887,115.97577591,29.76785221,115.98801763,29.76785221,115.98801763,0.5333,2037.78,1,353,split_finetuned_disk_refined,10,1,1,61.42,61.42,61.42
12,41.00,29.75845058,115.98151887,29.76785221,115.98801763,29.76785221,115.98801763,0.5100,1220.63,1,409,split_finetuned_disk_refined,9,1,-1,1130.86,180.83,180.83
13,44.00,29.75101274,115.98279182,29.76785221,115.98801763,29.76785221,115.98801763,0.5333,1941.43,1,344,split_finetuned_disk_refined,10,1,5,784.84,103.90,103.90
14,48.00,29.76797025,115.98054445,29.76785221,115.98801763,29.76785221,115.98801763,0.5333,722.47,1,472,split_finetuned_disk_refined,10,1,5,2012.20,32.15,32.15
15,51.00,29.76797025,115.98054445,29.76785221,115.98801763,29.76785221,115.98801763,0.5333,722.47,1,472,split_finetuned_disk_refined,10,1,5,2088.79,58.46,58.46
16,55.00,29.72598261,115.98111817,29.76785221,115.98801763,29.76785221,115.98801763,0.6500,4708.39,1,174,split_finetuned_disk_refined,15,1,-1,2534.66,1373.86,1373.86
17,58.00,29.74523036,115.97549166,29.76785221,115.98801763,29.76785221,115.98801763,0.6267,2794.20,1,314,split_finetuned_disk_refined,14,1,7,180.08,30.41,30.41
18,62.00,29.74523036,115.97549166,29.76785221,115.98801763,29.76785221,115.98801763,0.6267,2794.20,1,314,split_finetuned_disk_refined,14,1,1,103.16,101.52,101.52
19,65.00,29.76785221,115.98801763,29.76785221,115.98801763,29.76785221,115.98801763,0.6500,0.00,0,476,split_finetuned_disk_refined,15,1,2,2653.07,31.60,31.60
20,69.00,29.76785221,115.98801763,29.76785221,115.98801763,29.76785221,115.98801763,0.6500,0.00,0,476,split_finetuned_disk_refined,15,1,2,2723.11,59.16,59.16
21,72.00,29.74523036,115.97549166,29.76785221,115.98801763,29.76785221,115.98801763,0.6267,2794.20,1,314,split_finetuned_disk_refined,14,1,1,134.70,134.70,134.70
22,75.00,29.71987996,115.98468792,29.76785221,115.98801763,29.76785221,115.98801763,0.5800,5349.96,1,124,split_finetuned_disk_refined,12,1,-1,2955.72,2458.12,2458.12
23,78.00,29.71485495,115.99546609,29.76785221,115.98801763,29.76785221,115.98801763,0.5100,5943.42,1,90,split_finetuned_disk_refined,9,1,7,3857.15,113.33,113.33
24,82.00,29.74496828,115.97399626,29.76785221,115.98801763,29.76785221,115.98801763,0.6033,2885.53,1,301,split_finetuned_disk_refined,13,1,8,168.12,39.78,39.78
25,85.00,29.74496828,115.97399626,29.76785221,115.98801763,29.76785221,115.98801763,0.6033,2885.53,1,301,split_finetuned_disk_refined,13,1,7,256.68,59.86,59.86
26,89.00,29.74290338,115.97249564,29.76785221,115.98801763,29.76785221,115.98801763,0.6267,3156.65,1,287,split_finetuned_disk_refined,14,1,5,258.94,69.79,69.79
27,92.00,29.74290338,115.97249564,29.76785221,115.98801763,29.76785221,115.98801763,0.6267,3156.65,1,287,split_finetuned_disk_refined,14,1,6,306.52,24.66,24.66
28,96.00,29.72476546,115.97208780,29.76785221,115.98801763,29.76785221,115.98801763,0.5567,5037.51,1,157,split_finetuned_disk_refined,11,1,5,1724.78,92.14,92.14
