Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,7.00,32.30466397,119.89947115,32.30460000,119.89700000,32.30460000,119.89700000,0.5800,232.57,1,404,split_finetuned_disk,12,1,-1,330.12,168.34,168.34
2,14.00,32.33655256,119.88422055,32.30460000,119.89700000,32.30460000,119.89700000,0.5100,3754.62,1,1207,split_finetuned_disk,9,1,8,3619.69,87.14,87.14
3,21.00,32.34295094,119.86270023,32.30460000,119.89700000,32.30460000,119.89700000,0.6733,5351.38,1,1331,split_finetuned_disk,16,1,9,5074.66,118.29,118.29
4,28.00,32.32263020,119.84631968,32.30460000,119.89700000,32.30460000,119.89700000,0.5567,5172.81,1,829,split_finetuned_disk,11,1,-1,4823.16,2774.66,2774.66
5,36.00,32.31441956,119.84929638,32.30460000,119.89700000,32.30460000,119.89700000,0.5800,4618.73,1,605,split_finetuned_disk,12,1,9,4252.26,82.77,82.77
6,43.00,32.35034128,119.89989012,32.30460000,119.89700000,32.30460000,119.89700000,0.5800,5099.17,1,1529,split_finetuned_disk,12,1,2,4714.71,115.29,115.29
7,50.00,32.30709851,119.88997662,32.30460000,119.89700000,32.30460000,119.89700000,0.5567,716.85,1,490,split_finetuned_disk,11,1,1,5.69,5.69,5.69
8,57.00,32.30709851,119.88997662,32.30460000,119.89700000,32.30460000,119.89700000,0.5567,716.85,1,490,split_finetuned_disk,11,1,1,109.20,109.20,109.20
9,64.00,32.30709851,119.88997662,32.30460000,119.89700000,32.30460000,119.89700000,0.5567,716.85,1,490,split_finetuned_disk,11,1,1,147.47,123.76,123.76
10,71.00,32.31484289,119.88955184,32.30460000,119.89700000,32.31484289,119.88955184,0.6033,1338.31,1,669,split_finetuned_disk,13,1,5,628.44,31.98,31.98
11,79.00,32.31744418,119.89072569,32.31484289,119.88955184,32.31484289,119.88955184,0.5800,309.92,1,715,split_finetuned_disk,12,1,5,811.00,87.99,87.99
12,86.00,32.30709851,119.88997662,32.31484289,119.88955184,32.31484289,119.88955184,0.5567,863.03,1,490,split_finetuned_disk,11,1,6,475.19,97.94,97.94
13,93.00,32.31367927,119.89361352,32.31484289,119.88955184,32.31484289,119.88955184,0.6033,403.45,1,626,split_finetuned_disk,13,1,5,712.59,83.88,83.88
14,100.00,32.31707940,119.84424441,32.31484289,119.88955184,32.31484289,119.88955184,0.5333,4269.37,1,693,split_finetuned_disk,10,1,-1,3977.44,205.78,205.78
15,108.00,32.31707940,119.84424441,32.31484289,119.88955184,32.31484289,119.88955184,0.5333,4269.37,1,693,split_finetuned_disk,10,1,5,3876.32,72.38,72.38
16,115.00,32.30153207,119.84983543,32.31484289,119.88955184,32.31484289,119.88955184,0.5100,4019.26,1,291,split_finetuned_disk,9,1,4,3413.52,90.86,90.86
17,122.00,32.33340993,119.87608451,32.31484289,119.88955184,32.31484289,119.88955184,0.5567,2424.25,1,1113,split_finetuned_disk,11,1,5,2309.87,53.13,53.13
18,130.00,32.34069298,119.86963015,32.31484289,119.88955184,32.31484289,119.88955184,0.5333,3434.07,1,1290,split_finetuned_disk,10,1,7,3178.56,58.63,58.63
19,137.00,32.34069298,119.86963015,32.31484289,119.88955184,32.31484289,119.88955184,0.5333,3434.07,1,1290,split_finetuned_disk,10,1,6,3126.78,104.45,104.45
20,144.00,32.34598629,119.87395845,32.31484289,119.88955184,32.34598629,119.87395845,0.5100,3764.44,1,1427,split_finetuned_disk,9,1,-1,3512.42,554.13,554.13
21,152.00,32.33390346,119.87384418,32.34598629,119.87395845,32.34598629,119.87395845,0.5800,1345.10,1,1112,split_finetuned_disk,12,1,6,2062.45,36.13,36.13
22,159.00,32.33390346,119.87384418,32.34598629,119.87395845,32.34598629,119.87395845,0.5800,1345.10,1,1112,split_finetuned_disk,12,1,3,1984.45,104.18,104.18
23,166.00,32.34294021,119.87715679,32.34598629,119.87395845,32.34598629,119.87395845,0.6033,453.33,1,1339,split_finetuned_disk,13,1,8,2871.35,73.98,73.98
24,174.00,32.30452450,119.86436923,32.34598629,119.87395845,32.30452450,119.86436923,0.7200,4702.85,0,387,split_finetuned_disk,18,1,7,1954.85,25.23,25.23
25,181.00,32.30452450,119.86436923,32.30278872,119.86396779,32.30452450,119.86436923,0.7200,196.88,0,387,split_finetuned_disk,18,1,2,1939.07,100.18,100.18
26,189.00,32.32158459,119.86836054,32.30452449,119.86436923,32.30452449,119.86436923,0.5333,1935.89,1,795,split_finetuned_disk,10,1,2,660.66,93.51,93.51
27,196.00,32.34317043,119.87248570,32.30452449,119.86436923,32.30452449,119.86436923,0.5567,4369.29,1,1382,split_finetuned_disk,11,1,7,2839.20,104.91,104.91
28,204.00,32.34317043,119.87248570,32.30452448,119.86436923,32.30452448,119.86436923,0.5567,4369.30,1,1382,split_finetuned_disk,11,1,8,2781.85,18.57,18.57
29,211.00,32.31533642,119.87339401,32.30452448,119.86436923,32.30452448,119.86436923,0.6500,1472.88,1,661,split_finetuned_disk,15,1,2,515.82,73.91,73.91
30,218.00,32.33697099,119.80572143,32.30452447,119.86436923,32.30452447,119.86436923,0.6500,6594.23,1,1170,split_finetuned_disk,15,1,4,6578.10,107.97,107.97
31,225.00,32.33697099,119.80572143,32.30452447,119.86436922,32.30452447,119.86436922,0.6500,6594.23,1,1170,split_finetuned_disk,15,1,5,6472.19,16.20,16.20
32,233.00,32.33340993,119.87608451,32.30452447,119.86436922,32.30452447,119.86436922,0.5567,3399.14,1,1113,split_finetuned_disk,11,1,2,1430.41,93.95,93.95
33,240.00,32.32263020,119.86970633,32.30452446,119.86436922,32.30452446,119.86436922,0.6033,2077.12,1,840,split_finetuned_disk,13,1,1,96.46,96.46,96.46
34,247.00,32.32263020,119.86970633,32.30452446,119.86436922,32.30452446,119.86436922,0.6033,2077.12,1,840,split_finetuned_disk,13,1,1,45.98,45.98,45.98
35,254.00,32.31533642,119.87339401,32.30452445,119.86436922,32.31533642,119.87339401,0.6500,1472.88,1,661,split_finetuned_disk,15,1,6,871.75,136.89,136.89
36,262.00,32.34598629,119.87395845,32.31533642,119.87339401,32.31533642,119.87339401,0.5100,3412.36,1,1427,split_finetuned_disk,9,1,-1,2576.03,820.64,820.64
37,269.00,32.30646059,119.86545421,32.31533642,119.87339401,32.31533642,119.87339401,0.5333,1238.60,1,433,split_finetuned_disk,10,1,8,1946.79,80.12,80.12
38,276.00,32.33340993,119.87608451,32.31533642,119.87339401,32.31533642,119.87339401,0.5567,2027.80,1,1113,split_finetuned_disk,11,1,7,1380.55,148.69,148.69
