Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,2.00,32.34866318,109.63638687,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,1046.75,1,12,split_learned_disk,13,1,10,947.23,101.10,101.10
2,5.00,32.34866318,109.63638687,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,1046.75,1,12,split_learned_disk,13,1,10,933.98,86.93,86.93
3,7.00,32.34866318,109.63638687,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,1046.75,1,12,split_learned_disk,13,1,10,923.90,105.30,105.30
4,10.00,32.34866318,109.63638687,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,1046.75,1,12,split_learned_disk,13,1,10,917.09,144.27,144.27
5,12.00,32.34866318,109.63638687,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,1046.75,1,12,split_learned_disk,13,1,-1,1007.35,182.14,182.14
6,65.00,32.34656608,109.65716808,32.35150000,109.64700000,32.35150000,109.64700000,0.6733,1102.65,1,10,split_learned_disk,16,1,-1,994.22,184.75,184.75
7,68.00,32.34866318,109.63638687,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,1046.75,1,12,split_learned_disk,13,1,-1,819.33,181.77,181.77
8,71.00,32.35117878,109.63499677,32.35150000,109.64700000,32.35150000,109.64700000,0.5333,1129.26,1,22,split_learned_disk,10,1,-1,1026.93,195.30,195.30
9,74.00,32.35236373,109.64463516,32.35150000,109.64700000,32.35150000,109.64700000,0.6033,242.27,1,37,split_learned_disk,13,1,-1,348.26,194.19,194.19
10,77.00,32.35236373,109.64463516,32.35150000,109.64700000,32.35236373,109.64463516,0.6033,242.27,1,37,split_learned_disk,13,1,-1,239.20,217.21,217.21
11,80.00,32.35236373,109.64463516,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,0.00,0,37,split_learned_disk,13,1,-1,193.96,166.08,166.08
12,83.00,32.35236373,109.64463516,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,0.00,0,37,split_learned_disk,13,1,-1,155.62,155.62,155.62
13,86.00,32.35236373,109.64463516,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,0.00,0,37,split_learned_disk,13,1,1,130.43,130.43,130.43
14,89.00,32.35236373,109.64463516,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,0.00,0,37,split_learned_disk,13,1,1,126.49,126.49,126.49
15,92.00,32.35236373,109.64463516,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,0.00,0,37,split_learned_disk,13,1,1,91.01,91.01,91.01
16,96.00,32.34833051,109.64690184,32.35236373,109.64463516,32.35236373,109.64463516,0.5800,497.00,1,16,split_learned_disk,12,1,9,566.96,66.50,66.50
17,99.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,868.61,541.86,541.86
18,102.00,32.35228861,109.63865354,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,562.53,1,35,split_learned_disk,13,1,-1,499.58,499.58,499.58
19,105.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,948.56,627.99,627.99
20,108.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,999.42,683.16,683.16
21,111.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,989.12,217.86,217.86
22,114.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,1036.30,178.06,178.06
23,118.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,1084.29,638.21,638.21
24,121.00,32.34866318,109.63638687,32.35236373,109.64463516,32.35236373,109.64463516,0.6033,878.22,1,12,split_learned_disk,13,1,-1,1132.98,763.06,763.06
25,124.00,32.34866318,109.63638687,32.35236373,109.64463516,32.34866318,109.63638687,0.6033,878.22,1,12,split_learned_disk,13,1,-1,1192.21,783.02,783.02
26,127.00,32.34866318,109.63638687,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,0.00,0,12,split_learned_disk,13,1,-1,1242.16,803.53,803.53
27,130.00,32.36622162,109.63555575,32.34866318,109.63638687,32.34866318,109.63638687,0.5333,1956.17,1,121,split_learned_disk,10,1,5,1045.40,49.38,49.38
28,133.00,32.35228861,109.63865354,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,456.41,1,35,split_learned_disk,13,1,-1,866.17,866.17,866.17
29,137.00,32.35180571,109.64626664,32.34866318,109.63638687,32.34866318,109.63638687,0.5333,992.70,1,38,split_learned_disk,10,1,4,956.19,97.09,97.09
30,140.00,32.35236373,109.64463516,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,878.22,1,37,split_learned_disk,13,1,-1,966.68,356.44,356.44
31,143.00,32.36254252,109.65355477,32.34866318,109.63638687,32.34866318,109.63638687,0.5100,2234.56,1,108,split_learned_disk,9,1,-1,1172.58,261.80,261.80
32,146.00,32.34866318,109.63638687,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,0.00,0,12,split_learned_disk,13,1,-1,1506.15,366.48,366.48
33,149.00,32.35247104,109.64807597,32.34866318,109.63638687,32.34866318,109.63638687,0.6500,1178.06,1,39,split_learned_disk,15,1,-1,1296.18,316.44,316.44
34,152.00,32.34778322,109.64421593,32.34866318,109.63638687,32.34866318,109.63638687,0.5567,742.67,1,15,split_learned_disk,11,1,-1,1596.34,426.58,426.58
35,155.00,32.34866318,109.63638687,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,0.00,0,12,split_learned_disk,13,1,-1,1679.92,645.29,645.29
36,158.00,32.35236373,109.64463516,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,878.22,1,37,split_learned_disk,13,1,-1,1322.97,180.02,180.02
37,161.00,32.36871576,109.64127593,32.34866318,109.63638687,32.34866318,109.63638687,0.5800,2279.10,1,135,split_learned_disk,12,1,-1,448.32,250.66,250.66
38,164.00,32.36871576,109.64127593,32.34866318,109.63638687,32.34866318,109.63638687,0.5800,2279.10,1,135,split_learned_disk,12,1,-1,415.87,413.91,413.91
39,168.00,32.36871576,109.64127593,32.34866318,109.63638687,32.34866318,109.63638687,0.5800,2279.10,1,135,split_learned_disk,12,1,6,364.22,144.90,144.90
40,171.00,32.34866318,109.63638687,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,0.00,0,12,split_learned_disk,13,1,-1,1949.45,351.57,351.57
41,174.00,32.34866318,109.63638687,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,0.00,0,12,split_learned_disk,13,1,10,2004.64,56.15,56.15
42,178.00,32.36871576,109.64127593,32.34866318,109.63638687,32.34866318,109.63638687,0.5800,2279.10,1,135,split_learned_disk,12,1,7,213.01,70.40,70.40
43,182.00,32.35687364,109.65245687,32.34866318,109.63638687,32.34866318,109.63638687,0.5800,1766.01,1,74,split_learned_disk,12,1,5,1587.60,113.82,113.82
44,186.00,32.34786907,109.65716808,32.34866318,109.63638687,32.34866318,109.63638687,0.5100,1956.10,1,21,split_learned_disk,9,1,4,2707.79,59.35,59.35
45,189.00,32.36495082,109.65152947,32.34866318,109.63638687,32.34866318,109.63638687,0.5100,2305.42,1,118,split_learned_disk,9,1,-1,1305.48,214.60,214.60
46,192.00,32.34866318,109.63638687,32.34866318,109.63638687,32.34866318,109.63638687,0.6033,0.00,0,12,split_learned_disk,13,1,8,2283.47,128.30,128.30
47,196.00,32.36871576,109.64127593,32.34866318,109.63638687,32.34866318,109.63638687,0.5800,2279.10,1,135,split_learned_disk,12,1,-1,273.82,273.82,273.82
