Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,3.00,29.72572053,115.99180983,29.76100000,115.97500000,29.76100000,115.97500000,0.6733,4250.16,1,166,split_learned,16,1,-1,4158.90,1026.23,1026.23
2,7.00,29.70390351,115.99155030,29.76100000,115.97500000,29.76100000,115.97500000,0.5333,6554.21,1,10,split_learned,10,1,-1,6368.54,602.68,602.68
3,10.00,29.70390351,115.99155030,29.76100000,115.97500000,29.76100000,115.97500000,0.5333,6554.21,1,10,split_learned,10,1,-1,6293.08,5906.72,5906.72
4,14.00,29.77362386,115.98290305,29.76100000,115.97500000,29.76100000,115.97500000,0.5100,1599.49,1,500,split_learned,9,1,-1,1766.61,626.52,626.52
5,17.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_learned,0,0,-1,,,
6,21.00,29.76100000,115.97500000,29.76100000,115.97500000,29.76100000,115.97500000,0.0000,0.00,0,-1,split_learned,0,0,-1,,,
7,24.00,29.71274259,115.97447303,29.76100000,115.97500000,29.76100000,115.97500000,0.4633,5372.26,1,53,split_learned,7,1,-1,4985.20,1909.39,1909.39
8,28.00,29.75207965,115.99552788,29.76100000,115.97500000,29.76100000,115.97500000,0.4867,2218.82,1,363,split_learned,8,1,-1,2001.21,702.68,702.68
9,31.00,29.75220843,115.98142714,29.76100000,115.97500000,29.76100000,115.97500000,0.5100,1159.20,1,356,split_learned,9,1,-1,616.32,613.67,613.67
10,34.00,29.72572053,115.99180983,29.76100000,115.97500000,29.76100000,115.97500000,0.6733,4250.16,1,166,split_learned,16,1,-1,3510.18,593.87,593.87
11,38.00,29.72572053,115.99180983,29.76100000,115.97500000,29.76100000,115.97500000,0.6733,4250.16,1,166,split_learned,16,1,-1,3440.75,581.08,581.08
12,41.00,29.72572053,115.99180983,29.76100000,115.97500000,29.72572053,115.99180983,0.6733,4250.16,1,166,split_learned,16,1,-1,3371.70,578.60,578.60
13,44.00,29.75220843,115.98142714,29.72572053,115.99180983,29.72572053,115.99180983,0.5100,3114.74,1,356,split_learned,9,1,-1,586.55,205.16,205.16
14,48.00,29.75220843,115.98142714,29.72572053,115.99180983,29.72572053,115.99180983,0.5100,3114.74,1,356,split_learned,9,1,-1,604.53,604.53,604.53
15,51.00,29.72019116,115.99529307,29.72572053,115.99180983,29.72572053,115.99180983,0.5567,701.59,1,129,split_learned,11,1,-1,3886.83,1155.60,1155.60
16,55.00,29.75220843,115.98142714,29.72572053,115.99180983,29.72572053,115.99180983,0.5100,3114.74,1,356,split_learned,9,1,-1,666.86,503.40,503.40
17,58.00,29.72486824,115.97270573,29.72572053,115.99180983,29.72572053,115.99180983,0.5800,1849.02,1,144,split_learned,12,1,4,2787.60,30.41,30.41
18,62.00,29.75981343,115.97504675,29.72572053,115.99180983,29.72572053,115.99180983,0.4167,4126.63,1,405,split_learned,5,1,-1,1299.34,1299.34,1299.34
19,65.00,29.76280573,115.97323716,29.72572053,115.99180983,29.72572053,115.99180983,0.4400,4501.77,1,430,split_learned,6,1,-1,1790.87,1790.87,1790.87
