Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,0.700,4.2,4.2,6.0,orb
1,31.776754,35.234563,31.776677,35.234473,0.700,8.5,8.5,12.0,orb
2,31.776792,35.234608,31.776677,35.234473,0.700,12.7,12.7,18.0,orb
3,31.776830,35.234653,31.776804,35.234622,0.280,2.9,2.9,4.1,orb
4,31.776868,35.234698,31.776861,35.234689,0.280,0.8,0.8,1.2,orb
5,31.776906,35.234742,31.776905,35.234742,0.700,0.1,0.1,0.1,orb
6,31.776944,35.234787,31.776919,35.234757,0.700,2.8,2.8,4.0,orb
7,31.776982,35.234832,31.776923,35.234762,0.700,6.6,6.6,9.4,orb
8,31.777020,35.234877,31.776924,35.234763,0.700,10.7,10.7,15.2,orb
9,31.777059,35.234922,31.777042,35.234902,0.280,1.9,1.9,2.6,orb
10,31.777097,35.234967,31.777096,35.234966,0.280,0.1,0.1,0.1,orb
11,31.777135,35.235011,31.777149,35.235028,0.700,-1.6,-1.6,2.2,orb
12,31.777173,35.235056,31.777165,35.235047,0.700,0.9,0.9,1.3,orb
13,31.777211,35.235101,31.777169,35.235052,0.700,4.6,4.6,6.5,orb
14,31.777249,35.235146,31.777171,35.235054,0.700,8.7,8.7,12.3,orb
15,31.777287,35.235191,31.777171,35.235054,0.700,12.9,12.9,18.3,orb
16,31.777325,35.235236,31.777299,35.235204,0.280,3.0,3.0,4.2,orb
17,31.777363,35.235280,31.777304,35.235210,0.280,6.7,6.7,9.4,orb
18,31.777402,35.235325,31.777376,35.235295,0.280,2.9,2.9,4.1,orb
19,31.777440,35.235370,31.777406,35.235330,0.700,3.8,3.8,5.4,orb
20,31.777478,35.235415,31.777415,35.235341,0.700,7.0,7.0,9.9,orb
21,31.777516,35.235460,31.777417,35.235344,0.700,11.0,11.0,15.5,orb
22,31.777554,35.235505,31.777536,35.235484,0.280,2.0,2.0,2.8,orb
23,31.777592,35.235549,31.777591,35.235548,0.280,0.1,0.1,0.2,orb
24,31.777630,35.235594,31.777643,35.235609,0.700,-1.4,-1.4,2.0,orb
25,31.777668,35.235639,31.777659,35.235628,0.700,1.1,1.1,1.5,orb
26,31.777706,35.235684,31.777664,35.235633,0.700,4.8,4.8,6.8,orb
27,31.777745,35.235729,31.777756,35.235742,0.280,-1.2,-1.2,1.7,orb
28,31.777783,35.235774,31.777802,35.235796,0.280,-2.1,-2.1,3.0,orb
29,31.777821,35.235818,31.777879,35.235887,0.700,-6.5,-6.5,9.2,orb
30,31.777859,35.235863,31.777903,35.235915,0.700,-4.9,-4.9,6.9,orb
31,31.777897,35.235908,31.777910,35.235923,0.700,-1.4,-1.4,2.0,orb
32,31.777935,35.235953,31.777912,35.235925,0.700,2.6,2.6,3.7,orb
33,31.777973,35.235998,31.777912,35.235926,0.700,6.8,6.8,9.6,orb
34,31.778011,35.236043,31.777912,35.235926,0.700,11.0,11.0,15.6,orb
35,31.778049,35.236087,31.777913,35.235926,0.700,15.2,15.2,21.6,orb
36,31.778088,35.236132,31.778050,35.236088,0.280,4.2,4.2,5.9,orb
37,31.778126,35.236177,31.778127,35.236178,0.700,-0.1,-0.1,0.2,orb
38,31.778164,35.236222,31.778150,35.236205,0.700,1.6,1.6,2.2,orb
39,31.778202,35.236267,31.778157,35.236213,0.700,5.0,5.0,7.1,orb
40,31.778240,35.236312,31.778159,35.236216,0.700,9.1,9.1,12.8,orb
41,31.778278,35.236356,31.778159,35.236217,0.700,13.2,13.2,18.7,orb
42,31.778316,35.236401,31.778159,35.236217,0.700,17.5,17.5,24.7,orb
43,31.778354,35.236446,31.778160,35.236217,0.700,21.7,21.7,30.7,orb
44,31.778392,35.236491,31.778160,35.236217,0.700,25.9,25.9,36.7,orb
45,31.778431,35.236536,31.778344,35.236434,0.280,9.6,9.6,13.6,orb
46,31.778469,35.236581,31.778388,35.236485,0.700,9.0,9.0,12.7,orb
47,31.778507,35.236625,31.778401,35.236501,0.700,11.8,11.8,16.7,orb
48,31.778545,35.236670,31.778525,35.236646,0.280,2.3,2.3,3.2,orb
49,31.778583,35.236715,31.778580,35.236712,0.280,0.3,0.3,0.4,orb
50,31.778621,35.236760,31.778632,35.236772,0.700,-1.2,-1.2,1.6,orb
51,31.778659,35.236805,31.778647,35.236790,0.700,1.4,1.4,1.9,orb
52,31.778697,35.236850,31.778652,35.236796,0.700,5.1,5.1,7.2,orb
53,31.778735,35.236894,31.778653,35.236797,0.700,9.2,9.2,13.0,orb
54,31.778774,35.236939,31.778653,35.236798,0.700,13.4,13.4,18.9,orb
55,31.778812,35.236984,31.778777,35.236944,0.280,3.8,3.8,5.4,orb
56,31.778850,35.237029,31.778812,35.236984,0.280,4.3,4.3,6.0,orb
