Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Current_Waypoint,Algorithm
0,31.776718,35.234515,31.776677,35.234473,0.750,4.6,3.9,6.0,1,dnn
1,31.776760,35.234556,31.776677,35.234473,0.750,9.1,7.8,12.0,1,dnn
2,31.776801,35.234597,31.776872,35.234668,0.750,-7.9,-6.8,10.4,1,dnn
3,31.776842,35.234638,31.776930,35.234726,0.750,-9.9,-8.4,12.9,1,dnn
4,31.776883,35.234679,31.776948,35.234744,0.750,-7.2,-6.2,9.5,1,dnn
5,31.776924,35.234720,31.776953,35.234749,0.750,-3.3,-2.8,4.3,1,dnn
6,31.776965,35.234761,31.776955,35.234751,0.750,1.1,1.0,1.5,1,dnn
7,31.777006,35.234802,31.776955,35.234751,0.750,5.7,4.8,7.4,1,dnn
8,31.777047,35.234843,31.777344,35.234751,0.750,-33.1,8.7,34.2,1,dnn
9,31.777088,35.234884,31.777461,35.234751,0.750,-41.5,12.6,43.4,1,dnn
10,31.777129,35.234925,31.777691,35.234557,0.750,-62.5,34.9,71.6,1,dnn
11,31.777170,35.234966,31.777370,35.234888,0.750,-22.3,7.4,23.5,1,dnn
12,31.777215,35.234931,31.777274,35.234987,0.750,-6.6,-5.3,8.5,2,dnn
13,31.777259,35.234895,31.777440,35.234822,0.750,-20.1,6.9,21.3,2,dnn
14,31.777304,35.234860,31.777101,35.234773,0.750,22.6,8.2,24.1,2,dnn
15,31.777349,35.234824,31.777388,35.234758,0.750,-4.4,6.3,7.7,2,dnn
16,31.777393,35.234789,31.777474,35.234753,0.750,-9.0,3.3,9.6,2,dnn
17,31.777438,35.234753,31.777500,35.234752,0.750,-6.9,0.1,6.9,2,dnn
18,31.777483,35.234717,31.777508,35.234752,0.750,-2.8,-3.2,4.3,2,dnn
19,31.777527,35.234682,31.777510,35.234751,0.750,1.9,-6.6,6.8,2,dnn
20,31.777572,35.234646,31.777511,35.234751,0.750,6.8,-9.9,12.0,2,dnn
21,31.777617,35.234611,31.777511,35.234751,0.750,11.7,-13.3,17.7,2,dnn
22,31.777661,35.234575,31.777706,35.234557,0.750,-4.9,1.7,5.2,2,dnn
23,31.777706,35.234540,31.777764,35.234498,0.750,-6.5,3.9,7.6,2,dnn
24,31.777750,35.234504,31.777782,35.234481,0.750,-3.5,2.2,4.1,2,dnn
25,31.777794,35.234542,31.777787,35.234476,0.750,0.8,6.3,6.3,3,dnn
26,31.777837,35.234580,31.777788,35.234474,0.750,5.4,10.1,11.4,3,dnn
27,31.777880,35.234618,31.777594,35.234668,0.750,31.8,-4.7,32.1,3,dnn
28,31.777923,35.234656,31.777536,35.234726,0.750,43.1,-6.6,43.6,3,dnn
29,31.777966,35.234695,31.777519,35.234744,0.750,49.8,-4.7,50.0,3,dnn
30,31.778009,35.234733,31.777902,35.234749,0.750,11.9,-1.6,12.0,3,dnn
31,31.778052,35.234771,31.778018,35.234751,0.750,3.8,1.9,4.3,3,dnn
32,31.778095,35.234809,31.778052,35.234751,0.750,4.8,5.5,7.3,3,dnn
33,31.778138,35.234847,31.777868,35.234557,0.750,30.1,27.5,40.7,3,dnn
34,31.778181,35.234885,31.777813,35.234498,0.750,41.0,36.6,55.0,3,dnn
35,31.778225,35.234923,31.777796,35.234481,0.750,47.7,41.8,63.4,3,dnn
36,31.778268,35.234961,31.778180,35.234865,0.750,9.7,9.1,13.3,3,dnn
37,31.778311,35.234999,31.778295,35.234980,0.750,1.7,1.8,2.5,3,dnn
38,31.778354,35.234961,31.778330,35.235014,0.750,2.6,-5.1,5.7,4,dnn
39,31.778397,35.234923,31.778340,35.235025,0.750,6.3,-9.7,11.5,4,dnn
40,31.778440,35.234884,31.777760,35.234833,0.750,75.7,4.8,75.8,4,dnn
41,31.778483,35.234846,31.777586,35.234776,0.750,99.8,6.6,100.1,4,dnn
42,31.778526,35.234808,31.778312,35.234759,0.750,23.8,4.6,24.3,4,dnn
43,31.778569,35.234769,31.778529,35.234754,0.750,4.4,1.5,4.6,4,dnn
44,31.778611,35.234731,31.778595,35.234752,0.750,1.9,-2.0,2.7,4,dnn
45,31.778654,35.234693,31.778614,35.234752,0.750,4.5,-5.6,7.1,4,dnn
46,31.778697,35.234655,31.778620,35.234751,0.750,8.6,-9.2,12.6,4,dnn
47,31.778740,35.234616,31.778038,35.234557,0.750,78.1,5.6,78.3,4,dnn
48,31.778783,35.234578,31.778642,35.234563,0.750,15.7,1.4,15.8,4,dnn
49,31.778826,35.234540,31.778823,35.234565,0.750,0.4,-2.4,2.4,4,dnn
50,31.778869,35.234501,31.778877,35.234501,0.750,-0.9,0.0,0.9,4,dnn
51,31.778877,35.234564,31.778894,35.234547,0.750,-1.8,1.7,2.5,5,dnn
52,31.778885,35.234627,31.778899,35.234625,0.750,-1.5,0.2,1.5,5,dnn
53,31.778893,35.234690,31.778900,35.234649,0.750,-0.8,3.9,4.0,5,dnn
54,31.778901,35.234752,31.778900,35.234721,0.750,0.0,3.0,3.0,6,dnn
