Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,0.763,4.2,4.2,6.0,hybrid
1,31.776754,35.234563,31.776677,35.234473,0.745,8.5,8.5,12.0,hybrid
2,31.776792,35.234608,31.776785,35.234600,0.239,0.7,0.7,1.0,hybrid
3,31.776830,35.234653,31.776836,35.234660,0.366,-0.7,-0.7,1.0,hybrid
4,31.776868,35.234698,31.776898,35.234733,0.512,-3.3,-3.3,4.7,hybrid
5,31.776906,35.234742,31.776917,35.234755,0.863,-1.2,-1.2,1.6,hybrid
6,31.776944,35.234787,31.776922,35.234761,0.869,2.5,2.5,3.5,hybrid
7,31.776982,35.234832,31.776924,35.234763,0.540,6.5,6.5,9.2,hybrid
8,31.777020,35.234877,31.776924,35.234764,0.564,10.7,10.7,15.1,hybrid
9,31.777059,35.234922,31.777042,35.234902,0.148,1.8,1.8,2.6,hybrid
10,31.777097,35.234967,31.777096,35.234966,0.221,0.1,0.1,0.1,hybrid
11,31.777135,35.235011,31.777149,35.235028,0.595,-1.6,-1.6,2.2,hybrid
12,31.777173,35.235056,31.777165,35.235047,1.000,0.9,0.9,1.3,hybrid
13,31.777211,35.235101,31.777169,35.235052,1.000,4.6,4.6,6.5,hybrid
14,31.777249,35.235146,31.777171,35.235054,1.000,8.7,8.7,12.3,hybrid
15,31.777287,35.235191,31.777171,35.235054,0.835,12.9,12.9,18.3,hybrid
16,31.777325,35.235236,31.777299,35.235204,0.370,3.0,3.0,4.2,hybrid
17,31.777363,35.235280,31.777356,35.235271,0.202,0.9,0.9,1.2,hybrid
18,31.777402,35.235325,31.777400,35.235323,0.862,0.2,0.2,0.3,hybrid
19,31.777440,35.235370,31.777413,35.235339,0.774,3.0,3.0,4.2,hybrid
20,31.777478,35.235415,31.777417,35.235343,1.000,6.8,6.8,9.6,hybrid
21,31.777516,35.235460,31.777418,35.235345,1.000,10.9,10.9,15.4,hybrid
22,31.777554,35.235505,31.777418,35.235345,0.885,15.1,15.1,21.4,hybrid
23,31.777592,35.235549,31.777555,35.235506,0.319,4.1,4.1,5.8,hybrid
24,31.777630,35.235594,31.777632,35.235597,0.580,-0.3,-0.3,0.4,hybrid
25,31.777668,35.235639,31.777656,35.235624,0.873,1.4,1.4,2.0,hybrid
26,31.777706,35.235684,31.777663,35.235632,0.549,4.9,4.9,6.9,hybrid
27,31.777745,35.235729,31.777665,35.235635,0.657,8.9,8.9,12.6,hybrid
28,31.777783,35.235774,31.777775,35.235764,0.211,0.9,0.9,1.3,hybrid
29,31.777821,35.235818,31.777826,35.235825,0.321,-0.6,-0.6,0.8,hybrid
30,31.777859,35.235863,31.777887,35.235896,0.578,-3.1,-3.1,4.4,hybrid
31,31.777897,35.235908,31.777905,35.235917,0.888,-0.9,-0.9,1.2,hybrid
32,31.777935,35.235953,31.777910,35.235924,0.803,2.8,2.8,3.9,hybrid
33,31.777973,35.235998,31.777912,35.235926,0.526,6.8,6.8,9.7,hybrid
34,31.778011,35.236043,31.777912,35.235926,0.868,11.0,11.0,15.6,hybrid
35,31.778049,35.236087,31.778031,35.236066,0.327,2.0,2.0,2.8,hybrid
36,31.778088,35.236132,31.778086,35.236130,0.203,0.2,0.2,0.3,hybrid
37,31.778126,35.236177,31.778137,35.236191,0.788,-1.3,-1.3,1.9,hybrid
38,31.778164,35.236222,31.778153,35.236209,1.000,1.2,1.2,1.7,hybrid
39,31.778202,35.236267,31.778158,35.236215,0.796,4.9,4.9,7.0,hybrid
40,31.778240,35.236312,31.778159,35.236216,0.541,9.0,9.0,12.8,hybrid
41,31.778278,35.236356,31.778159,35.236217,0.628,13.2,13.2,18.7,hybrid
42,31.778316,35.236401,31.778288,35.236368,0.194,3.1,3.1,4.4,hybrid
43,31.778354,35.236446,31.778345,35.236436,0.296,1.0,1.0,1.4,hybrid
44,31.778392,35.236491,31.778388,35.236486,0.821,0.5,0.5,0.7,hybrid
45,31.778431,35.236536,31.778401,35.236501,0.817,3.3,3.3,4.6,hybrid
46,31.778469,35.236581,31.778405,35.236506,0.741,7.1,7.1,10.0,hybrid
47,31.778507,35.236625,31.778406,35.236507,0.470,11.2,11.2,15.9,hybrid
48,31.778545,35.236670,31.778406,35.236507,0.367,15.4,15.4,21.8,hybrid
49,31.778583,35.236715,31.778545,35.236670,0.125,4.2,4.2,6.0,hybrid
50,31.778621,35.236760,31.778621,35.236760,0.377,0.0,0.0,0.0,hybrid
51,31.778659,35.236805,31.778644,35.236787,1.000,1.7,1.7,2.4,hybrid
52,31.778697,35.236850,31.778651,35.236795,0.343,5.2,5.2,7.4,hybrid
53,31.778735,35.236894,31.778653,35.236797,0.300,9.2,9.2,13.0,hybrid
54,31.778774,35.236939,31.778653,35.236798,0.300,13.4,13.4,18.9,hybrid
55,31.778812,35.236984,31.778777,35.236944,0.120,3.8,3.8,5.4,hybrid
56,31.778850,35.237029,31.778832,35.237008,0.120,1.9,1.9,2.8,hybrid
