Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Algorithm
0,31.776716,35.234518,31.776677,35.234473,0.913,4.2,4.2,6.0,orb
1,31.776754,35.234563,31.776677,35.234473,0.745,8.5,8.5,12.0,orb
2,31.776792,35.234608,31.776785,35.234600,0.239,0.7,0.7,1.0,orb
3,31.776830,35.234653,31.776836,35.234660,0.366,-0.7,-0.7,1.0,orb
4,31.776868,35.234698,31.776898,35.234733,1.000,-3.3,-3.3,4.7,orb
5,31.776906,35.234742,31.776917,35.234755,1.000,-1.2,-1.2,1.6,orb
6,31.776944,35.234787,31.776922,35.234761,1.000,2.5,2.5,3.5,orb
7,31.776982,35.234832,31.776924,35.234763,1.000,6.5,6.5,9.2,orb
8,31.777020,35.234877,31.776924,35.234764,0.564,10.7,10.7,15.1,orb
9,31.777059,35.234922,31.777042,35.234902,0.148,1.8,1.8,2.6,orb
10,31.777097,35.234967,31.777096,35.234966,0.221,0.1,0.1,0.1,orb
11,31.777135,35.235011,31.777149,35.235028,0.887,-1.6,-1.6,2.2,orb
12,31.777173,35.235056,31.777165,35.235047,1.000,0.9,0.9,1.3,orb
13,31.777211,35.235101,31.777169,35.235052,1.000,4.6,4.6,6.5,orb
14,31.777249,35.235146,31.777171,35.235054,1.000,8.7,8.7,12.3,orb
15,31.777287,35.235191,31.777171,35.235054,0.835,12.9,12.9,18.3,orb
16,31.777325,35.235236,31.777299,35.235204,0.370,3.0,3.0,4.2,orb
17,31.777363,35.235280,31.777356,35.235271,0.400,0.9,0.9,1.2,orb
18,31.777402,35.235325,31.777400,35.235323,1.000,0.2,0.2,0.3,orb
19,31.777440,35.235370,31.777413,35.235339,1.000,3.0,3.0,4.2,orb
20,31.777478,35.235415,31.777417,35.235343,1.000,6.8,6.8,9.6,orb
21,31.777516,35.235460,31.777418,35.235345,1.000,10.9,10.9,15.4,orb
22,31.777554,35.235505,31.777418,35.235345,0.885,15.1,15.1,21.4,orb
23,31.777592,35.235549,31.777555,35.235506,0.319,4.1,4.1,5.8,orb
24,31.777630,35.235594,31.777632,35.235597,1.000,-0.3,-0.3,0.4,orb
25,31.777668,35.235639,31.777656,35.235624,1.000,1.4,1.4,2.0,orb
26,31.777706,35.235684,31.777663,35.235632,0.965,4.9,4.9,6.9,orb
27,31.777745,35.235729,31.777665,35.235635,0.657,8.9,8.9,12.6,orb
28,31.777783,35.235774,31.777775,35.235764,0.211,0.9,0.9,1.3,orb
29,31.777821,35.235818,31.777826,35.235825,0.321,-0.6,-0.6,0.8,orb
30,31.777859,35.235863,31.777887,35.235896,1.000,-3.1,-3.1,4.4,orb
31,31.777897,35.235908,31.777905,35.235917,1.000,-0.9,-0.9,1.2,orb
32,31.777935,35.235953,31.777910,35.235924,1.000,2.8,2.8,3.9,orb
33,31.777973,35.235998,31.777912,35.235926,1.000,6.8,6.8,9.7,orb
34,31.778011,35.236043,31.777912,35.235926,0.868,11.0,11.0,15.6,orb
35,31.778049,35.236087,31.778031,35.236066,0.327,2.0,2.0,2.8,orb
36,31.778088,35.236132,31.778086,35.236130,0.400,0.2,0.2,0.3,orb
37,31.778126,35.236177,31.778137,35.236191,1.000,-1.3,-1.3,1.9,orb
38,31.778164,35.236222,31.778153,35.236209,1.000,1.2,1.2,1.7,orb
39,31.778202,35.236267,31.778158,35.236215,1.000,4.9,4.9,7.0,orb
40,31.778240,35.236312,31.778159,35.236216,1.000,9.0,9.0,12.8,orb
41,31.778278,35.236356,31.778159,35.236217,0.628,13.2,13.2,18.7,orb
42,31.778316,35.236401,31.778288,35.236368,0.188,3.1,3.1,4.4,orb
43,31.778354,35.236446,31.778345,35.236436,0.225,1.0,1.0,1.4,orb
44,31.778392,35.236491,31.778388,35.236486,0.640,0.5,0.5,0.7,orb
45,31.778431,35.236536,31.778401,35.236501,0.460,3.3,3.3,4.6,orb
46,31.778469,35.236581,31.778405,35.236506,0.340,7.1,7.1,10.0,orb
47,31.778507,35.236625,31.778406,35.236507,0.300,11.2,11.2,15.9,orb
48,31.778545,35.236670,31.778526,35.236648,0.120,2.1,2.1,3.0,orb
49,31.778583,35.236715,31.778581,35.236712,0.120,0.3,0.3,0.4,orb
50,31.778621,35.236760,31.778632,35.236772,0.308,-1.2,-1.2,1.7,orb
51,31.778659,35.236805,31.778647,35.236790,0.360,1.4,1.4,1.9,orb
52,31.778697,35.236850,31.778652,35.236796,0.318,5.1,5.1,7.2,orb
53,31.778735,35.236894,31.778653,35.236797,0.300,9.2,9.2,13.0,orb
54,31.778774,35.236939,31.778653,35.236798,0.300,13.4,13.4,18.9,orb
55,31.778812,35.236984,31.778777,35.236944,0.120,3.8,3.8,5.4,orb
56,31.778850,35.237029,31.778832,35.237008,0.120,1.9,1.9,2.8,orb
