Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Current_Waypoint,Algorithm
0,31.776718,35.234515,31.776677,35.234473,0.634,4.6,3.9,6.0,1,template
1,31.776760,35.234556,31.776677,35.234473,0.384,9.1,7.8,12.0,1,template
2,31.776801,35.234597,31.776677,35.234473,0.182,13.7,11.7,18.0,1,template
3,31.776842,35.234638,31.776872,35.234668,0.245,-3.4,-2.9,4.4,1,template
4,31.776883,35.234679,31.776930,35.234726,0.460,-5.3,-4.5,6.9,1,template
5,31.776924,35.234720,31.776948,35.234744,0.689,-2.7,-2.3,3.5,1,template
6,31.776965,35.234761,31.776953,35.234749,0.829,1.3,1.1,1.7,1,template
7,31.777006,35.234802,31.776955,35.234751,0.571,5.7,4.9,7.5,1,template
8,31.777047,35.234843,31.776955,35.234751,0.381,10.2,8.7,13.4,1,template
9,31.777088,35.234884,31.777344,35.234751,0.306,-28.5,12.6,31.2,1,template
10,31.777129,35.234925,31.777267,35.234946,0.263,-15.3,-2.0,15.4,1,template
11,31.777170,35.234966,31.777243,35.235004,0.434,-8.1,-3.6,8.9,1,template
12,31.777215,35.234931,31.777236,35.235022,0.480,-2.4,-8.6,8.9,2,template
13,31.777259,35.234895,31.777234,35.235027,0.454,2.8,-12.5,12.8,2,template
14,31.777304,35.234860,31.777234,35.235029,0.406,7.9,-16.0,17.8,2,template
15,31.777349,35.234824,31.777428,35.234835,0.384,-8.8,-1.0,8.9,2,template
16,31.777393,35.234789,31.777486,35.234776,0.460,-10.3,1.2,10.4,2,template
17,31.777438,35.234753,31.777504,35.234759,0.500,-7.3,-0.6,7.3,2,template
18,31.777483,35.234717,31.777509,35.234754,0.583,-2.9,-3.4,4.5,2,template
19,31.777527,35.234682,31.777510,35.234752,0.470,1.9,-6.6,6.9,2,template
20,31.777572,35.234646,31.777511,35.234752,0.371,6.8,-10.0,12.0,2,template
21,31.777617,35.234611,31.777511,35.234751,0.287,11.7,-13.3,17.7,2,template
22,31.777661,35.234575,31.777122,35.234751,0.242,60.0,-16.7,62.3,2,template
23,31.777706,35.234540,31.777589,35.234557,0.277,13.0,-1.6,13.1,2,template
24,31.777750,35.234504,31.777729,35.234498,0.529,2.4,0.5,2.4,2,template
25,31.777794,35.234542,31.777771,35.234481,0.337,2.5,5.8,6.3,3,template
26,31.777837,35.234580,31.777200,35.234670,0.142,70.9,-8.5,71.4,3,template
27,31.777880,35.234618,31.777029,35.234727,0.159,94.7,-10.3,95.3,3,template
28,31.777923,35.234656,31.776977,35.234744,0.174,105.3,-8.3,105.6,3,template
29,31.777966,35.234695,31.776962,35.234749,0.177,111.8,-5.2,111.9,3,template
30,31.778009,35.234733,31.777735,35.234751,0.285,30.5,-1.7,30.5,3,template
31,31.778052,35.234771,31.777967,35.234751,0.577,9.4,1.8,9.6,3,template
32,31.778095,35.234809,31.778037,35.234751,0.314,6.5,5.4,8.5,3,template
33,31.778138,35.234847,31.778447,35.234751,0.194,-34.4,9.0,35.5,3,template
34,31.778181,35.234885,31.778570,35.234751,0.168,-43.3,12.6,45.1,3,template
35,31.778225,35.234923,31.777829,35.234751,0.171,44.1,16.2,47.0,3,template
36,31.778268,35.234961,31.777217,35.234751,0.153,116.9,19.8,118.6,3,template
37,31.778311,35.234999,31.778007,35.234946,0.358,33.9,5.0,34.2,3,template
38,31.778354,35.234961,31.778243,35.235004,0.266,12.3,-4.1,13.0,4,template
39,31.778397,35.234923,31.778314,35.235022,0.185,9.2,-9.4,13.1,4,template
40,31.778440,35.234884,31.778336,35.235027,0.163,11.6,-13.5,17.8,4,template
41,31.778483,35.234846,31.778731,35.234834,0.173,-27.7,1.1,27.7,4,template
42,31.778526,35.234808,31.777877,35.234776,0.147,72.2,3.0,72.2,4,template
43,31.778569,35.234769,31.778399,35.234759,0.308,18.9,1.0,18.9,4,template
44,31.778611,35.234731,31.778556,35.234754,0.550,6.2,-2.1,6.6,4,template
45,31.778654,35.234693,31.778603,35.234752,0.135,5.8,-5.6,8.0,4,template
46,31.778697,35.234655,31.777839,35.234752,0.099,95.6,-9.2,96.0,4,template
47,31.778740,35.234616,31.777609,35.234751,0.134,125.9,-12.8,126.6,4,template
48,31.778783,35.234578,31.777541,35.234751,0.144,138.3,-16.4,139.3,4,template
49,31.778826,35.234540,31.778493,35.234622,0.142,37.1,-7.8,37.9,4,template
50,31.778869,35.234501,31.778778,35.234518,0.381,10.1,-1.6,10.3,4,template
51,31.778877,35.234564,31.778864,35.234552,0.480,1.5,1.2,1.9,5,template
52,31.778885,35.234627,31.778890,35.234627,0.426,-0.5,0.0,0.5,5,template
53,31.778893,35.234690,31.778897,35.234649,0.482,-0.5,3.8,3.9,5,template
54,31.778901,35.234752,31.778900,35.234721,1.000,0.1,3.0,3.0,6,template
