Step,Actual_Lat,Actual_Lng,Estimated_Lat,Estimated_Lng,Match_Confidence,Lat_Error_M,Lng_Error_M,Error_M,Current_Waypoint
0,31.776718,35.234515,31.776677,35.234473,0.700,4.6,3.9,6.0,1
1,31.776760,35.234556,31.776677,35.234473,0.700,9.1,7.8,12.0,1
2,31.776801,35.234597,31.776677,35.234473,0.700,13.7,11.7,18.0,1
3,31.776842,35.234638,31.776872,35.234668,0.700,-3.4,-2.9,4.4,1
4,31.776883,35.234679,31.776930,35.234726,0.700,-5.3,-4.5,6.9,1
5,31.776924,35.234720,31.776948,35.234744,0.700,-2.7,-2.3,3.5,1
6,31.776965,35.234761,31.776953,35.234749,0.829,1.3,1.1,1.7,1
7,31.777006,35.234802,31.776955,35.234751,0.700,5.7,4.9,7.5,1
8,31.777047,35.234843,31.776955,35.234751,0.700,10.2,8.7,13.4,1
9,31.777088,35.234884,31.776955,35.234751,0.700,14.8,12.6,19.4,1
10,31.777129,35.234925,31.777150,35.234946,0.700,-2.3,-2.0,3.0,1
11,31.777170,35.234966,31.777208,35.235004,0.700,-4.2,-3.6,5.6,1
12,31.777215,35.234931,31.777226,35.235022,0.700,-1.2,-8.6,8.7,2
13,31.777259,35.234895,31.777231,35.235027,0.700,3.2,-12.5,12.9,2
14,31.777304,35.234860,31.777233,35.235029,0.700,8.0,-16.0,17.9,2
15,31.777349,35.234824,31.777233,35.235029,0.700,12.9,-19.4,23.3,2
16,31.777393,35.234789,31.777428,35.234835,0.700,-3.8,-4.4,5.8,2
17,31.777438,35.234753,31.777486,35.234776,0.700,-5.4,-2.2,5.8,2
18,31.777483,35.234717,31.777504,35.234759,0.700,-2.3,-3.9,4.6,2
19,31.777527,35.234682,31.777509,35.234754,0.700,2.0,-6.8,7.1,2
20,31.777572,35.234646,31.777510,35.234752,0.700,6.8,-10.0,12.1,2
21,31.777617,35.234611,31.777511,35.234752,0.700,11.8,-13.3,17.8,2
22,31.777661,35.234575,31.777706,35.234557,0.700,-4.9,1.7,5.2,2
23,31.777706,35.234540,31.777764,35.234498,0.700,-6.5,3.9,7.6,2
24,31.777750,35.234504,31.777782,35.234481,0.700,-3.5,2.2,4.1,2
25,31.777794,35.234542,31.777787,35.234476,0.700,0.8,6.3,6.3,3
26,31.777837,35.234580,31.777788,35.234474,0.700,5.4,10.1,11.4,3
27,31.777880,35.234618,31.777789,35.234474,0.700,10.1,13.7,17.0,3
28,31.777923,35.234656,31.777789,35.234474,0.700,14.9,17.3,22.8,3
29,31.777966,35.234695,31.777984,35.234668,0.700,-2.0,2.5,3.2,3
30,31.778009,35.234733,31.778042,35.234726,0.700,-3.7,0.6,3.7,3
31,31.778052,35.234771,31.778059,35.234744,0.700,-0.8,2.5,2.7,3
32,31.778095,35.234809,31.778065,35.234749,0.700,3.4,5.6,6.6,3
33,31.778138,35.234847,31.778261,35.234945,0.700,-13.6,-9.3,16.5,3
34,31.778181,35.234885,31.778320,35.235004,0.700,-15.4,-11.3,19.1,3
35,31.778225,35.234923,31.778337,35.235022,0.700,-12.6,-9.3,15.6,3
36,31.778268,35.234961,31.778343,35.235027,0.700,-8.3,-6.2,10.4,3
37,31.778311,35.234999,31.778344,35.235029,0.700,-3.7,-2.8,4.6,3
38,31.778354,35.234961,31.778345,35.235029,0.700,1.0,-6.5,6.5,4
39,31.778397,35.234923,31.778539,35.234835,0.700,-15.9,8.3,17.9,4
40,31.778440,35.234884,31.778403,35.234971,0.700,4.1,-8.2,9.1,4
41,31.778483,35.234846,31.778362,35.235012,0.700,13.4,-15.7,20.6,4
42,31.778526,35.234808,31.778545,35.234829,0.700,-2.1,-2.1,3.0,4
43,31.778569,35.234769,31.778599,35.234775,0.700,-3.4,-0.5,3.5,4
44,31.778611,35.234731,31.778616,35.234758,0.700,-0.5,-2.6,2.6,4
45,31.778654,35.234693,31.778621,35.234753,0.700,3.8,-5.7,6.9,4
46,31.778697,35.234655,31.778817,35.234687,0.700,-13.3,-3.1,13.6,4
47,31.778740,35.234616,31.778875,35.234538,0.700,-15.0,7.4,16.8,4
48,31.778783,35.234578,31.778699,35.234687,0.700,9.4,-10.3,14.0,4
49,31.778826,35.234540,31.778840,35.234732,0.700,-1.5,-18.2,18.3,4
50,31.778869,35.234501,31.778882,35.234551,0.700,-1.5,-4.7,4.9,4
51,31.778877,35.234564,31.778895,35.234497,0.700,-2.0,6.4,6.7,5
52,31.778885,35.234627,31.778899,35.234675,0.700,-1.6,-4.6,4.8,5
53,31.778893,35.234690,31.778900,35.234728,0.700,-0.8,-3.7,3.8,5
54,31.778901,35.234752,31.778900,35.234744,1.000,0.0,0.7,0.7,6
